ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
A51_BAFIA_TUMI_TINGON-11-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,11,one,fok,,
A51_BAFIA_TUMI_TINGON-12-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,12,two,bye,,
A51_BAFIA_TUMI_TINGON-18-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,18,person,mwot,,
A51_BAFIA_TUMI_TINGON-18-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,18,person,"b""wot",,
A51_BAFIA_TUMI_TINGON-19-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,19,fish,k3nsEn,,
A51_BAFIA_TUMI_TINGON-21-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,21,dog,mb3,,
A51_BAFIA_TUMI_TINGON-22-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,22,louse,Ci,,
A51_BAFIA_TUMI_TINGON-22-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,22,louse,bi,,
A51_BAFIA_TUMI_TINGON-23-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,23,tree,ntye,,
A51_BAFIA_TUMI_TINGON-25-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,25,leaf,fyEn,,
A51_BAFIA_TUMI_TINGON-25-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,25,leaf,tyEn,,
A51_BAFIA_TUMI_TINGON-28-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,28,skin,kwokwo,,
A51_BAFIA_TUMI_TINGON-30-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,30,blood,nbwap,,
A51_BAFIA_TUMI_TINGON-31-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,31,bone,wop,,
A51_BAFIA_TUMI_TINGON-34-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,34,horn,toN,,
A51_BAFIA_TUMI_TINGON-39-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,39,ear,ti,,
A51_BAFIA_TUMI_TINGON-40-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,40,eye,dit,,
A51_BAFIA_TUMI_TINGON-40-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,40,eye,mit,,
A51_BAFIA_TUMI_TINGON-41-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,41,nose,di,,
A51_BAFIA_TUMI_TINGON-41-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,41,nose,mi,,
A51_BAFIA_TUMI_TINGON-43-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,43,tooth,so*,,
A51_BAFIA_TUMI_TINGON-44-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,44,tongue,demak,,
A51_BAFIA_TUMI_TINGON-47-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,47,knee,"d""o",,
A51_BAFIA_TUMI_TINGON-51-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,51,breast,bye,,
A51_BAFIA_TUMI_TINGON-53-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,53,liver,posok,,
A51_BAFIA_TUMI_TINGON-54-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,54,drink,no,,
A51_BAFIA_TUMI_TINGON-57-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,57,see,xE,,
A51_BAFIA_TUMI_TINGON-58-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,58,hear,woi,,
A51_BAFIA_TUMI_TINGON-61-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,61,die,w3,,
A51_BAFIA_TUMI_TINGON-66-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,66,come,yu,,
A51_BAFIA_TUMI_TINGON-72-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,72,sun,mwot,,
A51_BAFIA_TUMI_TINGON-74-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,74,star,fyE,,
A51_BAFIA_TUMI_TINGON-74-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,74,star,tyE,,
A51_BAFIA_TUMI_TINGON-75-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,75,water,m3ni,,
A51_BAFIA_TUMI_TINGON-77-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,77,stone,ngok,,
A51_BAFIA_TUMI_TINGON-82-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,82,fire,du,,
A51_BAFIA_TUMI_TINGON-85-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,85,path,kpoN,,
A51_BAFIA_TUMI_TINGON-86-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,86,mountain,don,,
A51_BAFIA_TUMI_TINGON-92-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,92,night,tu,,
A51_BAFIA_TUMI_TINGON-95-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,95,full,lono,,
A51_BAFIA_TUMI_TINGON-96-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,96,new,Con,,
A51_BAFIA_TUMI_TINGON-100-1,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,100,name,"d""i",,
A51_BAFIA_TUMI_TINGON-100-2,A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,100,name,mi,,
