ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ABAZA-1-1,ABAZA,Abaza,1,I,sara,,
ABAZA-2-1,ABAZA,Abaza,2,you,w3ra,,
ABAZA-2-2,ABAZA,Abaza,2,you,bara,,
ABAZA-3-1,ABAZA,Abaza,3,we,Sw~ara,,
ABAZA-11-1,ABAZA,Abaza,11,one,"zak""3",,
ABAZA-12-1,ABAZA,Abaza,12,two,Xw~ba,,
ABAZA-18-1,ABAZA,Abaza,18,person,"Xw~3Cw""y$Xw~3s",,
ABAZA-19-1,ABAZA,Abaza,19,fish,pslaCw~a,,
ABAZA-21-1,ABAZA,Abaza,21,dog,la,,
ABAZA-22-1,ABAZA,Abaza,22,louse,"c""a",,
ABAZA-23-1,ABAZA,Abaza,23,tree,"c""la",,
ABAZA-25-1,ABAZA,Abaza,25,leaf,bxy~3,,
ABAZA-28-1,ABAZA,Abaza,28,skin,Cw~azy~,,
ABAZA-30-1,ABAZA,Abaza,30,blood,Sy~a,,
ABAZA-31-1,ABAZA,Abaza,31,bone,bXw~3,,
ABAZA-34-1,ABAZA,Abaza,34,horn,"Cw""3Xw~a",,
ABAZA-39-1,ABAZA,Abaza,39,ear,l3mha,,
ABAZA-40-1,ABAZA,Abaza,40,eye,la,,
ABAZA-41-1,ABAZA,Abaza,41,nose,"p3nc""a",,
ABAZA-43-1,ABAZA,Abaza,43,tooth,p3c,,
ABAZA-44-1,ABAZA,Abaza,44,tongue,bz3,,
ABAZA-47-1,ABAZA,Abaza,47,knee,Sy~amqa,,
ABAZA-48-1,ABAZA,Abaza,48,hand,"nap""3",,
ABAZA-48-2,ABAZA,Abaza,48,hand,maqa,,
ABAZA-51-1,ABAZA,Abaza,51,breast,gw~Cp3,,
ABAZA-53-1,ABAZA,Abaza,53,liver,"C""aC""a",,
ABAZA-53-2,ABAZA,Abaza,53,liver,"Cw""a",,
ABAZA-54-1,ABAZA,Abaza,54,drink,Zw~ra,,
ABAZA-57-1,ABAZA,Abaza,57,see,bara,,
ABAZA-58-1,ABAZA,Abaza,58,hear,aXara,,
ABAZA-61-1,ABAZA,Abaza,61,die,psra,,
ABAZA-66-1,ABAZA,Abaza,66,come,Xara,,
ABAZA-72-1,ABAZA,Abaza,72,sun,mara,,
ABAZA-74-1,ABAZA,Abaza,74,star,"ayaCw""a",,
ABAZA-75-1,ABAZA,Abaza,75,water,c3,,
ABAZA-77-1,ABAZA,Abaza,77,stone,"haqw""3",,
ABAZA-82-1,ABAZA,Abaza,82,fire,mca,,
ABAZA-86-1,ABAZA,Abaza,86,mountain,xw~a,,
ABAZA-92-1,ABAZA,Abaza,92,night,waq3,,
ABAZA-95-1,ABAZA,Abaza,95,full,aznata,,
ABAZA-96-1,ABAZA,Abaza,96,new,"S""3c",,
ABAZA-100-1,ABAZA,Abaza,100,name,xy~3z,,
