ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AFI_AMANDA-11-1,AFI_AMANDA,Afi Amanda,11,one,nifun,,
AFI_AMANDA-12-1,AFI_AMANDA,Afi Amanda,12,two,vo,,
AFI_AMANDA-18-1,AFI_AMANDA,Afi Amanda,18,person,3u,,
AFI_AMANDA-19-1,AFI_AMANDA,Afi Amanda,19,fish,su,,
AFI_AMANDA-21-1,AFI_AMANDA,Afi Amanda,21,dog,biya,,
AFI_AMANDA-22-1,AFI_AMANDA,Afi Amanda,22,louse,sal3u,,
AFI_AMANDA-23-1,AFI_AMANDA,Afi Amanda,23,tree,End~i,,
AFI_AMANDA-25-1,AFI_AMANDA,Afi Amanda,25,leaf,fy~o,,
AFI_AMANDA-28-1,AFI_AMANDA,Afi Amanda,28,skin,suga,,
AFI_AMANDA-30-1,AFI_AMANDA,Afi Amanda,30,blood,v3m,,
AFI_AMANDA-31-1,AFI_AMANDA,Afi Amanda,31,bone,fu,,
AFI_AMANDA-34-1,AFI_AMANDA,Afi Amanda,34,horn,kw~ese,,
AFI_AMANDA-39-1,AFI_AMANDA,Afi Amanda,39,ear,du,,
AFI_AMANDA-40-1,AFI_AMANDA,Afi Amanda,40,eye,yiSi,,
AFI_AMANDA-41-1,AFI_AMANDA,Afi Amanda,41,nose,jenu,,
AFI_AMANDA-43-1,AFI_AMANDA,Afi Amanda,43,tooth,yi,,
AFI_AMANDA-44-1,AFI_AMANDA,Afi Amanda,44,tongue,numa,,
AFI_AMANDA-47-1,AFI_AMANDA,Afi Amanda,47,knee,nu,,
AFI_AMANDA-51-1,AFI_AMANDA,Afi Amanda,51,breast,mb~an3n,,
AFI_AMANDA-54-1,AFI_AMANDA,Afi Amanda,54,drink,Nw~a,,
AFI_AMANDA-57-1,AFI_AMANDA,Afi Amanda,57,see,mo,,
AFI_AMANDA-58-1,AFI_AMANDA,Afi Amanda,58,hear,Ngw$a,,
AFI_AMANDA-61-1,AFI_AMANDA,Afi Amanda,61,die,we,,
AFI_AMANDA-66-1,AFI_AMANDA,Afi Amanda,66,come,ba,,
AFI_AMANDA-72-1,AFI_AMANDA,Afi Amanda,72,sun,wElgw~an,,
AFI_AMANDA-74-1,AFI_AMANDA,Afi Amanda,74,star,Ngy$om,,
AFI_AMANDA-75-1,AFI_AMANDA,Afi Amanda,75,water,mb~ig3m,,
AFI_AMANDA-75-2,AFI_AMANDA,Afi Amanda,75,water,mgoro,,
AFI_AMANDA-77-1,AFI_AMANDA,Afi Amanda,77,stone,nadi,,
AFI_AMANDA-82-1,AFI_AMANDA,Afi Amanda,82,fire,kusu,,
AFI_AMANDA-85-1,AFI_AMANDA,Afi Amanda,85,path,Sina,,
AFI_AMANDA-86-1,AFI_AMANDA,Afi Amanda,86,mountain,homb~oi,,
AFI_AMANDA-95-1,AFI_AMANDA,Afi Amanda,95,full,ndy$En,,
AFI_AMANDA-96-1,AFI_AMANDA,Afi Amanda,96,new,afa,,
AFI_AMANDA-100-1,AFI_AMANDA,Afi Amanda,100,name,yan,,
