ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AGRA_GUJARI-1-1,AGRA_GUJARI,Agra Gujari,1,I,ma*i*,,
AGRA_GUJARI-2-1,AGRA_GUJARI,Agra Gujari,2,you,t3m,,
AGRA_GUJARI-3-1,AGRA_GUJARI,Agra Gujari,3,we,h3m,,
AGRA_GUJARI-11-1,AGRA_GUJARI,Agra Gujari,11,one,ekh~,,
AGRA_GUJARI-12-1,AGRA_GUJARI,Agra Gujari,12,two,do,,
AGRA_GUJARI-18-1,AGRA_GUJARI,Agra Gujari,18,person,manos,,
AGRA_GUJARI-19-1,AGRA_GUJARI,Agra Gujari,19,fish,m3Ch~i,,
AGRA_GUJARI-21-1,AGRA_GUJARI,Agra Gujari,21,dog,kut3,,
AGRA_GUJARI-23-1,AGRA_GUJARI,Agra Gujari,23,tree,rukh~,,
AGRA_GUJARI-25-1,AGRA_GUJARI,Agra Gujari,25,leaf,p3t3,,
AGRA_GUJARI-28-1,AGRA_GUJARI,Agra Gujari,28,skin,kh~al,,
AGRA_GUJARI-30-1,AGRA_GUJARI,Agra Gujari,30,blood,Lou,,
AGRA_GUJARI-31-1,AGRA_GUJARI,Agra Gujari,31,bone,h3di,,
AGRA_GUJARI-34-1,AGRA_GUJARI,Agra Gujari,34,horn,siNg,,
AGRA_GUJARI-39-1,AGRA_GUJARI,Agra Gujari,39,ear,kan,,
AGRA_GUJARI-40-1,AGRA_GUJARI,Agra Gujari,40,eye,a*kh~,,
AGRA_GUJARI-41-1,AGRA_GUJARI,Agra Gujari,41,nose,nakh~,,
AGRA_GUJARI-43-1,AGRA_GUJARI,Agra Gujari,43,tooth,d3*nt,,
AGRA_GUJARI-44-1,AGRA_GUJARI,Agra Gujari,44,tongue,jib,,
AGRA_GUJARI-51-1,AGRA_GUJARI,Agra Gujari,51,breast,C3ti,,
AGRA_GUJARI-54-1,AGRA_GUJARI,Agra Gujari,54,drink,pi,,
AGRA_GUJARI-57-1,AGRA_GUJARI,Agra Gujari,57,see,dh~Ekh~,,
AGRA_GUJARI-58-1,AGRA_GUJARI,Agra Gujari,58,hear,sun,,
AGRA_GUJARI-61-1,AGRA_GUJARI,Agra Gujari,61,die,m3r,,
AGRA_GUJARI-66-1,AGRA_GUJARI,Agra Gujari,66,come,an3,,
AGRA_GUJARI-72-1,AGRA_GUJARI,Agra Gujari,72,sun,suraZ,,
AGRA_GUJARI-74-1,AGRA_GUJARI,Agra Gujari,74,star,tar3,,
AGRA_GUJARI-75-1,AGRA_GUJARI,Agra Gujari,75,water,pani,,
AGRA_GUJARI-77-1,AGRA_GUJARI,Agra Gujari,77,stone,p3t3r,,
AGRA_GUJARI-82-1,AGRA_GUJARI,Agra Gujari,82,fire,ag,,
AGRA_GUJARI-85-1,AGRA_GUJARI,Agra Gujari,85,path,ra,,
AGRA_GUJARI-92-1,AGRA_GUJARI,Agra Gujari,92,night,rath~,,
AGRA_GUJARI-96-1,AGRA_GUJARI,Agra Gujari,96,new,n3wa*,,
AGRA_GUJARI-100-1,AGRA_GUJARI,Agra Gujari,100,name,na*,,
