ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AINU_KUSHIRO-1-1,AINU_KUSHIRO,Ainu Kushiro,1,I,ku7ani,,
AINU_KUSHIRO-2-1,AINU_KUSHIRO,Ainu Kushiro,2,you,e7ani,,
AINU_KUSHIRO-3-1,AINU_KUSHIRO,Ainu Kushiro,3,we,ci7utari,,
AINU_KUSHIRO-11-1,AINU_KUSHIRO,Ainu Kushiro,11,one,sinep,,
AINU_KUSHIRO-12-1,AINU_KUSHIRO,Ainu Kushiro,12,two,tup,,
AINU_KUSHIRO-18-1,AINU_KUSHIRO,Ainu Kushiro,18,person,aynu,,
AINU_KUSHIRO-19-1,AINU_KUSHIRO,Ainu Kushiro,19,fish,cep,,
AINU_KUSHIRO-21-1,AINU_KUSHIRO,Ainu Kushiro,21,dog,sita,,
AINU_KUSHIRO-22-1,AINU_KUSHIRO,Ainu Kushiro,22,louse,urki,,
AINU_KUSHIRO-23-1,AINU_KUSHIRO,Ainu Kushiro,23,tree,ni,,
AINU_KUSHIRO-25-1,AINU_KUSHIRO,Ainu Kushiro,25,leaf,ham,,
AINU_KUSHIRO-28-1,AINU_KUSHIRO,Ainu Kushiro,28,skin,kap,,
AINU_KUSHIRO-30-1,AINU_KUSHIRO,Ainu Kushiro,30,blood,kem,,
AINU_KUSHIRO-31-1,AINU_KUSHIRO,Ainu Kushiro,31,bone,pone,,
AINU_KUSHIRO-34-1,AINU_KUSHIRO,Ainu Kushiro,34,horn,kiraw,,
AINU_KUSHIRO-39-1,AINU_KUSHIRO,Ainu Kushiro,39,ear,kisar,,
AINU_KUSHIRO-40-1,AINU_KUSHIRO,Ainu Kushiro,40,eye,sik,,
AINU_KUSHIRO-41-1,AINU_KUSHIRO,Ainu Kushiro,41,nose,etu,,
AINU_KUSHIRO-43-1,AINU_KUSHIRO,Ainu Kushiro,43,tooth,imak,,
AINU_KUSHIRO-44-1,AINU_KUSHIRO,Ainu Kushiro,44,tongue,parunpe,,
AINU_KUSHIRO-47-1,AINU_KUSHIRO,Ainu Kushiro,47,knee,koka,,
AINU_KUSHIRO-48-1,AINU_KUSHIRO,Ainu Kushiro,48,hand,tek,,
AINU_KUSHIRO-51-1,AINU_KUSHIRO,Ainu Kushiro,51,breast,penram,,
AINU_KUSHIRO-53-1,AINU_KUSHIRO,Ainu Kushiro,53,liver,ra,,
AINU_KUSHIRO-54-1,AINU_KUSHIRO,Ainu Kushiro,54,drink,ku,,
AINU_KUSHIRO-57-1,AINU_KUSHIRO,Ainu Kushiro,57,see,nukar,,
AINU_KUSHIRO-58-1,AINU_KUSHIRO,Ainu Kushiro,58,hear,nu,,
AINU_KUSHIRO-61-1,AINU_KUSHIRO,Ainu Kushiro,61,die,ray,,
AINU_KUSHIRO-66-1,AINU_KUSHIRO,Ainu Kushiro,66,come,ek,,
AINU_KUSHIRO-72-1,AINU_KUSHIRO,Ainu Kushiro,72,sun,cup,,
AINU_KUSHIRO-74-1,AINU_KUSHIRO,Ainu Kushiro,74,star,nocuy,,
AINU_KUSHIRO-75-1,AINU_KUSHIRO,Ainu Kushiro,75,water,waka,,
AINU_KUSHIRO-77-1,AINU_KUSHIRO,Ainu Kushiro,77,stone,suma,,
AINU_KUSHIRO-82-1,AINU_KUSHIRO,Ainu Kushiro,82,fire,ape,,
AINU_KUSHIRO-85-1,AINU_KUSHIRO,Ainu Kushiro,85,path,ru,,
AINU_KUSHIRO-86-1,AINU_KUSHIRO,Ainu Kushiro,86,mountain,nupuri,,
AINU_KUSHIRO-92-1,AINU_KUSHIRO,Ainu Kushiro,92,night,kune,,
AINU_KUSHIRO-95-1,AINU_KUSHIRO,Ainu Kushiro,95,full,sik,,
AINU_KUSHIRO-96-1,AINU_KUSHIRO,Ainu Kushiro,96,new,asir,,
AINU_KUSHIRO-100-1,AINU_KUSHIRO,Ainu Kushiro,100,name,re,,
