ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AKAR_BALE-1-1,AKAR_BALE,Akar Bale,1,I,dol,,
AKAR_BALE-2-1,AKAR_BALE,Akar Bale,2,you,NoloiCit,,
AKAR_BALE-3-1,AKAR_BALE,Akar Bale,3,we,moloiCit,,
AKAR_BALE-11-1,AKAR_BALE,Akar Bale,11,one,ubotul,,
AKAR_BALE-12-1,AKAR_BALE,Akar Bale,12,two,poro,,
AKAR_BALE-19-1,AKAR_BALE,Akar Bale,19,fish,yoakot,,
AKAR_BALE-23-1,AKAR_BALE,Akar Bale,23,tree,toaN,,
AKAR_BALE-25-1,AKAR_BALE,Akar Bale,25,leaf,toaN,,
AKAR_BALE-28-1,AKAR_BALE,Akar Bale,28,skin,kaiC,,
AKAR_BALE-30-1,AKAR_BALE,Akar Bale,30,blood,te,,
AKAR_BALE-31-1,AKAR_BALE,Akar Bale,31,bone,toa,,
AKAR_BALE-39-1,AKAR_BALE,Akar Bale,39,ear,poku,,
AKAR_BALE-40-1,AKAR_BALE,Akar Bale,40,eye,dol,,
AKAR_BALE-41-1,AKAR_BALE,Akar Bale,41,nose,CorNa,,
AKAR_BALE-43-1,AKAR_BALE,Akar Bale,43,tooth,tog,,
AKAR_BALE-44-1,AKAR_BALE,Akar Bale,44,tongue,atol,,
AKAR_BALE-47-1,AKAR_BALE,Akar Bale,47,knee,lo,,
AKAR_BALE-48-1,AKAR_BALE,Akar Bale,48,hand,koro,,
AKAR_BALE-51-1,AKAR_BALE,Akar Bale,51,breast,kuk,,
AKAR_BALE-53-1,AKAR_BALE,Akar Bale,53,liver,mug,,
AKAR_BALE-54-1,AKAR_BALE,Akar Bale,54,drink,welij,,
AKAR_BALE-57-1,AKAR_BALE,Akar Bale,57,see,badi,,
AKAR_BALE-58-1,AKAR_BALE,Akar Bale,58,hear,dai,,
AKAR_BALE-61-1,AKAR_BALE,Akar Bale,61,die,oko,,
AKAR_BALE-66-1,AKAR_BALE,Akar Bale,66,come,on,,
AKAR_BALE-72-1,AKAR_BALE,Akar Bale,72,sun,bodo,,
AKAR_BALE-74-1,AKAR_BALE,Akar Bale,74,star,Calomi,,
AKAR_BALE-75-1,AKAR_BALE,Akar Bale,75,water,ino,,
AKAR_BALE-77-1,AKAR_BALE,Akar Bale,77,stone,taili,,
AKAR_BALE-82-1,AKAR_BALE,Akar Bale,82,fire,Coapo,,
AKAR_BALE-85-1,AKAR_BALE,Akar Bale,85,path,teNa,,
AKAR_BALE-86-1,AKAR_BALE,Akar Bale,86,mountain,boroin,,
AKAR_BALE-92-1,AKAR_BALE,Akar Bale,92,night,gurug,,
AKAR_BALE-95-1,AKAR_BALE,Akar Bale,95,full,tepe,,
AKAR_BALE-96-1,AKAR_BALE,Akar Bale,96,new,koalot,,
AKAR_BALE-100-1,AKAR_BALE,Akar Bale,100,name,teN,,
