ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AKHA-1-1,AKHA,Akha,1,I,Na,,
AKHA-2-1,AKHA,Akha,2,you,no,,
AKHA-11-1,AKHA,Akha,11,one,tith~i,,
AKHA-12-1,AKHA,Akha,12,two,ny~i,,
AKHA-18-1,AKHA,Akha,18,person,ch~oha,,
AKHA-19-1,AKHA,Akha,19,fish,Nasyh$a,,
AKHA-21-1,AKHA,Akha,21,dog,a7khy$,,
AKHA-22-1,AKHA,Akha,22,louse,sh~Emo,,
AKHA-23-1,AKHA,Akha,23,tree,abo,,
AKHA-25-1,AKHA,Akha,25,leaf,apa,,
AKHA-28-1,AKHA,Akha,28,skin,baxo7,,
AKHA-30-1,AKHA,Akha,30,blood,sy~hi,,
AKHA-31-1,AKHA,Akha,31,bone,sh~aye,,
AKHA-34-1,AKHA,Akha,34,horn,u7ty~e,,
AKHA-39-1,AKHA,Akha,39,ear,nabo,,
AKHA-40-1,AKHA,Akha,40,eye,my~any~7,,
AKHA-41-1,AKHA,Akha,41,nose,namE,,
AKHA-43-1,AKHA,Akha,43,tooth,sh~3,,
AKHA-44-1,AKHA,Akha,44,tongue,mela,,
AKHA-47-1,AKHA,Akha,47,knee,khy$cy~7,,
AKHA-48-1,AKHA,Akha,48,hand,la7,,
AKHA-51-1,AKHA,Akha,51,breast,atyh~e,,
AKHA-53-1,AKHA,Akha,53,liver,sh~ach~aN,,
AKHA-54-1,AKHA,Akha,54,drink,do,,
AKHA-57-1,AKHA,Akha,57,see,mo,,
AKHA-58-1,AKHA,Akha,58,hear,ga,,
AKHA-61-1,AKHA,Akha,61,die,syh$i,,
AKHA-66-1,AKHA,Akha,66,come,la7,,
AKHA-72-1,AKHA,Akha,72,sun,naNma,,
AKHA-74-1,AKHA,Akha,74,star,agy~,,
AKHA-75-1,AKHA,Akha,75,water,ity~u,,
AKHA-77-1,AKHA,Akha,77,stone,xh~alo,,
AKHA-82-1,AKHA,Akha,82,fire,mica,,
AKHA-85-1,AKHA,Akha,85,path,gama,,
AKHA-86-1,AKHA,Akha,86,mountain,gody~o,,
AKHA-92-1,AKHA,Akha,92,night,u7ty~i7,,
AKHA-96-1,AKHA,Akha,96,new,sjy7,,
AKHA-100-1,AKHA,Akha,100,name,tyh$Emy~aN,,
