ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ALOR_KALABAHI-11-1,ALOR_KALABAHI,Alor Kalabahi,11,one,tohu,,
ALOR_KALABAHI-12-1,ALOR_KALABAHI,Alor Kalabahi,12,two,ruwa,,
ALOR_KALABAHI-19-1,ALOR_KALABAHI,Alor Kalabahi,19,fish,ikaN,,
ALOR_KALABAHI-21-1,ALOR_KALABAHI,Alor Kalabahi,21,dog,aho,,
ALOR_KALABAHI-22-1,ALOR_KALABAHI,Alor Kalabahi,22,louse,kuto,,
ALOR_KALABAHI-23-1,ALOR_KALABAHI,Alor Kalabahi,23,tree,kajo,,
ALOR_KALABAHI-25-1,ALOR_KALABAHI,Alor Kalabahi,25,leaf,loloN,,
ALOR_KALABAHI-28-1,ALOR_KALABAHI,Alor Kalabahi,28,skin,kamaN,,
ALOR_KALABAHI-30-1,ALOR_KALABAHI,Alor Kalabahi,30,blood,ra,,
ALOR_KALABAHI-31-1,ALOR_KALABAHI,Alor Kalabahi,31,bone,tulaN,,
ALOR_KALABAHI-31-2,ALOR_KALABAHI,Alor Kalabahi,31,bone,ruiN,,
ALOR_KALABAHI-39-1,ALOR_KALABAHI,Alor Kalabahi,39,ear,tiluN,,
ALOR_KALABAHI-40-1,ALOR_KALABAHI,Alor Kalabahi,40,eye,mataN,,
ALOR_KALABAHI-41-1,ALOR_KALABAHI,Alor Kalabahi,41,nose,niruN,,
ALOR_KALABAHI-43-1,ALOR_KALABAHI,Alor Kalabahi,43,tooth,uloN,,
ALOR_KALABAHI-44-1,ALOR_KALABAHI,Alor Kalabahi,44,tongue,wEwEl,,
ALOR_KALABAHI-47-1,ALOR_KALABAHI,Alor Kalabahi,47,knee,kaduluN,,
ALOR_KALABAHI-48-1,ALOR_KALABAHI,Alor Kalabahi,48,hand,limaN,,
ALOR_KALABAHI-51-1,ALOR_KALABAHI,Alor Kalabahi,51,breast,tuhow,,
ALOR_KALABAHI-54-1,ALOR_KALABAHI,Alor Kalabahi,54,drink,kEnuN,,
ALOR_KALABAHI-57-1,ALOR_KALABAHI,Alor Kalabahi,57,see,sEru,,
ALOR_KALABAHI-61-1,ALOR_KALABAHI,Alor Kalabahi,61,die,kapo,,
ALOR_KALABAHI-66-1,ALOR_KALABAHI,Alor Kalabahi,66,come,mEnE,,
ALOR_KALABAHI-72-1,ALOR_KALABAHI,Alor Kalabahi,72,sun,lara,,
ALOR_KALABAHI-74-1,ALOR_KALABAHI,Alor Kalabahi,74,star,tamala,,
ALOR_KALABAHI-75-1,ALOR_KALABAHI,Alor Kalabahi,75,water,way,,
ALOR_KALABAHI-77-1,ALOR_KALABAHI,Alor Kalabahi,77,stone,wato,,
ALOR_KALABAHI-82-1,ALOR_KALABAHI,Alor Kalabahi,82,fire,apE,,
ALOR_KALABAHI-85-1,ALOR_KALABAHI,Alor Kalabahi,85,path,laraN,,
ALOR_KALABAHI-86-1,ALOR_KALABAHI,Alor Kalabahi,86,mountain,woto,,
ALOR_KALABAHI-92-1,ALOR_KALABAHI,Alor Kalabahi,92,night,marEN,,
ALOR_KALABAHI-96-1,ALOR_KALABAHI,Alor Kalabahi,96,new,nihi,,
ALOR_KALABAHI-100-1,ALOR_KALABAHI,Alor Kalabahi,100,name,naraN,,
