ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ALTAI-1-1,ALTAI,Altai,1,I,man,,
ALTAI-2-1,ALTAI,Altai,2,you,san,,
ALTAI-3-1,ALTAI,Altai,3,we,bis,,
ALTAI-12-1,ALTAI,Altai,12,two,aki,,
ALTAI-18-1,ALTAI,Altai,18,person,kiZi,,
ALTAI-19-1,ALTAI,Altai,19,fish,baluk,,
ALTAI-21-1,ALTAI,Altai,21,dog,it,,
ALTAI-22-1,ALTAI,Altai,22,louse,bit,,
ALTAI-23-1,ALTAI,Altai,23,tree,tarak,,
ALTAI-25-1,ALTAI,Altai,25,leaf,Talburaq,,
ALTAI-28-1,ALTAI,Altai,28,skin,tara,,
ALTAI-31-1,ALTAI,Altai,31,bone,sak,,
ALTAI-34-1,ALTAI,Altai,34,horn,mis,,
ALTAI-39-1,ALTAI,Altai,39,ear,qulaq,,
ALTAI-40-1,ALTAI,Altai,40,eye,qaraq,,
ALTAI-41-1,ALTAI,Altai,41,nose,tumCuq,,
ALTAI-44-1,ALTAI,Altai,44,tongue,til,,
ALTAI-48-1,ALTAI,Altai,48,hand,kol,,
ALTAI-51-1,ALTAI,Altai,51,breast,taS,,
ALTAI-53-1,ALTAI,Altai,53,liver,bur,,
ALTAI-72-1,ALTAI,Altai,72,sun,kin,,
ALTAI-74-1,ALTAI,Altai,74,star,Tuldus,,
ALTAI-77-1,ALTAI,Altai,77,stone,taS,,
ALTAI-82-1,ALTAI,Altai,82,fire,ot,,
ALTAI-85-1,ALTAI,Altai,85,path,Tol,,
ALTAI-92-1,ALTAI,Altai,92,night,tin,,
ALTAI-96-1,ALTAI,Altai,96,new,TaNa,,
