ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AMANAB-1-1,AMANAB,Amanab,1,I,ka,,
AMANAB-2-1,AMANAB,Amanab,2,you,ne,,
AMANAB-3-1,AMANAB,Amanab,3,we,kager,,
AMANAB-3-2,AMANAB,Amanab,3,we,biger,,
AMANAB-11-1,AMANAB,Amanab,11,one,muNu,,
AMANAB-12-1,AMANAB,Amanab,12,two,sabaga,,
AMANAB-21-1,AMANAB,Amanab,21,dog,maraN,,
AMANAB-23-1,AMANAB,Amanab,23,tree,ri,,
AMANAB-30-1,AMANAB,Amanab,30,blood,taf,,
AMANAB-39-1,AMANAB,Amanab,39,ear,aNug,,
AMANAB-40-1,AMANAB,Amanab,40,eye,nofug,,
AMANAB-41-1,AMANAB,Amanab,41,nose,busog,,
AMANAB-43-1,AMANAB,Amanab,43,tooth,gog,,
AMANAB-47-1,AMANAB,Amanab,47,knee,mokug,,
AMANAB-48-1,AMANAB,Amanab,48,hand,niNa,,
AMANAB-51-1,AMANAB,Amanab,51,breast,tut,,
AMANAB-53-1,AMANAB,Amanab,53,liver,gofwag,,
AMANAB-54-1,AMANAB,Amanab,54,drink,ne,,
AMANAB-57-1,AMANAB,Amanab,57,see,nagu,,
AMANAB-58-1,AMANAB,Amanab,58,hear,higi,,
AMANAB-61-1,AMANAB,Amanab,61,die,raha,,
AMANAB-66-1,AMANAB,Amanab,66,come,bro,,
AMANAB-72-1,AMANAB,Amanab,72,sun,osui,,
AMANAB-75-1,AMANAB,Amanab,75,water,bu,,
AMANAB-77-1,AMANAB,Amanab,77,stone,fun,,
AMANAB-82-1,AMANAB,Amanab,82,fire,suwi,,
AMANAB-92-1,AMANAB,Amanab,92,night,sinaini,,
AMANAB-96-1,AMANAB,Amanab,96,new,graunai,,
AMANAB-100-1,AMANAB,Amanab,100,name,unehragba,,
