ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AMANAYE-1-1,AMANAYE,Amanaye,1,I,he,,
AMANAYE-2-1,AMANAYE,Amanaye,2,you,ne,,
AMANAYE-3-1,AMANAYE,Amanaye,3,we,yand~e,,
AMANAYE-3-2,AMANAYE,Amanaye,3,we,ore,,
AMANAYE-11-1,AMANAYE,Amanaye,11,one,Cipei,,
AMANAYE-12-1,AMANAYE,Amanaye,12,two,moku,,
AMANAYE-18-1,AMANAYE,Amanaye,18,person,awa,,
AMANAYE-18-2,AMANAYE,Amanaye,18,person,kume,,
AMANAYE-19-1,AMANAYE,Amanaye,19,fish,pira,,
AMANAYE-23-1,AMANAYE,Amanaye,23,tree,3w3ra,,
AMANAYE-28-1,AMANAYE,Amanaye,28,skin,pire,,
AMANAYE-39-1,AMANAYE,Amanaye,39,ear,nami,,
AMANAYE-40-1,AMANAYE,Amanaye,40,eye,reha,,
AMANAYE-41-1,AMANAYE,Amanaye,41,nose,ap3*,,
AMANAYE-44-1,AMANAYE,Amanaye,44,tongue,apeku*,,
AMANAYE-48-1,AMANAYE,Amanaye,48,hand,po,,
AMANAYE-51-1,AMANAYE,Amanaye,51,breast,ka,,
AMANAYE-72-1,AMANAYE,Amanaye,72,sun,kw~arah3,,
AMANAYE-74-1,AMANAYE,Amanaye,74,star,yah3tata,,
AMANAYE-77-1,AMANAYE,Amanaye,77,stone,ita,,
AMANAYE-82-1,AMANAYE,Amanaye,82,fire,tata,,
AMANAYE-86-1,AMANAYE,Amanaye,86,mountain,3w3t3,,
