ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AMOY_MINNAN_CHINESE-1-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,1,I,gua,,
AMOY_MINNAN_CHINESE-2-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,2,you,li,,
AMOY_MINNAN_CHINESE-3-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,3,we,gun,,
AMOY_MINNAN_CHINESE-3-2,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,3,we,lan,,
AMOY_MINNAN_CHINESE-11-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,11,one,it,,
AMOY_MINNAN_CHINESE-11-2,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,11,one,Cit,,
AMOY_MINNAN_CHINESE-12-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,12,two,Zi,,
AMOY_MINNAN_CHINESE-12-2,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,12,two,nN,,
AMOY_MINNAN_CHINESE-18-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,18,person,laN,,
AMOY_MINNAN_CHINESE-19-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,19,fish,hi,,
AMOY_MINNAN_CHINESE-21-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,21,dog,kau7a,,
AMOY_MINNAN_CHINESE-22-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,22,louse,sat,,
AMOY_MINNAN_CHINESE-22-2,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,22,louse,satbu,,
AMOY_MINNAN_CHINESE-23-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,23,tree,Ch~iu7a,,
AMOY_MINNAN_CHINESE-25-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,25,leaf,hio7a,,
AMOY_MINNAN_CHINESE-28-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,28,skin,ph~ehu,,
AMOY_MINNAN_CHINESE-30-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,30,blood,hui7,,
AMOY_MINNAN_CHINESE-30-2,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,30,blood,hiEt7~ik,,
AMOY_MINNAN_CHINESE-31-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,31,bone,kutth~au,,
AMOY_MINNAN_CHINESE-34-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,34,horn,kak,,
AMOY_MINNAN_CHINESE-39-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,39,ear,hi*kh~aN,,
AMOY_MINNAN_CHINESE-40-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,40,eye,bakCiu,,
AMOY_MINNAN_CHINESE-41-1,AMOY_MINNAN_CHINESE,Amoy Minnan Chinese,41,nose,ph~i*7a,,
