ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AMTO-11-1,AMTO,Amto,11,one,ohu,,
AMTO-12-1,AMTO,Amto,12,two,kiya,,
AMTO-18-1,AMTO,Amto,18,person,kyu,,
AMTO-19-1,AMTO,Amto,19,fish,rapai,,
AMTO-21-1,AMTO,Amto,21,dog,ho,,
AMTO-22-1,AMTO,Amto,22,louse,nanu,,
AMTO-23-1,AMTO,Amto,23,tree,ami,,
AMTO-25-1,AMTO,Amto,25,leaf,he,,
AMTO-28-1,AMTO,Amto,28,skin,ka,,
AMTO-30-1,AMTO,Amto,30,blood,nokei,,
AMTO-31-1,AMTO,Amto,31,bone,hae,,
AMTO-39-1,AMTO,Amto,39,ear,ye,,
AMTO-40-1,AMTO,Amto,40,eye,mo,,
AMTO-41-1,AMTO,Amto,41,nose,ni,,
AMTO-43-1,AMTO,Amto,43,tooth,i,,
AMTO-44-1,AMTO,Amto,44,tongue,hone,,
AMTO-44-2,AMTO,Amto,44,tongue,hEne,,
AMTO-47-1,AMTO,Amto,47,knee,tumware,,
AMTO-48-1,AMTO,Amto,48,hand,nE,,
AMTO-51-1,AMTO,Amto,51,breast,ne,,
AMTO-53-1,AMTO,Amto,53,liver,te,,
AMTO-66-1,AMTO,Amto,66,come,ahumune,,
AMTO-74-1,AMTO,Amto,74,star,mo,,
AMTO-75-1,AMTO,Amto,75,water,wi,,
AMTO-77-1,AMTO,Amto,77,stone,tipeki,,
AMTO-82-1,AMTO,Amto,82,fire,mari,,
AMTO-85-1,AMTO,Amto,85,path,mo,,
AMTO-86-1,AMTO,Amto,86,mountain,kai,,
AMTO-92-1,AMTO,Amto,92,night,bumyE,,
AMTO-96-1,AMTO,Amto,96,new,ten,,
