ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ANGAATAHA-1-1,ANGAATAHA,Angaataha,1,I,n3n3,,
ANGAATAHA-2-1,ANGAATAHA,Angaataha,2,you,k3ny3,,
ANGAATAHA-3-1,ANGAATAHA,Angaataha,3,we,nya7a,,
ANGAATAHA-11-1,ANGAATAHA,Angaataha,11,one,nas,,
ANGAATAHA-12-1,ANGAATAHA,Angaataha,12,two,ya,,
ANGAATAHA-18-1,ANGAATAHA,Angaataha,18,person,uta,,
ANGAATAHA-19-1,ANGAATAHA,Angaataha,19,fish,arai,,
ANGAATAHA-21-1,ANGAATAHA,Angaataha,21,dog,ntami,,
ANGAATAHA-22-1,ANGAATAHA,Angaataha,22,louse,ak3r3,,
ANGAATAHA-23-1,ANGAATAHA,Angaataha,23,tree,i,,
ANGAATAHA-25-1,ANGAATAHA,Angaataha,25,leaf,is,,
ANGAATAHA-28-1,ANGAATAHA,Angaataha,28,skin,amp3,,
ANGAATAHA-30-1,ANGAATAHA,Angaataha,30,blood,ns3t3,,
ANGAATAHA-31-1,ANGAATAHA,Angaataha,31,bone,ant3,,
ANGAATAHA-34-1,ANGAATAHA,Angaataha,34,horn,masama73p3,,
ANGAATAHA-39-1,ANGAATAHA,Angaataha,39,ear,at37,,
ANGAATAHA-40-1,ANGAATAHA,Angaataha,40,eye,nt,,
ANGAATAHA-41-1,ANGAATAHA,Angaataha,41,nose,mant,,
ANGAATAHA-43-1,ANGAATAHA,Angaataha,43,tooth,mank,,
ANGAATAHA-44-1,ANGAATAHA,Angaataha,44,tongue,omas,,
ANGAATAHA-47-1,ANGAATAHA,Angaataha,47,knee,atot3,,
ANGAATAHA-51-1,ANGAATAHA,Angaataha,51,breast,amw3t37,,
ANGAATAHA-53-1,ANGAATAHA,Angaataha,53,liver,apo73,,
ANGAATAHA-54-1,ANGAATAHA,Angaataha,54,drink,na,,
ANGAATAHA-57-1,ANGAATAHA,Angaataha,57,see,nsa,,
ANGAATAHA-58-1,ANGAATAHA,Angaataha,58,hear,sa,,
ANGAATAHA-61-1,ANGAATAHA,Angaataha,61,die,po,,
ANGAATAHA-66-1,ANGAATAHA,Angaataha,66,come,sa,,
ANGAATAHA-72-1,ANGAATAHA,Angaataha,72,sun,ip3,,
ANGAATAHA-74-1,ANGAATAHA,Angaataha,74,star,kaumpw,,
ANGAATAHA-75-1,ANGAATAHA,Angaataha,75,water,wapo,,
ANGAATAHA-77-1,ANGAATAHA,Angaataha,77,stone,naw,,
ANGAATAHA-82-1,ANGAATAHA,Angaataha,82,fire,sis,,
ANGAATAHA-85-1,ANGAATAHA,Angaataha,85,path,ntai7,,
ANGAATAHA-86-1,ANGAATAHA,Angaataha,86,mountain,sis3,,
ANGAATAHA-92-1,ANGAATAHA,Angaataha,92,night,ap,,
ANGAATAHA-95-1,ANGAATAHA,Angaataha,95,full,tisaita,,
ANGAATAHA-96-1,ANGAATAHA,Angaataha,96,new,wan3,,
ANGAATAHA-100-1,ANGAATAHA,Angaataha,100,name,amp3,,
