ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ANKAVE-1-1,ANKAVE,Ankave,1,I,nyon3,,
ANKAVE-2-1,ANKAVE,Ankave,2,you,yoga,,
ANKAVE-3-1,ANKAVE,Ankave,3,we,none,,
ANKAVE-11-1,ANKAVE,Ankave,11,one,nawona,,
ANKAVE-12-1,ANKAVE,Ankave,12,two,uwa,,
ANKAVE-18-1,ANKAVE,Ankave,18,person,a7ma,,
ANKAVE-19-1,ANKAVE,Ankave,19,fish,pa7a,,
ANKAVE-19-2,ANKAVE,Ankave,19,fish,tamunga,,
ANKAVE-21-1,ANKAVE,Ankave,21,dog,s3wia,,
ANKAVE-22-1,ANKAVE,Ankave,22,louse,iya,,
ANKAVE-23-1,ANKAVE,Ankave,23,tree,ika7,,
ANKAVE-25-1,ANKAVE,Ankave,25,leaf,wa7,,
ANKAVE-28-1,ANKAVE,Ankave,28,skin,yara,,
ANKAVE-30-1,ANKAVE,Ankave,30,blood,tangga,,
ANKAVE-31-1,ANKAVE,Ankave,31,bone,enga7,,
ANKAVE-34-1,ANKAVE,Ankave,34,horn,s3wanga,,
ANKAVE-39-1,ANKAVE,Ankave,39,ear,hara7a,,
ANKAVE-40-1,ANKAVE,Ankave,40,eye,s3mu,,
ANKAVE-41-1,ANKAVE,Ankave,41,nose,s37ma,,
ANKAVE-43-1,ANKAVE,Ankave,43,tooth,mang3,,
ANKAVE-44-1,ANKAVE,Ankave,44,tongue,ai7w3,,
ANKAVE-47-1,ANKAVE,Ankave,47,knee,kwo7munga,,
ANKAVE-51-1,ANKAVE,Ankave,51,breast,s3ngw3,,
ANKAVE-53-1,ANKAVE,Ankave,53,liver,aia,,
ANKAVE-54-1,ANKAVE,Ankave,54,drink,n,,
ANKAVE-57-1,ANKAVE,Ankave,57,see,s3ngw3nande,,
ANKAVE-58-1,ANKAVE,Ankave,58,hear,a,,
ANKAVE-61-1,ANKAVE,Ankave,61,die,navedenge,,
ANKAVE-66-1,ANKAVE,Ankave,66,come,ayowavan3,,
ANKAVE-72-1,ANKAVE,Ankave,72,sun,sanggwa,,
ANKAVE-74-1,ANKAVE,Ankave,74,star,seng3,,
ANKAVE-75-1,ANKAVE,Ankave,75,water,y3nunggu,,
ANKAVE-77-1,ANKAVE,Ankave,77,stone,sa7anga,,
ANKAVE-82-1,ANKAVE,Ankave,82,fire,ta7a,,
ANKAVE-85-1,ANKAVE,Ankave,85,path,fay3,,
ANKAVE-85-2,ANKAVE,Ankave,85,path,o7a,,
ANKAVE-86-1,ANKAVE,Ankave,86,mountain,nt3wa,,
ANKAVE-92-1,ANKAVE,Ankave,92,night,sa7at3na,,
ANKAVE-95-1,ANKAVE,Ankave,95,full,mankute,,
ANKAVE-96-1,ANKAVE,Ankave,96,new,s3nga,,
ANKAVE-100-1,ANKAVE,Ankave,100,name,ava7nankana,,
