ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ANUFO-1-1,ANUFO,Anufo,1,I,mini,,
ANUFO-2-1,ANUFO,Anufo,2,you,wolo,,
ANUFO-11-1,ANUFO,Anufo,11,one,ku,,
ANUFO-12-1,ANUFO,Anufo,12,two,n5o,,
ANUFO-18-1,ANUFO,Anufo,18,person,sono,,
ANUFO-19-1,ANUFO,Anufo,19,fish,jomba,,
ANUFO-21-1,ANUFO,Anufo,21,dog,ca,,
ANUFO-23-1,ANUFO,Anufo,23,tree,baka,,
ANUFO-25-1,ANUFO,Anufo,25,leaf,5awa,,
ANUFO-28-1,ANUFO,Anufo,28,skin,angunE,,
ANUFO-30-1,ANUFO,Anufo,30,blood,mbunja,,
ANUFO-31-1,ANUFO,Anufo,31,bone,bue,,
ANUFO-34-1,ANUFO,Anufo,34,horn,mbiE,,
ANUFO-39-1,ANUFO,Anufo,39,ear,asui,,
ANUFO-40-1,ANUFO,Anufo,40,eye,a5umba,,
ANUFO-41-1,ANUFO,Anufo,41,nose,abue,,
ANUFO-43-1,ANUFO,Anufo,43,tooth,aje,,
ANUFO-44-1,ANUFO,Anufo,44,tongue,tafelema,,
ANUFO-47-1,ANUFO,Anufo,47,knee,aja,,
ANUFO-48-1,ANUFO,Anufo,48,hand,asa,,
ANUFO-51-1,ANUFO,Anufo,51,breast,5ufeni,,
ANUFO-53-1,ANUFO,Anufo,53,liver,buE,,
ANUFO-54-1,ANUFO,Anufo,54,drink,nu,,
ANUFO-57-1,ANUFO,Anufo,57,see,ngu,,
ANUFO-58-1,ANUFO,Anufo,58,hear,ti,,
ANUFO-61-1,ANUFO,Anufo,61,die,bolE,,
ANUFO-66-1,ANUFO,Anufo,66,come,ba,,
ANUFO-72-1,ANUFO,Anufo,72,sun,wiE,,
ANUFO-74-1,ANUFO,Anufo,74,star,asalamba,,
ANUFO-74-2,ANUFO,Anufo,74,star,salamba,,
ANUFO-75-1,ANUFO,Anufo,75,water,nsue,,
ANUFO-77-1,ANUFO,Anufo,77,stone,yabuE,,
ANUFO-82-1,ANUFO,Anufo,82,fire,si,,
ANUFO-85-1,ANUFO,Anufo,85,path,atimba,,
ANUFO-86-1,ANUFO,Anufo,86,mountain,buka,,
ANUFO-92-1,ANUFO,Anufo,92,night,konguE,,
ANUFO-95-1,ANUFO,Anufo,95,full,wayi,,
ANUFO-96-1,ANUFO,Anufo,96,new,fofolE,,
ANUFO-100-1,ANUFO,Anufo,100,name,duma,,
