ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
APALAI-1-1,APALAI,Apalai,1,I,3w3,,
APALAI-2-1,APALAI,Apalai,2,you,omoro,,
APALAI-3-1,APALAI,Apalai,3,we,3na,,
APALAI-11-1,APALAI,Apalai,11,one,toiro,,
APALAI-12-1,APALAI,Apalai,12,two,asakoro,,
APALAI-19-1,APALAI,Apalai,19,fish,kana,,
APALAI-21-1,APALAI,Apalai,21,dog,kaikuSi,,
APALAI-22-1,APALAI,Apalai,22,louse,azamo,,
APALAI-23-1,APALAI,Apalai,23,tree,wewe,,
APALAI-25-1,APALAI,Apalai,25,leaf,zar3,,
APALAI-28-1,APALAI,Apalai,28,skin,pipo,,
APALAI-30-1,APALAI,Apalai,30,blood,munu,,
APALAI-31-1,APALAI,Apalai,31,bone,zep3,,
APALAI-34-1,APALAI,Apalai,34,horn,ret3,,
APALAI-39-1,APALAI,Apalai,39,ear,pana,,
APALAI-40-1,APALAI,Apalai,40,eye,enu,,
APALAI-41-1,APALAI,Apalai,41,nose,euna,,
APALAI-43-1,APALAI,Apalai,43,tooth,ze,,
APALAI-44-1,APALAI,Apalai,44,tongue,nuru,,
APALAI-47-1,APALAI,Apalai,47,knee,esekumu,,
APALAI-48-1,APALAI,Apalai,48,hand,ema,,
APALAI-51-1,APALAI,Apalai,51,breast,manat3,,
APALAI-53-1,APALAI,Apalai,53,liver,err,,
APALAI-54-1,APALAI,Apalai,54,drink,en3,,
APALAI-57-1,APALAI,Apalai,57,see,ene,,
APALAI-58-1,APALAI,Apalai,58,hear,eta,,
APALAI-61-1,APALAI,Apalai,61,die,orik3,,
APALAI-66-1,APALAI,Apalai,66,come,oep3,,
APALAI-72-1,APALAI,Apalai,72,sun,SiSi,,
APALAI-74-1,APALAI,Apalai,74,star,Sirikuato,,
APALAI-75-1,APALAI,Apalai,75,water,tuna,,
APALAI-77-1,APALAI,Apalai,77,stone,topu,,
APALAI-82-1,APALAI,Apalai,82,fire,apoto,,
APALAI-85-1,APALAI,Apalai,85,path,osema,,
APALAI-86-1,APALAI,Apalai,86,mountain,3p3,,
APALAI-92-1,APALAI,Apalai,92,night,koko,,
APALAI-95-1,APALAI,Apalai,95,full,peme,,
APALAI-96-1,APALAI,Apalai,96,new,eSisene,,
APALAI-100-1,APALAI,Apalai,100,name,eset3,,
