ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ARABISHI-1-1,ARABISHI,Arabishi,1,I,yeN,,
ARABISHI-2-1,ARABISHI,Arabishi,2,you,yeke,,
ARABISHI-3-1,ARABISHI,Arabishi,3,we,yemu,,
ARABISHI-11-1,ARABISHI,Arabishi,11,one,da,,
ARABISHI-12-1,ARABISHI,Arabishi,12,two,bi,,
ARABISHI-18-1,ARABISHI,Arabishi,18,person,nC~e b3Ci,,
ARABISHI-19-1,ARABISHI,Arabishi,19,fish,gund~a,,
ARABISHI-21-1,ARABISHI,Arabishi,21,dog,k3re,,
ARABISHI-23-1,ARABISHI,Arabishi,23,tree,nt~aCi,,
ARABISHI-25-1,ARABISHI,Arabishi,25,leaf,g3Ny~a*,,
ARABISHI-28-1,ARABISHI,Arabishi,28,skin,pata,,
ARABISHI-30-1,ARABISHI,Arabishi,30,blood,jin,,
ARABISHI-31-1,ARABISHI,Arabishi,31,bone,k3Si,,
ARABISHI-34-1,ARABISHI,Arabishi,34,horn,koho,,
ARABISHI-39-1,ARABISHI,Arabishi,39,ear,kuN,,
ARABISHI-40-1,ARABISHI,Arabishi,40,eye,nd~an,,
ARABISHI-41-1,ARABISHI,Arabishi,41,nose,anC~i,,
ARABISHI-43-1,ARABISHI,Arabishi,43,tooth,akuri,,
ARABISHI-44-1,ARABISHI,Arabishi,44,tongue,ariSiya,,
ARABISHI-47-1,ARABISHI,Arabishi,47,knee,guyaN,,
ARABISHI-48-1,ARABISHI,Arabishi,48,hand,nan,,
ARABISHI-51-1,ARABISHI,Arabishi,51,breast,nono,,
ARABISHI-53-1,ARABISHI,Arabishi,53,liver,duSiya,,
ARABISHI-54-1,ARABISHI,Arabishi,54,drink,Sa,,
ARABISHI-57-1,ARABISHI,Arabishi,57,see,g3N,,
ARABISHI-58-1,ARABISHI,Arabishi,58,hear,ji,,
ARABISHI-61-1,ARABISHI,Arabishi,61,die,mutu,,
ARABISHI-66-1,ARABISHI,Arabishi,66,come,jo,,
ARABISHI-72-1,ARABISHI,Arabishi,72,sun,nana,,
ARABISHI-74-1,ARABISHI,Arabishi,74,star,k3N,,
ARABISHI-75-1,ARABISHI,Arabishi,75,water,ruwa,,
ARABISHI-77-1,ARABISHI,Arabishi,77,stone,dunC~i,,
ARABISHI-82-1,ARABISHI,Arabishi,82,fire,wuta,,
ARABISHI-85-1,ARABISHI,Arabishi,85,path,turiCi,,
ARABISHI-86-1,ARABISHI,Arabishi,86,mountain,tudu,,
ARABISHI-92-1,ARABISHI,Arabishi,92,night,d3d3ri,,
ARABISHI-95-1,ARABISHI,Arabishi,95,full,Cika,,
ARABISHI-96-1,ARABISHI,Arabishi,96,new,Sabuwa,,
ARABISHI-100-1,ARABISHI,Arabishi,100,name,Se*yi*,,
