ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ARBORE_2-1-1,ARBORE_2,Arbore 2,1,I,yelo,,
ARBORE_2-2-1,ARBORE_2,Arbore 2,2,you,gairta,,
ARBORE_2-3-1,ARBORE_2,Arbore 2,3,we,inu,,
ARBORE_2-11-1,ARBORE_2,Arbore 2,11,one,tokoTa,,
ARBORE_2-12-1,ARBORE_2,Arbore 2,12,two,lamaTa,,
ARBORE_2-18-1,ARBORE_2,Arbore 2,18,person,modo,,
ARBORE_2-19-1,ARBORE_2,Arbore 2,19,fish,"bek""a",,
ARBORE_2-21-1,ARBORE_2,Arbore 2,21,dog,kair,,
ARBORE_2-22-1,ARBORE_2,Arbore 2,22,louse,ingira,,
ARBORE_2-23-1,ARBORE_2,Arbore 2,23,tree,koro,,
ARBORE_2-25-1,ARBORE_2,Arbore 2,25,leaf,dedEnt~a,,
ARBORE_2-28-1,ARBORE_2,Arbore 2,28,skin,dulteda,,
ARBORE_2-30-1,ARBORE_2,Arbore 2,30,blood,"dik""a",,
ARBORE_2-31-1,ARBORE_2,Arbore 2,31,bone,lef,,
ARBORE_2-39-1,ARBORE_2,Arbore 2,39,ear,nebi,,
ARBORE_2-39-2,ARBORE_2,Arbore 2,39,ear,nebih,,
ARBORE_2-40-1,ARBORE_2,Arbore 2,40,eye,inT~a,,
ARBORE_2-41-1,ARBORE_2,Arbore 2,41,nose,sono,,
ARBORE_2-43-1,ARBORE_2,Arbore 2,43,tooth,ilkw~a,,
ARBORE_2-44-1,ARBORE_2,Arbore 2,44,tongue,lEke,,
ARBORE_2-48-1,ARBORE_2,Arbore 2,48,hand,lEba,,
ARBORE_2-53-1,ARBORE_2,Arbore 2,53,liver,sEde,,
ARBORE_2-54-1,ARBORE_2,Arbore 2,54,drink,ige,,
ARBORE_2-57-1,ARBORE_2,Arbore 2,57,see,doy,,
ARBORE_2-58-1,ARBORE_2,Arbore 2,58,hear,CakEstiy,,
ARBORE_2-61-1,ARBORE_2,Arbore 2,61,die,ziye,,
ARBORE_2-66-1,ARBORE_2,Arbore 2,66,come,maye,,
ARBORE_2-72-1,ARBORE_2,Arbore 2,72,sun,awa,,
ARBORE_2-74-1,ARBORE_2,Arbore 2,74,star,uzuke,,
ARBORE_2-74-2,ARBORE_2,Arbore 2,74,star,uzuke,,
ARBORE_2-75-1,ARBORE_2,Arbore 2,75,water,biCe,,
ARBORE_2-77-1,ARBORE_2,Arbore 2,77,stone,"k""ate",,
ARBORE_2-82-1,ARBORE_2,Arbore 2,82,fire,eg,,
ARBORE_2-85-1,ARBORE_2,Arbore 2,85,path,gorda,,
ARBORE_2-86-1,ARBORE_2,Arbore 2,86,mountain,El,,
ARBORE_2-92-1,ARBORE_2,Arbore 2,92,night,arawa,,
ARBORE_2-96-1,ARBORE_2,Arbore 2,96,new,haraya,,
ARBORE_2-100-1,ARBORE_2,Arbore 2,100,name,mEke7e,,
