ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ARIKARA-7-1,ARIKARA,Arikara,7,what,ka,,
ARIKARA-7-2,ARIKARA,Arikara,7,what,kah,,
ARIKARA-8-1,ARIKARA,Arikara,8,not,kaki,,
ARIKARA-10-1,ARIKARA,Arikara,10,many,ranihun,,
ARIKARA-11-1,ARIKARA,Arikara,11,one,axku,,
ARIKARA-12-1,ARIKARA,Arikara,12,two,pitkux,,
ARIKARA-13-1,ARIKARA,Arikara,13,big,takarux,,
ARIKARA-14-1,ARIKARA,Arikara,14,long,ak,,
ARIKARA-15-1,ARIKARA,Arikara,15,small,Ciripasit,,
ARIKARA-16-1,ARIKARA,Arikara,16,woman,sapat,,
ARIKARA-16-2,ARIKARA,Arikara,16,woman,suxtihna7u,,
ARIKARA-17-1,ARIKARA,Arikara,17,man,witana7u,,
ARIKARA-18-1,ARIKARA,Arikara,18,person,sahniS,,
ARIKARA-19-1,ARIKARA,Arikara,19,fish,CiwahtS,,
ARIKARA-20-1,ARIKARA,Arikara,20,bird,nikus,,
ARIKARA-21-1,ARIKARA,Arikara,21,dog,xatS,,
ARIKARA-22-1,ARIKARA,Arikara,22,louse,pis,,
ARIKARA-23-1,ARIKARA,Arikara,23,tree,hak,,
ARIKARA-24-1,ARIKARA,Arikara,24,seed,naCirik,,
ARIKARA-25-1,ARIKARA,Arikara,25,leaf,sCekarak,,
ARIKARA-26-1,ARIKARA,Arikara,26,root,kasukawi,,
ARIKARA-27-1,ARIKARA,Arikara,27,bark,hakskux,,
ARIKARA-28-1,ARIKARA,Arikara,28,skin,sahniSskux,,
ARIKARA-29-1,ARIKARA,Arikara,29,flesh,castS,,
ARIKARA-30-1,ARIKARA,Arikara,30,blood,pat,,
ARIKARA-31-1,ARIKARA,Arikara,31,bone,CiS,,
ARIKARA-32-1,ARIKARA,Arikara,32,grease,hitS,,
ARIKARA-33-1,ARIKARA,Arikara,33,egg,nipik,,
ARIKARA-34-1,ARIKARA,Arikara,34,horn,parik,,
ARIKARA-35-1,ARIKARA,Arikara,35,tail,nitk,,
ARIKARA-36-1,ARIKARA,Arikara,36,feather,hit,,
ARIKARA-37-1,ARIKARA,Arikara,37,hair,paxteskun,,
ARIKARA-38-1,ARIKARA,Arikara,38,head,pax,,
ARIKARA-39-1,ARIKARA,Arikara,39,ear,hitkahan,,
