ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ARRERNTE_CENTRAL-1-1,ARRERNTE_CENTRAL,Arrernte Central,1,I,ayeNe,,
ARRERNTE_CENTRAL-1-2,ARRERNTE_CENTRAL,Arrernte Central,1,I,th~e,,
ARRERNTE_CENTRAL-2-1,ARRERNTE_CENTRAL,Arrernte Central,2,you,unte,,
ARRERNTE_CENTRAL-2-2,ARRERNTE_CENTRAL,Arrernte Central,2,you,Ne,,
ARRERNTE_CENTRAL-3-1,ARRERNTE_CENTRAL,Arrernte Central,3,we,alwene,,
ARRERNTE_CENTRAL-11-1,ARRERNTE_CENTRAL,Arrernte Central,11,one,a5ente,,
ARRERNTE_CENTRAL-12-1,ARRERNTE_CENTRAL,Arrernte Central,12,two,ath~ere,,
ARRERNTE_CENTRAL-18-1,ARRERNTE_CENTRAL,Arrernte Central,18,person,ty~erty~e,,
ARRERNTE_CENTRAL-19-1,ARRERNTE_CENTRAL,Arrernte Central,19,fish,irpenNe,,
ARRERNTE_CENTRAL-21-1,ARRERNTE_CENTRAL,Arrernte Central,21,dog,akNwele,,
ARRERNTE_CENTRAL-22-1,ARRERNTE_CENTRAL,Arrernte Central,22,louse,areme,,
ARRERNTE_CENTRAL-23-1,ARRERNTE_CENTRAL,Arrernte Central,23,tree,ane,,
ARRERNTE_CENTRAL-25-1,ARRERNTE_CENTRAL,Arrernte Central,25,leaf,alpeLe,,
ARRERNTE_CENTRAL-25-2,ARRERNTE_CENTRAL,Arrernte Central,25,leaf,ilpeLe,,
ARRERNTE_CENTRAL-28-1,ARRERNTE_CENTRAL,Arrernte Central,28,skin,yenpe,,
ARRERNTE_CENTRAL-30-1,ARRERNTE_CENTRAL,Arrernte Central,30,blood,aLwe,,
ARRERNTE_CENTRAL-31-1,ARRERNTE_CENTRAL,Arrernte Central,31,bone,Nkwene,,
ARRERNTE_CENTRAL-34-1,ARRERNTE_CENTRAL,Arrernte Central,34,horn,rulyulye,,
ARRERNTE_CENTRAL-39-1,ARRERNTE_CENTRAL,Arrernte Central,39,ear,ilpe,,
ARRERNTE_CENTRAL-40-1,ARRERNTE_CENTRAL,Arrernte Central,40,eye,alkNe,,
ARRERNTE_CENTRAL-41-1,ARRERNTE_CENTRAL,Arrernte Central,41,nose,aLe,,
ARRERNTE_CENTRAL-43-1,ARRERNTE_CENTRAL,Arrernte Central,43,tooth,atity~e,,
ARRERNTE_CENTRAL-44-1,ARRERNTE_CENTRAL,Arrernte Central,44,tongue,ale5,,
ARRERNTE_CENTRAL-47-1,ARRERNTE_CENTRAL,Arrernte Central,47,knee,ampere,,
ARRERNTE_CENTRAL-48-1,ARRERNTE_CENTRAL,Arrernte Central,48,hand,ilty~e,,
ARRERNTE_CENTRAL-51-1,ARRERNTE_CENTRAL,Arrernte Central,51,breast,welaty~e,,
ARRERNTE_CENTRAL-53-1,ARRERNTE_CENTRAL,Arrernte Central,53,liver,aleme,,
ARRERNTE_CENTRAL-54-1,ARRERNTE_CENTRAL,Arrernte Central,54,drink,nty~weme,,
ARRERNTE_CENTRAL-57-1,ARRERNTE_CENTRAL,Arrernte Central,57,see,areme,,
ARRERNTE_CENTRAL-58-1,ARRERNTE_CENTRAL,Arrernte Central,58,hear,aweme,,
ARRERNTE_CENTRAL-61-1,ARRERNTE_CENTRAL,Arrernte Central,61,die,araNkweireme,,
ARRERNTE_CENTRAL-66-1,ARRERNTE_CENTRAL,Arrernte Central,66,come,apety~eme,,
ARRERNTE_CENTRAL-72-1,ARRERNTE_CENTRAL,Arrernte Central,72,sun,utene,,
ARRERNTE_CENTRAL-72-2,ARRERNTE_CENTRAL,Arrernte Central,72,sun,alenNE,,
ARRERNTE_CENTRAL-74-1,ARRERNTE_CENTRAL,Arrernte Central,74,star,kweralye,,
ARRERNTE_CENTRAL-75-1,ARRERNTE_CENTRAL,Arrernte Central,75,water,kwaty~e,,
ARRERNTE_CENTRAL-77-1,ARRERNTE_CENTRAL,Arrernte Central,77,stone,apwete,,
ARRERNTE_CENTRAL-82-1,ARRERNTE_CENTRAL,Arrernte Central,82,fire,ure,,
ARRERNTE_CENTRAL-85-1,ARRERNTE_CENTRAL,Arrernte Central,85,path,iwere,,
ARRERNTE_CENTRAL-86-1,ARRERNTE_CENTRAL,Arrernte Central,86,mountain,apwete,,
ARRERNTE_CENTRAL-92-1,ARRERNTE_CENTRAL,Arrernte Central,92,night,iNwe,,
ARRERNTE_CENTRAL-95-1,ARRERNTE_CENTRAL,Arrernte Central,95,full,mpwerke,,
ARRERNTE_CENTRAL-96-1,ARRERNTE_CENTRAL,Arrernte Central,96,new,alkale,,
ARRERNTE_CENTRAL-100-1,ARRERNTE_CENTRAL,Arrernte Central,100,name,arit5e,,
ARRERNTE_CENTRAL-100-2,ARRERNTE_CENTRAL,Arrernte Central,100,name,itne,,
