ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ARTA-1-1,ARTA,Arta,1,I,tan,,
ARTA-2-1,ARTA,Arta,2,you,taw,,
ARTA-3-1,ARTA,Arta,3,we,me7aduami,,
ARTA-11-1,ARTA,Arta,11,one,sipaN,,
ARTA-12-1,ARTA,Arta,12,two,talip,,
ARTA-18-1,ARTA,Arta,18,person,agani,,
ARTA-21-1,ARTA,Arta,21,dog,lapul,,
ARTA-22-1,ARTA,Arta,22,louse,utu,,
ARTA-23-1,ARTA,Arta,23,tree,ayu,,
ARTA-25-1,ARTA,Arta,25,leaf,don,,
ARTA-28-1,ARTA,Arta,28,skin,gadaN,,
ARTA-31-1,ARTA,Arta,31,bone,sagnit,,
ARTA-41-1,ARTA,Arta,41,nose,aduN,,
ARTA-53-1,ARTA,Arta,53,liver,dalem,,
ARTA-54-1,ARTA,Arta,54,drink,matim,,
ARTA-57-1,ARTA,Arta,57,see,ita,,
ARTA-58-1,ARTA,Arta,58,hear,atiNen,,
ARTA-61-1,ARTA,Arta,61,die,mapatid,,
ARTA-72-1,ARTA,Arta,72,sun,laNit,,
ARTA-75-1,ARTA,Arta,75,water,wagat,,
ARTA-77-1,ARTA,Arta,77,stone,karagatan,,
ARTA-82-1,ARTA,Arta,82,fire,dut,,
ARTA-85-1,ARTA,Arta,85,path,didiman,,
ARTA-86-1,ARTA,Arta,86,mountain,bukid,,
ARTA-92-1,ARTA,Arta,92,night,biNuet,,
ARTA-95-1,ARTA,Arta,95,full,minapano,,
ARTA-96-1,ARTA,Arta,96,new,buru,,
ARTA-100-1,ARTA,Arta,100,name,Nadin,,
