ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ASILULU-1-1,ASILULU,Asilulu,1,I,E7u,,
ASILULU-2-1,ASILULU,Asilulu,2,you,Ele,,
ASILULU-3-1,ASILULU,Asilulu,3,we,ite,,
ASILULU-11-1,ASILULU,Asilulu,11,one,EisE,,
ASILULU-11-2,ASILULU,Asilulu,11,one,sEne,,
ASILULU-12-1,ASILULU,Asilulu,12,two,luE,,
ASILULU-18-1,ASILULU,Asilulu,18,person,mEnsiE,,
ASILULU-19-1,ASILULU,Asilulu,19,fish,i7E,,
ASILULU-21-1,ASILULU,Asilulu,21,dog,Esu,,
ASILULU-22-1,ASILULU,Asilulu,22,louse,utu,,
ASILULU-25-1,ASILULU,Asilulu,25,leaf,EilEu,,
ASILULU-25-2,ASILULU,Asilulu,25,leaf,sElEEpEl,,
ASILULU-28-1,ASILULU,Asilulu,28,skin,luki,,
ASILULU-28-2,ASILULU,Asilulu,28,skin,usE,,
ASILULU-30-1,ASILULU,Asilulu,30,blood,lElE,,
ASILULU-31-1,ASILULU,Asilulu,31,bone,luli,,
ASILULU-39-1,ASILULU,Asilulu,39,ear,tE7inE,,
ASILULU-39-2,ASILULU,Asilulu,39,ear,tElinE,,
ASILULU-40-1,ASILULU,Asilulu,40,eye,mEtE,,
ASILULU-41-1,ASILULU,Asilulu,41,nose,ninu,,
ASILULU-43-1,ASILULU,Asilulu,43,tooth,niri,,
ASILULU-43-2,ASILULU,Asilulu,43,tooth,pu7un,,
ASILULU-44-1,ASILULU,Asilulu,44,tongue,mEle,,
ASILULU-48-1,ASILULU,Asilulu,48,hand,limE,,
ASILULU-51-1,ASILULU,Asilulu,51,breast,susu,,
ASILULU-53-1,ASILULU,Asilulu,53,liver,hEtu7E,,
ASILULU-54-1,ASILULU,Asilulu,54,drink,ninu,,
ASILULU-57-1,ASILULU,Asilulu,57,see,me7e,,
ASILULU-58-1,ASILULU,Asilulu,58,hear,pEnene,,
ASILULU-61-1,ASILULU,Asilulu,61,die,nEhu,,
ASILULU-61-2,ASILULU,Asilulu,61,die,nElEEmEsuli,,
ASILULU-74-1,ASILULU,Asilulu,74,star,ElEnmEtE,,
ASILULU-74-2,ASILULU,Asilulu,74,star,tEwE,,
ASILULU-75-1,ASILULU,Asilulu,75,water,wEel,,
ASILULU-75-2,ASILULU,Asilulu,75,water,rikE,,
ASILULU-77-1,ASILULU,Asilulu,77,stone,hEtu,,
ASILULU-82-1,ASILULU,Asilulu,82,fire,kEleri,,
ASILULU-82-2,ASILULU,Asilulu,82,fire,titE,,
ASILULU-85-1,ASILULU,Asilulu,85,path,lElEn,,
ASILULU-92-1,ASILULU,Asilulu,92,night,mite,,
ASILULU-96-1,ASILULU,Asilulu,96,new,helu,,
ASILULU-100-1,ASILULU,Asilulu,100,name,nElE,,
ASILULU-100-2,ASILULU,Asilulu,100,name,EbEN,,
