ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ASILULU_LIMA_WARAKA-1-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,1,I,jau,,
ASILULU_LIMA_WARAKA-2-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,2,you,hilejale,,
ASILULU_LIMA_WARAKA-3-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,3,we,hite,,
ASILULU_LIMA_WARAKA-11-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,11,one,sai,,
ASILULU_LIMA_WARAKA-12-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,12,two,lua,,
ASILULU_LIMA_WARAKA-19-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,19,fish,ijane,,
ASILULU_LIMA_WARAKA-21-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,21,dog,jasu,,
ASILULU_LIMA_WARAKA-22-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,22,louse,utu,,
ASILULU_LIMA_WARAKA-23-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,23,tree,hueij,,
ASILULU_LIMA_WARAKA-25-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,25,leaf,launi,,
ASILULU_LIMA_WARAKA-28-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,28,skin,luti,,
ASILULU_LIMA_WARAKA-30-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,30,blood,lala,,
ASILULU_LIMA_WARAKA-31-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,31,bone,luli,,
ASILULU_LIMA_WARAKA-34-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,34,horn,tupuli,,
ASILULU_LIMA_WARAKA-39-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,39,ear,tina,,
ASILULU_LIMA_WARAKA-40-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,40,eye,mata,,
ASILULU_LIMA_WARAKA-41-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,41,nose,ili,,
ASILULU_LIMA_WARAKA-43-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,43,tooth,nise,,
ASILULU_LIMA_WARAKA-44-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,44,tongue,mei,,
ASILULU_LIMA_WARAKA-47-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,47,knee,tupapalu,,
ASILULU_LIMA_WARAKA-48-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,48,hand,pala,,
ASILULU_LIMA_WARAKA-51-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,51,breast,susu,,
ASILULU_LIMA_WARAKA-53-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,53,liver,kokomule,,
ASILULU_LIMA_WARAKA-54-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,54,drink,inu,,
ASILULU_LIMA_WARAKA-57-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,57,see,lilae,,
ASILULU_LIMA_WARAKA-58-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,58,hear,hehe,,
ASILULU_LIMA_WARAKA-61-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,61,die,mata,,
ASILULU_LIMA_WARAKA-66-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,66,come,potu re tuka,,
ASILULU_LIMA_WARAKA-72-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,72,sun,liamatai,,
ASILULU_LIMA_WARAKA-74-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,74,star,walikokote,,
ASILULU_LIMA_WARAKA-75-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,75,water,waele,,
ASILULU_LIMA_WARAKA-77-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,77,stone,weseli,,
ASILULU_LIMA_WARAKA-77-2,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,77,stone,patu,,
ASILULU_LIMA_WARAKA-82-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,82,fire,jahu,,
ASILULU_LIMA_WARAKA-82-2,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,82,fire,kalula,,
ASILULU_LIMA_WARAKA-85-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,85,path,larina,,
ASILULU_LIMA_WARAKA-85-2,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,85,path,koi,,
ASILULU_LIMA_WARAKA-86-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,86,mountain,ulate,,
ASILULU_LIMA_WARAKA-92-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,92,night,memele,,
ASILULU_LIMA_WARAKA-95-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,95,full,kenu,,
ASILULU_LIMA_WARAKA-96-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,96,new,ipi reito,,
ASILULU_LIMA_WARAKA-100-1,ASILULU_LIMA_WARAKA,Asilulu Lima Waraka,100,name,nala,,
