ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ASOA-1-1,ASOA,Asoa,1,I,ema,,
ASOA-2-1,ASOA,Asoa,2,you,eme,,
ASOA-3-1,ASOA,Asoa,3,we,ama,,
ASOA-11-1,ASOA,Asoa,11,one,kana,,
ASOA-12-1,ASOA,Asoa,12,two,sondue,,
ASOA-19-1,ASOA,Asoa,19,fish,engare,,
ASOA-19-2,ASOA,Asoa,19,fish,engiare,,
ASOA-23-1,ASOA,Asoa,23,tree,ciakuo,,
ASOA-30-1,ASOA,Asoa,30,blood,erikuo,,
ASOA-31-1,ASOA,Asoa,31,bone,ekuo,,
ASOA-39-1,ASOA,Asoa,39,ear,anebi,,
ASOA-40-1,ASOA,Asoa,40,eye,aneNo,,
ASOA-41-1,ASOA,Asoa,41,nose,namo,,
ASOA-43-1,ASOA,Asoa,43,tooth,eki,,
ASOA-44-1,ASOA,Asoa,44,tongue,nekada,,
ASOA-47-1,ASOA,Asoa,47,knee,anakonso,,
ASOA-48-1,ASOA,Asoa,48,hand,ete,,
ASOA-51-1,ASOA,Asoa,51,breast,nekugo,,
ASOA-54-1,ASOA,Asoa,54,drink,kombo,,
ASOA-57-1,ASOA,Asoa,57,see,ka5a,,
ASOA-61-1,ASOA,Asoa,61,die,aNoNi,,
ASOA-66-1,ASOA,Asoa,66,come,keko,,
ASOA-72-1,ASOA,Asoa,72,sun,neiko,,
ASOA-74-1,ASOA,Asoa,74,star,akupe,,
ASOA-75-1,ASOA,Asoa,75,water,eguo,,
ASOA-77-1,ASOA,Asoa,77,stone,kopi,,
ASOA-82-1,ASOA,Asoa,82,fire,kago,,
ASOA-86-1,ASOA,Asoa,86,mountain,ekopi,,
ASOA-92-1,ASOA,Asoa,92,night,andokini,,
