ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ASTURIAN-1-1,ASTURIAN,Asturian,1,I,yo,,
ASTURIAN-2-1,ASTURIAN,Asturian,2,you,tu,,
ASTURIAN-3-1,ASTURIAN,Asturian,3,we,nos,,
ASTURIAN-11-1,ASTURIAN,Asturian,11,one,un,,
ASTURIAN-11-2,ASTURIAN,Asturian,11,one,una,,
ASTURIAN-11-3,ASTURIAN,Asturian,11,one,uno,,
ASTURIAN-12-1,ASTURIAN,Asturian,12,two,dos,,
ASTURIAN-18-1,ASTURIAN,Asturian,18,person,persona,,
ASTURIAN-19-1,ASTURIAN,Asturian,19,fish,peSe,,
ASTURIAN-21-1,ASTURIAN,Asturian,21,dog,perru,,
ASTURIAN-21-2,ASTURIAN,Asturian,21,dog,perra,,
ASTURIAN-22-1,ASTURIAN,Asturian,22,louse,pioyu,,
ASTURIAN-23-1,ASTURIAN,Asturian,23,tree,arbol,,
ASTURIAN-25-1,ASTURIAN,Asturian,25,leaf,fueya,,
ASTURIAN-28-1,ASTURIAN,Asturian,28,skin,piel,,
ASTURIAN-30-1,ASTURIAN,Asturian,30,blood,saNgre,,
ASTURIAN-31-1,ASTURIAN,Asturian,31,bone,uesu,,
ASTURIAN-34-1,ASTURIAN,Asturian,34,horn,kuernu,,
ASTURIAN-39-1,ASTURIAN,Asturian,39,ear,oreya,,
ASTURIAN-40-1,ASTURIAN,Asturian,40,eye,ueyu,,
ASTURIAN-41-1,ASTURIAN,Asturian,41,nose,nari8es,,
ASTURIAN-43-1,ASTURIAN,Asturian,43,tooth,diente,,
ASTURIAN-44-1,ASTURIAN,Asturian,44,tongue,paladar,,
ASTURIAN-47-1,ASTURIAN,Asturian,47,knee,rodia,,
ASTURIAN-48-1,ASTURIAN,Asturian,48,hand,mano,,
ASTURIAN-51-1,ASTURIAN,Asturian,51,breast,peCu,,
ASTURIAN-54-1,ASTURIAN,Asturian,54,drink,beber,,
ASTURIAN-57-1,ASTURIAN,Asturian,57,see,ver,,
ASTURIAN-58-1,ASTURIAN,Asturian,58,hear,oyer,,
ASTURIAN-61-1,ASTURIAN,Asturian,61,die,morrer,,
ASTURIAN-66-1,ASTURIAN,Asturian,66,come,venir,,
ASTURIAN-72-1,ASTURIAN,Asturian,72,sun,sol,,
ASTURIAN-74-1,ASTURIAN,Asturian,74,star,estrella,,
ASTURIAN-75-1,ASTURIAN,Asturian,75,water,agua,,
ASTURIAN-77-1,ASTURIAN,Asturian,77,stone,piedra,,
ASTURIAN-82-1,ASTURIAN,Asturian,82,fire,fueu,,
ASTURIAN-85-1,ASTURIAN,Asturian,85,path,kamin,,
ASTURIAN-86-1,ASTURIAN,Asturian,86,mountain,monte,,
ASTURIAN-92-1,ASTURIAN,Asturian,92,night,nueCe,,
ASTURIAN-95-1,ASTURIAN,Asturian,95,full,Leno,,
ASTURIAN-95-2,ASTURIAN,Asturian,95,full,Lenu,,
ASTURIAN-95-3,ASTURIAN,Asturian,95,full,Lena,,
ASTURIAN-96-1,ASTURIAN,Asturian,96,new,nuevu,,
ASTURIAN-96-2,ASTURIAN,Asturian,96,new,nueva,,
ASTURIAN-96-3,ASTURIAN,Asturian,96,new,nuevo,,
ASTURIAN-100-1,ASTURIAN,Asturian,100,name,nome,,
