ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AUCHI-1-1,AUCHI,Auchi,1,I,mE,,
AUCHI-3-1,AUCHI,Auchi,3,we,mae,,
AUCHI-12-1,AUCHI,Auchi,12,two,va,,
AUCHI-19-1,AUCHI,Auchi,19,fish,se,,
AUCHI-21-1,AUCHI,Auchi,21,dog,xwa,,
AUCHI-22-1,AUCHI,Auchi,22,louse,ru,,
AUCHI-23-1,AUCHI,Auchi,23,tree,rai,,
AUCHI-25-1,AUCHI,Auchi,25,leaf,be,,
AUCHI-28-1,AUCHI,Auchi,28,skin,fia,,
AUCHI-30-1,AUCHI,Auchi,30,blood,rai,,
AUCHI-34-1,AUCHI,Auchi,34,horn,kp~hae,,
AUCHI-39-1,AUCHI,Auchi,39,ear,bo,,
AUCHI-40-1,AUCHI,Auchi,40,eye,Lo,,
AUCHI-41-1,AUCHI,Auchi,41,nose,sue,,
AUCHI-43-1,AUCHI,Auchi,43,tooth,ko,,
AUCHI-44-1,AUCHI,Auchi,44,tongue,lEmi,,
AUCHI-48-1,AUCHI,Auchi,48,hand,bo,,
AUCHI-53-1,AUCHI,Auchi,53,liver,du,,
AUCHI-54-1,AUCHI,Auchi,54,drink,yo,,
AUCHI-57-1,AUCHI,Auchi,57,see,miE,,
AUCHI-58-1,AUCHI,Auchi,58,hear,so,,
AUCHI-61-1,AUCHI,Auchi,61,die,xu,,
AUCHI-75-1,AUCHI,Auchi,75,water,mE,,
AUCHI-77-1,AUCHI,Auchi,77,stone,do,,
AUCHI-92-1,AUCHI,Auchi,92,night,Nua,,
AUCHI-95-1,AUCHI,Auchi,95,full,vo,,
AUCHI-96-1,AUCHI,Auchi,96,new,gb~omi,,
AUCHI-100-1,AUCHI,Auchi,100,name,niLi,,
