ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AWA-1-1,AWA,Awa,1,I,ne,,
AWA-2-1,AWA,Awa,2,you,are,,
AWA-3-1,AWA,Awa,3,we,ite,,
AWA-4-1,AWA,Awa,4,this,mana,,
AWA-5-1,AWA,Awa,5,that,mina,,
AWA-6-1,AWA,Awa,6,who,entebo,,
AWA-7-1,AWA,Awa,7,what,aneq,,
AWA-9-1,AWA,Awa,9,all,moke,,
AWA-10-1,AWA,Awa,10,many,ahnd~e,,
AWA-11-1,AWA,Awa,11,one,mora,,
AWA-12-1,AWA,Awa,12,two,tatare,,
AWA-13-1,AWA,Awa,13,big,anotah,,
AWA-14-1,AWA,Awa,14,long,tatahi,,
AWA-15-1,AWA,Awa,15,small,ma,,
AWA-15-2,AWA,Awa,15,small,pegariq,,
AWA-16-1,AWA,Awa,16,woman,ahre,,
AWA-17-1,AWA,Awa,17,man,weh,,
AWA-19-1,AWA,Awa,19,fish,nontah,,
AWA-19-2,AWA,Awa,19,fish,koeyaq,,
AWA-20-1,AWA,Awa,20,bird,nuwo,,
AWA-21-1,AWA,Awa,21,dog,iya,,
AWA-22-1,AWA,Awa,22,louse,nu,,
AWA-23-1,AWA,Awa,23,tree,ta,,
AWA-23-2,AWA,Awa,23,tree,awanga,,
AWA-24-1,AWA,Awa,24,seed,ahyu,,
AWA-25-1,AWA,Awa,25,leaf,ahnah,,
AWA-26-1,AWA,Awa,26,root,anuq,,
AWA-27-1,AWA,Awa,27,bark,ahweh,,
AWA-29-1,AWA,Awa,29,flesh,aweq,,
AWA-30-1,AWA,Awa,30,blood,nehe,,
AWA-31-1,AWA,Awa,31,bone,ayanta,,
AWA-32-1,AWA,Awa,32,grease,mayewe,,
AWA-35-1,AWA,Awa,35,tail,ehw~e,,
AWA-35-2,AWA,Awa,35,tail,awe,,
AWA-36-1,AWA,Awa,36,feather,abowa,,
AWA-37-1,AWA,Awa,37,hair,ayara,,
AWA-37-2,AWA,Awa,37,hair,yara,,
AWA-38-1,AWA,Awa,38,head,ayaqno,,
AWA-39-1,AWA,Awa,39,ear,ahre,,
AWA-40-1,AWA,Awa,40,eye,aura,,
AWA-41-1,AWA,Awa,41,nose,abiah,,
AWA-42-1,AWA,Awa,42,mouth,awiq,,
AWA-43-1,AWA,Awa,43,tooth,aweh,,
AWA-44-1,AWA,Awa,44,tongue,anebi,,
AWA-45-1,AWA,Awa,45,claw,ayanobeq,,
AWA-46-1,AWA,Awa,46,foot,aitaru,,
AWA-47-1,AWA,Awa,47,knee,arau,,
AWA-48-1,AWA,Awa,48,hand,ayanobeh,,
AWA-49-1,AWA,Awa,49,belly,amuq,,
AWA-50-1,AWA,Awa,50,neck,anuo,,
AWA-51-1,AWA,Awa,51,breast,nah,,
AWA-52-1,AWA,Awa,52,heart,awabo,,
AWA-53-1,AWA,Awa,53,liver,aru,,
AWA-54-1,AWA,Awa,54,drink,nano,,
AWA-55-1,AWA,Awa,55,eat,nano,,
AWA-56-1,AWA,Awa,56,bite,ungiye,,
AWA-57-1,AWA,Awa,57,see,tagaho,,
AWA-58-1,AWA,Awa,58,hear,iro,,
AWA-59-1,AWA,Awa,59,know,iro,,
AWA-60-1,AWA,Awa,60,sleep,tugeq,,
AWA-61-1,AWA,Awa,61,die,pukire,,
AWA-62-1,AWA,Awa,62,kill,subio,,
AWA-64-1,AWA,Awa,64,fly,kogo,,
AWA-64-2,AWA,Awa,64,fly,ogo,,
AWA-65-1,AWA,Awa,65,walk,pokaiq,,
AWA-66-1,AWA,Awa,66,come,tiye,,
AWA-68-1,AWA,Awa,68,sit,maratuo,,
