ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
AWNGI-1-1,AWNGI,Awngi,1,I,an,,
AWNGI-1-2,AWNGI,Awngi,1,I,ani,,
AWNGI-2-1,AWNGI,Awngi,2,you,3nt,,
AWNGI-2-2,AWNGI,Awngi,2,you,3nti,,
AWNGI-3-1,AWNGI,Awngi,3,we,3noji,,
AWNGI-11-1,AWNGI,Awngi,11,one,3mp3l,,
AWNGI-11-2,AWNGI,Awngi,11,one,laxu,,
AWNGI-12-1,AWNGI,Awngi,12,two,laNa,,
AWNGI-18-1,AWNGI,Awngi,18,person,aqi,,
AWNGI-19-1,AWNGI,Awngi,19,fish,asi,,
AWNGI-21-1,AWNGI,Awngi,21,dog,g3seN,,
AWNGI-22-1,AWNGI,Awngi,22,louse,yinti,,
AWNGI-23-1,AWNGI,Awngi,23,tree,kani,,
AWNGI-25-1,AWNGI,Awngi,25,leaf,xaci,,
AWNGI-28-1,AWNGI,Awngi,28,skin,ay,,
AWNGI-30-1,AWNGI,Awngi,30,blood,b3ri,,
AWNGI-31-1,AWNGI,Awngi,31,bone,Nac,,
AWNGI-34-1,AWNGI,Awngi,34,horn,jenj,,
AWNGI-39-1,AWNGI,Awngi,39,ear,3nkoxi,,
AWNGI-40-1,AWNGI,Awngi,40,eye,3l,,
AWNGI-41-1,AWNGI,Awngi,41,nose,3san,,
AWNGI-43-1,AWNGI,Awngi,43,tooth,3rkw~i,,
AWNGI-44-1,AWNGI,Awngi,44,tongue,caN,,
AWNGI-47-1,AWNGI,Awngi,47,knee,g3r3b,,
AWNGI-48-1,AWNGI,Awngi,48,hand,taf,,
AWNGI-51-1,AWNGI,Awngi,51,breast,angw~,,
AWNGI-53-1,AWNGI,Awngi,53,liver,dolet,,
AWNGI-54-1,AWNGI,Awngi,54,drink,z3q,,
AWNGI-57-1,AWNGI,Awngi,57,see,kant,,
AWNGI-58-1,AWNGI,Awngi,58,hear,3nkox,,
AWNGI-58-2,AWNGI,Awngi,58,hear,3nkw~ax,,
AWNGI-61-1,AWNGI,Awngi,61,die,k3r,,
AWNGI-66-1,AWNGI,Awngi,66,come,ant,,
AWNGI-66-2,AWNGI,Awngi,66,come,yint,,
AWNGI-74-1,AWNGI,Awngi,74,star,bewa,,
AWNGI-75-1,AWNGI,Awngi,75,water,axu,,
AWNGI-77-1,AWNGI,Awngi,77,stone,kar3N,,
AWNGI-82-1,AWNGI,Awngi,82,fire,leg,,
AWNGI-85-1,AWNGI,Awngi,85,path,dad,,
AWNGI-86-1,AWNGI,Awngi,86,mountain,kan,,
AWNGI-92-1,AWNGI,Awngi,92,night,xar,,
AWNGI-95-1,AWNGI,Awngi,95,full,wox,,
AWNGI-96-1,AWNGI,Awngi,96,new,3skawi,,
AWNGI-100-1,AWNGI,Awngi,100,name,s3m,,
