ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BADE-1-1,BADE,Bade,1,I,n3,,
BADE-1-2,BADE,Bade,1,I,n3n,,
BADE-2-1,BADE,Bade,2,you,nagi,,
BADE-2-2,BADE,Bade,2,you,ya,,
BADE-3-1,BADE,Bade,3,we,gu,,
BADE-3-2,BADE,Bade,3,we,gun,,
BADE-11-1,BADE,Bade,11,one,gadi,,
BADE-12-1,BADE,Bade,12,two,s3r3n,,
BADE-18-1,BADE,Bade,18,person,ndi,,
BADE-19-1,BADE,Bade,19,fish,suyu,,
BADE-19-2,BADE,Bade,19,fish,v3nakau,,
BADE-21-1,BADE,Bade,21,dog,ja,,
BADE-22-1,BADE,Bade,22,louse,Cangar,,
BADE-23-1,BADE,Bade,23,tree,d3m,,
BADE-23-2,BADE,Bade,23,tree,waka,,
BADE-25-1,BADE,Bade,25,leaf,am3k3 d3m,,
BADE-25-2,BADE,Bade,25,leaf,ami,,
BADE-28-1,BADE,Bade,28,skin,3lv3k,,
BADE-30-1,BADE,Bade,30,blood,t3d3m,,
BADE-31-1,BADE,Bade,31,bone,awuk,,
BADE-31-2,BADE,Bade,31,bone,silak,,
BADE-34-1,BADE,Bade,34,horn,fuwak,,
BADE-39-1,BADE,Bade,39,ear,gut,,
BADE-40-1,BADE,Bade,40,eye,da,,
BADE-41-1,BADE,Bade,41,nose,3stan,,
BADE-43-1,BADE,Bade,43,tooth,yan,,
BADE-43-2,BADE,Bade,43,tooth,C3Nna,,
BADE-44-1,BADE,Bade,44,tongue,m3rny~i,,
BADE-44-2,BADE,Bade,44,tongue,m3r5i,,
BADE-47-1,BADE,Bade,47,knee,adakfu,,
BADE-48-1,BADE,Bade,48,hand,ami,,
BADE-51-1,BADE,Bade,51,breast,f3fau,,
BADE-53-1,BADE,Bade,53,liver,anavau,,
BADE-54-1,BADE,Bade,54,drink,sau,,
BADE-57-1,BADE,Bade,57,see,ikau,,
BADE-58-1,BADE,Bade,58,hear,d3gw~u,,
BADE-61-1,BADE,Bade,61,die,mtu,,
BADE-66-1,BADE,Bade,66,come,dawau,,
BADE-66-2,BADE,Bade,66,come,nayi,,
BADE-72-1,BADE,Bade,72,sun,afa,,
BADE-74-1,BADE,Bade,74,star,gusau,,
BADE-75-1,BADE,Bade,75,water,am3n,,
BADE-77-1,BADE,Bade,77,stone,venyi,,
BADE-77-2,BADE,Bade,77,stone,ve5i,,
BADE-82-1,BADE,Bade,82,fire,aka,,
BADE-85-1,BADE,Bade,85,path,3bdam,,
BADE-86-1,BADE,Bade,86,mountain,venyi,,
BADE-86-2,BADE,Bade,86,mountain,ve5i,,
BADE-92-1,BADE,Bade,92,night,3dv3d,,
BADE-95-1,BADE,Bade,95,full,Cipa,,
BADE-95-2,BADE,Bade,95,full,kiLa,,
BADE-96-1,BADE,Bade,96,new,k3la,,
BADE-100-1,BADE,Bade,100,name,wud,,
