ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BAETORA-1-1,BAETORA,Baetora,1,I,inau,,
BAETORA-2-1,BAETORA,Baetora,2,you,iniNg~o,,
BAETORA-3-1,BAETORA,Baetora,3,we,ixind~a,,
BAETORA-11-1,BAETORA,Baetora,11,one,tibw~ale,,
BAETORA-12-1,BAETORA,Baetora,12,two,rua,,
BAETORA-19-1,BAETORA,Baetora,19,fish,mas,,
BAETORA-21-1,BAETORA,Baetora,21,dog,xiriu,,
BAETORA-22-1,BAETORA,Baetora,22,louse,mw~and~i,,
BAETORA-23-1,BAETORA,Baetora,23,tree,xai,,
BAETORA-25-1,BAETORA,Baetora,25,leaf,rau,,
BAETORA-28-1,BAETORA,Baetora,28,skin,binu,,
BAETORA-30-1,BAETORA,Baetora,30,blood,nd~ei,,
BAETORA-31-1,BAETORA,Baetora,31,bone,sui,,
BAETORA-39-1,BAETORA,Baetora,39,ear,mbw$ero,,
BAETORA-40-1,BAETORA,Baetora,40,eye,mata,,
BAETORA-41-1,BAETORA,Baetora,41,nose,mbw$aNo,,
BAETORA-43-1,BAETORA,Baetora,43,tooth,libo,,
BAETORA-44-1,BAETORA,Baetora,44,tongue,luame,,
BAETORA-47-1,BAETORA,Baetora,47,knee,mb~au,,
BAETORA-48-1,BAETORA,Baetora,48,hand,lima,,
BAETORA-51-1,BAETORA,Baetora,51,breast,susu,,
BAETORA-53-1,BAETORA,Baetora,53,liver,bara,,
BAETORA-57-1,BAETORA,Baetora,57,see,leo,,
BAETORA-58-1,BAETORA,Baetora,58,hear,roNotaxi,,
BAETORA-61-1,BAETORA,Baetora,61,die,mate,,
BAETORA-66-1,BAETORA,Baetora,66,come,banai,,
BAETORA-72-1,BAETORA,Baetora,72,sun,alo,,
BAETORA-74-1,BAETORA,Baetora,74,star,bitiu,,
BAETORA-75-1,BAETORA,Baetora,75,water,wai,,
BAETORA-77-1,BAETORA,Baetora,77,stone,batu,,
BAETORA-82-1,BAETORA,Baetora,82,fire,eabi,,
BAETORA-85-1,BAETORA,Baetora,85,path,sala,,
BAETORA-86-1,BAETORA,Baetora,86,mountain,reboxi,,
BAETORA-92-1,BAETORA,Baetora,92,night,tamb~oNi,,
BAETORA-100-1,BAETORA,Baetora,100,name,isa,,
