ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BAETORA_NASAWA-1-1,BAETORA_NASAWA,Baetora Nasawa,1,I,nu,,
BAETORA_NASAWA-2-1,BAETORA_NASAWA,Baetora Nasawa,2,you,niNg~o,,
BAETORA_NASAWA-3-1,BAETORA_NASAWA,Baetora Nasawa,3,we,xind~a,,
BAETORA_NASAWA-11-1,BAETORA_NASAWA,Baetora Nasawa,11,one,tea,,
BAETORA_NASAWA-12-1,BAETORA_NASAWA,Baetora Nasawa,12,two,rua,,
BAETORA_NASAWA-18-1,BAETORA_NASAWA,Baetora Nasawa,18,person,tat,,
BAETORA_NASAWA-19-1,BAETORA_NASAWA,Baetora Nasawa,19,fish,mas,,
BAETORA_NASAWA-21-1,BAETORA_NASAWA,Baetora Nasawa,21,dog,xiriu,,
BAETORA_NASAWA-22-1,BAETORA_NASAWA,Baetora Nasawa,22,louse,mw~an,,
BAETORA_NASAWA-23-1,BAETORA_NASAWA,Baetora Nasawa,23,tree,xai,,
BAETORA_NASAWA-25-1,BAETORA_NASAWA,Baetora Nasawa,25,leaf,nd~u,,
BAETORA_NASAWA-28-1,BAETORA_NASAWA,Baetora Nasawa,28,skin,finE,,
BAETORA_NASAWA-30-1,BAETORA_NASAWA,Baetora Nasawa,30,blood,nd~i,,
BAETORA_NASAWA-31-1,BAETORA_NASAWA,Baetora Nasawa,31,bone,si,,
BAETORA_NASAWA-39-1,BAETORA_NASAWA,Baetora Nasawa,39,ear,mb~oro,,
BAETORA_NASAWA-40-1,BAETORA_NASAWA,Baetora Nasawa,40,eye,mata,,
BAETORA_NASAWA-41-1,BAETORA_NASAWA,Baetora Nasawa,41,nose,xansi,,
BAETORA_NASAWA-43-1,BAETORA_NASAWA,Baetora Nasawa,43,tooth,libo,,
BAETORA_NASAWA-44-1,BAETORA_NASAWA,Baetora Nasawa,44,tongue,luame,,
BAETORA_NASAWA-48-1,BAETORA_NASAWA,Baetora Nasawa,48,hand,lima,,
BAETORA_NASAWA-54-1,BAETORA_NASAWA,Baetora Nasawa,54,drink,min,,
BAETORA_NASAWA-57-1,BAETORA_NASAWA,Baetora Nasawa,57,see,le,,
BAETORA_NASAWA-58-1,BAETORA_NASAWA,Baetora Nasawa,58,hear,roNo,,
BAETORA_NASAWA-61-1,BAETORA_NASAWA,Baetora Nasawa,61,die,mate,,
BAETORA_NASAWA-66-1,BAETORA_NASAWA,Baetora Nasawa,66,come,bani,,
BAETORA_NASAWA-72-1,BAETORA_NASAWA,Baetora Nasawa,72,sun,yalo,,
BAETORA_NASAWA-74-1,BAETORA_NASAWA,Baetora Nasawa,74,star,bitiu,,
BAETORA_NASAWA-75-1,BAETORA_NASAWA,Baetora Nasawa,75,water,wi,,
BAETORA_NASAWA-77-1,BAETORA_NASAWA,Baetora Nasawa,77,stone,bat,,
BAETORA_NASAWA-82-1,BAETORA_NASAWA,Baetora Nasawa,82,fire,yab,,
BAETORA_NASAWA-85-1,BAETORA_NASAWA,Baetora Nasawa,85,path,sala,,
BAETORA_NASAWA-86-1,BAETORA_NASAWA,Baetora Nasawa,86,mountain,riri,,
BAETORA_NASAWA-92-1,BAETORA_NASAWA,Baetora Nasawa,92,night,tamb~oN,,
BAETORA_NASAWA-96-1,BAETORA_NASAWA,Baetora Nasawa,96,new,xarambw$e,,
BAETORA_NASAWA-100-1,BAETORA_NASAWA,Baetora Nasawa,100,name,sa,,
