ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BALANTA-1-1,BALANTA,Balanta,1,I,5i,,
BALANTA-2-1,BALANTA,Balanta,2,you,hu,,
BALANTA-3-1,BALANTA,Balanta,3,we,b3,,
BALANTA-11-1,BALANTA,Balanta,11,one,odn,,
BALANTA-12-1,BALANTA,Balanta,12,two,sebm,,
BALANTA-18-1,BALANTA,Balanta,18,person,hal,,
BALANTA-19-1,BALANTA,Balanta,19,fish,sala7,,
BALANTA-21-1,BALANTA,Balanta,21,dog,betn,,
BALANTA-22-1,BALANTA,Balanta,22,louse,sooN,,
BALANTA-23-1,BALANTA,Balanta,23,tree,ta,,
BALANTA-25-1,BALANTA,Balanta,25,leaf,yoN,,
BALANTA-28-1,BALANTA,Balanta,28,skin,faya,,
BALANTA-30-1,BALANTA,Balanta,30,blood,saham,,
BALANTA-31-1,BALANTA,Balanta,31,bone,hol,,
BALANTA-34-1,BALANTA,Balanta,34,horn,tebm,,
BALANTA-39-1,BALANTA,Balanta,39,ear,lo7,,
BALANTA-40-1,BALANTA,Balanta,40,eye,kit,,
BALANTA-41-1,BALANTA,Balanta,41,nose,fuNa,,
BALANTA-43-1,BALANTA,Balanta,43,tooth,tet,,
BALANTA-44-1,BALANTA,Balanta,44,tongue,lem,,
BALANTA-47-1,BALANTA,Balanta,47,knee,Tuhum,,
BALANTA-48-1,BALANTA,Balanta,48,hand,Tef,,
BALANTA-51-1,BALANTA,Balanta,51,breast,den,,
BALANTA-54-1,BALANTA,Balanta,54,drink,segN,,
BALANTA-57-1,BALANTA,Balanta,57,see,bek,,
BALANTA-58-1,BALANTA,Balanta,58,hear,sem,,
BALANTA-61-1,BALANTA,Balanta,61,die,lod,,
BALANTA-66-1,BALANTA,Balanta,66,come,ben,,
BALANTA-66-2,BALANTA,Balanta,66,come,benta,,
BALANTA-72-1,BALANTA,Balanta,72,sun,laN,,
BALANTA-74-1,BALANTA,Balanta,74,star,gb~o8a7,,
BALANTA-75-1,BALANTA,Balanta,75,water,wada,,
BALANTA-77-1,BALANTA,Balanta,77,stone,lagN,,
BALANTA-82-1,BALANTA,Balanta,82,fire,Toha7,,
BALANTA-85-1,BALANTA,Balanta,85,path,sin,,
BALANTA-86-1,BALANTA,Balanta,86,mountain,5uta7,,
BALANTA-92-1,BALANTA,Balanta,92,night,marha,,
BALANTA-96-1,BALANTA,Balanta,96,new,hama,,
BALANTA-100-1,BALANTA,Balanta,100,name,toka,,
BALANTA-100-2,BALANTA,Balanta,100,name,mb~am,,
