ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BANAWA-11-1,BANAWA,Banawa,11,one,owaria,,
BANAWA-12-1,BANAWA,Banawa,12,two,fama,,
BANAWA-19-1,BANAWA,Banawa,19,fish,aba,,
BANAWA-21-1,BANAWA,Banawa,21,dog,iomai,,
BANAWA-22-1,BANAWA,Banawa,22,louse,kamati,,
BANAWA-23-1,BANAWA,Banawa,23,tree,awe,,
BANAWA-23-2,BANAWA,Banawa,23,tree,ewene,,
BANAWA-25-1,BANAWA,Banawa,25,leaf,afe,,
BANAWA-25-2,BANAWA,Banawa,25,leaf,efe,,
BANAWA-28-1,BANAWA,Banawa,28,skin,atari,,
BANAWA-28-2,BANAWA,Banawa,28,skin,ataro,,
BANAWA-30-1,BANAWA,Banawa,30,blood,ame,,
BANAWA-30-2,BANAWA,Banawa,30,blood,emene,,
BANAWA-31-1,BANAWA,Banawa,31,bone,tone,,
BANAWA-39-1,BANAWA,Banawa,39,ear,warabi,,
BANAWA-39-2,BANAWA,Banawa,39,ear,warabo,,
BANAWA-40-1,BANAWA,Banawa,40,eye,noki,,
BANAWA-40-2,BANAWA,Banawa,40,eye,noko,,
BANAWA-41-1,BANAWA,Banawa,41,nose,widi,,
BANAWA-43-1,BANAWA,Banawa,43,tooth,ini,,
BANAWA-43-2,BANAWA,Banawa,43,tooth,ino,,
BANAWA-48-1,BANAWA,Banawa,48,hand,yahi,,
BANAWA-48-2,BANAWA,Banawa,48,hand,yehe,,
BANAWA-51-1,BANAWA,Banawa,51,breast,yohar,,
BANAWA-51-2,BANAWA,Banawa,51,breast,yohari,,
BANAWA-53-1,BANAWA,Banawa,53,liver,wati,,
BANAWA-54-1,BANAWA,Banawa,54,drink,fa,,
BANAWA-54-2,BANAWA,Banawa,54,drink,fawa,,
BANAWA-57-1,BANAWA,Banawa,57,see,kii,,
BANAWA-58-1,BANAWA,Banawa,58,hear,mita,,
BANAWA-66-1,BANAWA,Banawa,66,come,kama,,
BANAWA-72-1,BANAWA,Banawa,72,sun,mai,,
BANAWA-74-1,BANAWA,Banawa,74,star,amowa,,
BANAWA-75-1,BANAWA,Banawa,75,water,fahi,,
BANAWA-75-2,BANAWA,Banawa,75,water,fehene,,
BANAWA-77-1,BANAWA,Banawa,77,stone,yati,,
BANAWA-82-1,BANAWA,Banawa,82,fire,yifo,,
BANAWA-82-2,BANAWA,Banawa,82,fire,yifene,,
BANAWA-85-1,BANAWA,Banawa,85,path,hawi,,
BANAWA-85-2,BANAWA,Banawa,85,path,hawine,,
BANAWA-86-1,BANAWA,Banawa,86,mountain,adami,,
BANAWA-95-1,BANAWA,Banawa,95,full,kibi,,
BANAWA-96-1,BANAWA,Banawa,96,new,yati,,
