ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BANDA_YANGERE-1-1,BANDA_YANGERE,Banda Yangere,1,I,mo,,
BANDA_YANGERE-2-1,BANDA_YANGERE,Banda Yangere,2,you,bo,,
BANDA_YANGERE-3-1,BANDA_YANGERE,Banda Yangere,3,we,a,,
BANDA_YANGERE-11-1,BANDA_YANGERE,Banda Yangere,11,one,bale,,
BANDA_YANGERE-12-1,BANDA_YANGERE,Banda Yangere,12,two,bisi,,
BANDA_YANGERE-18-1,BANDA_YANGERE,Banda Yangere,18,person,ozu,,
BANDA_YANGERE-19-1,BANDA_YANGERE,Banda Yangere,19,fish,suNu,,
BANDA_YANGERE-21-1,BANDA_YANGERE,Banda Yangere,21,dog,yaforo,,
BANDA_YANGERE-22-1,BANDA_YANGERE,Banda Yangere,22,louse,coco,,
BANDA_YANGERE-23-1,BANDA_YANGERE,Banda Yangere,23,tree,ndojo,,
BANDA_YANGERE-25-1,BANDA_YANGERE,Banda Yangere,25,leaf,kako,,
BANDA_YANGERE-28-1,BANDA_YANGERE,Banda Yangere,28,skin,koko,,
BANDA_YANGERE-30-1,BANDA_YANGERE,Banda Yangere,30,blood,njinji,,
BANDA_YANGERE-31-1,BANDA_YANGERE,Banda Yangere,31,bone,gbebi,,
BANDA_YANGERE-34-1,BANDA_YANGERE,Banda Yangere,34,horn,dede,,
BANDA_YANGERE-39-1,BANDA_YANGERE,Banda Yangere,39,ear,tutu,,
BANDA_YANGERE-40-1,BANDA_YANGERE,Banda Yangere,40,eye,lala,,
BANDA_YANGERE-40-2,BANDA_YANGERE,Banda Yangere,40,eye,cici,,
BANDA_YANGERE-41-1,BANDA_YANGERE,Banda Yangere,41,nose,mawo,,
BANDA_YANGERE-43-1,BANDA_YANGERE,Banda Yangere,43,tooth,zizi,,
BANDA_YANGERE-44-1,BANDA_YANGERE,Banda Yangere,44,tongue,time,,
BANDA_YANGERE-47-1,BANDA_YANGERE,Banda Yangere,47,knee,kota,,
BANDA_YANGERE-48-1,BANDA_YANGERE,Banda Yangere,48,hand,kEnE,,
BANDA_YANGERE-48-2,BANDA_YANGERE,Banda Yangere,48,hand,nEnE,,
BANDA_YANGERE-53-1,BANDA_YANGERE,Banda Yangere,53,liver,bEbE,,
BANDA_YANGERE-54-1,BANDA_YANGERE,Banda Yangere,54,drink,njo,,
BANDA_YANGERE-57-1,BANDA_YANGERE,Banda Yangere,57,see,wo,,
BANDA_YANGERE-58-1,BANDA_YANGERE,Banda Yangere,58,hear,ji,,
BANDA_YANGERE-61-1,BANDA_YANGERE,Banda Yangere,61,die,cu,,
BANDA_YANGERE-72-1,BANDA_YANGERE,Banda Yangere,72,sun,lolo,,
BANDA_YANGERE-74-1,BANDA_YANGERE,Banda Yangere,74,star,EmbElEpE,,
BANDA_YANGERE-75-1,BANDA_YANGERE,Banda Yangere,75,water,NuNu,,
BANDA_YANGERE-77-1,BANDA_YANGERE,Banda Yangere,77,stone,kpokpo,,
BANDA_YANGERE-82-1,BANDA_YANGERE,Banda Yangere,82,fire,wowo,,
BANDA_YANGERE-85-1,BANDA_YANGERE,Banda Yangere,85,path,wawa,,
BANDA_YANGERE-86-1,BANDA_YANGERE,Banda Yangere,86,mountain,kaga,,
BANDA_YANGERE-86-2,BANDA_YANGERE,Banda Yangere,86,mountain,Nawola,,
BANDA_YANGERE-92-1,BANDA_YANGERE,Banda Yangere,92,night,sulubu,,
BANDA_YANGERE-95-1,BANDA_YANGERE,Banda Yangere,95,full,be,,
BANDA_YANGERE-100-1,BANDA_YANGERE,Banda Yangere,100,name,ere,,
