ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BANGUBANGU_KABAMBARE-11-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,11,one,u*mu,,
BANGUBANGU_KABAMBARE-12-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,12,two,bidi,,
BANGUBANGU_KABAMBARE-18-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,18,person,ndu,,
BANGUBANGU_KABAMBARE-19-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,19,fish,bElElo,,
BANGUBANGU_KABAMBARE-21-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,21,dog,bozE,,
BANGUBANGU_KABAMBARE-22-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,22,louse,ku*su*,,
BANGUBANGU_KABAMBARE-23-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,23,tree,ti,,
BANGUBANGU_KABAMBARE-25-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,25,leaf,bi*zi*,,
BANGUBANGU_KABAMBARE-28-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,28,skin,sEba,,
BANGUBANGU_KABAMBARE-30-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,30,blood,loha,,
BANGUBANGU_KABAMBARE-31-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,31,bone,fuha,,
BANGUBANGU_KABAMBARE-34-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,34,horn,wiga,,
BANGUBANGU_KABAMBARE-39-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,39,ear,oSo,,
BANGUBANGU_KABAMBARE-40-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,40,eye,isu*,,
BANGUBANGU_KABAMBARE-41-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,41,nose,hEmbE,,
BANGUBANGU_KABAMBARE-43-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,43,tooth,inu*,,
BANGUBANGU_KABAMBARE-44-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,44,tongue,di*mi*,,
BANGUBANGU_KABAMBARE-47-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,47,knee,5u*,,
BANGUBANGU_KABAMBARE-48-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,48,hand,bo,,
BANGUBANGU_KABAMBARE-51-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,51,breast,bEdE,,
BANGUBANGU_KABAMBARE-53-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,53,liver,suzi,,
BANGUBANGU_KABAMBARE-54-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,54,drink,5w,,
BANGUBANGU_KABAMBARE-57-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,57,see,man,,
BANGUBANGU_KABAMBARE-58-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,58,hear,tElEgEz,,
BANGUBANGU_KABAMBARE-61-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,61,die,mot,,
BANGUBANGU_KABAMBARE-66-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,66,come,vEgEy,,
BANGUBANGU_KABAMBARE-74-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,74,star,wi*ni* gu*lu*,,
BANGUBANGU_KABAMBARE-75-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,75,water,Ema,,
BANGUBANGU_KABAMBARE-77-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,77,stone,bohE,,
BANGUBANGU_KABAMBARE-82-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,82,fire,di*lu*,,
BANGUBANGU_KABAMBARE-85-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,85,path,zi*la,,
BANGUBANGU_KABAMBARE-86-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,86,mountain,tEnda,,
BANGUBANGU_KABAMBARE-92-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,92,night,fu,,
BANGUBANGU_KABAMBARE-95-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,95,full,yu*di,,
BANGUBANGU_KABAMBARE-96-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,96,new,hya,,
BANGUBANGU_KABAMBARE-100-1,BANGUBANGU_KABAMBARE,Bangubangu Kabambare,100,name,zi*na,,
