ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BEAMI-1-1,BEAMI,Beami,1,I,ne,,
BEAMI-2-1,BEAMI,Beami,2,you,ti,,
BEAMI-3-1,BEAMI,Beami,3,we,nini,,
BEAMI-11-1,BEAMI,Beami,11,one,age,,
BEAMI-12-1,BEAMI,Beami,12,two,agedu,,
BEAMI-19-1,BEAMI,Beami,19,fish,seme,,
BEAMI-21-1,BEAMI,Beami,21,dog,ogono,,
BEAMI-22-1,BEAMI,Beami,22,louse,imu*,,
BEAMI-23-1,BEAMI,Beami,23,tree,i,,
BEAMI-25-1,BEAMI,Beami,25,leaf,ipau,,
BEAMI-28-1,BEAMI,Beami,28,skin,kodofo,,
BEAMI-30-1,BEAMI,Beami,30,blood,hiole,,
BEAMI-31-1,BEAMI,Beami,31,bone,kiwi,,
BEAMI-39-1,BEAMI,Beami,39,ear,kahe,,
BEAMI-40-1,BEAMI,Beami,40,eye,si,,
BEAMI-43-1,BEAMI,Beami,43,tooth,pese,,
BEAMI-43-2,BEAMI,Beami,43,tooth,bese,,
BEAMI-44-1,BEAMI,Beami,44,tongue,eli,,
BEAMI-47-1,BEAMI,Beami,47,knee,emogumu,,
BEAMI-51-1,BEAMI,Beami,51,breast,toto,,
BEAMI-57-1,BEAMI,Beami,57,see,peyaha,,
BEAMI-58-1,BEAMI,Beami,58,hear,naboba,,
BEAMI-66-1,BEAMI,Beami,66,come,masipe,,
BEAMI-72-1,BEAMI,Beami,72,sun,eso,,
BEAMI-74-1,BEAMI,Beami,74,star,sikabi,,
BEAMI-75-1,BEAMI,Beami,75,water,o*ta*,,
BEAMI-77-1,BEAMI,Beami,77,stone,igi,,
BEAMI-82-1,BEAMI,Beami,82,fire,nulu,,
BEAMI-85-1,BEAMI,Beami,85,path,idi,,
BEAMI-86-1,BEAMI,Beami,86,mountain,segebi,,
BEAMI-92-1,BEAMI,Beami,92,night,kasigi,,
BEAMI-95-1,BEAMI,Beami,95,full,wa*la*sube,,
BEAMI-96-1,BEAMI,Beami,96,new,kaha*,,
BEAMI-100-1,BEAMI,Beami,100,name,a*i,,
