ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BENGRU_HRUSO-1-1,BENGRU_HRUSO,Bengru Hruso,1,I,5oN,,
BENGRU_HRUSO-2-1,BENGRU_HRUSO,Bengru Hruso,2,you,ni,,
BENGRU_HRUSO-11-1,BENGRU_HRUSO,Bengru Hruso,11,one,akh~o,,
BENGRU_HRUSO-12-1,BENGRU_HRUSO,Bengru Hruso,12,two,k3xai,,
BENGRU_HRUSO-18-1,BENGRU_HRUSO,Bengru Hruso,18,person,n3vo,,
BENGRU_HRUSO-19-1,BENGRU_HRUSO,Bengru Hruso,19,fish,jociman,,
BENGRU_HRUSO-21-1,BENGRU_HRUSO,Bengru Hruso,21,dog,Zaupai,,
BENGRU_HRUSO-23-1,BENGRU_HRUSO,Bengru Hruso,23,tree,go,,
BENGRU_HRUSO-25-1,BENGRU_HRUSO,Bengru Hruso,25,leaf,Lie,,
BENGRU_HRUSO-28-1,BENGRU_HRUSO,Bengru Hruso,28,skin,bia,,
BENGRU_HRUSO-30-1,BENGRU_HRUSO,Bengru Hruso,30,blood,Zie,,
BENGRU_HRUSO-31-1,BENGRU_HRUSO,Bengru Hruso,31,bone,Li,,
BENGRU_HRUSO-39-1,BENGRU_HRUSO,Bengru Hruso,39,ear,bua,,
BENGRU_HRUSO-40-1,BENGRU_HRUSO,Bengru Hruso,40,eye,via,,
BENGRU_HRUSO-41-1,BENGRU_HRUSO,Bengru Hruso,41,nose,5iguaN,,
BENGRU_HRUSO-43-1,BENGRU_HRUSO,Bengru Hruso,43,tooth,du,,
BENGRU_HRUSO-44-1,BENGRU_HRUSO,Bengru Hruso,44,tongue,5iblai,,
BENGRU_HRUSO-47-1,BENGRU_HRUSO,Bengru Hruso,47,knee,laik3pei,,
BENGRU_HRUSO-48-1,BENGRU_HRUSO,Bengru Hruso,48,hand,gai,,
BENGRU_HRUSO-51-1,BENGRU_HRUSO,Bengru Hruso,51,breast,na7,,
BENGRU_HRUSO-53-1,BENGRU_HRUSO,Bengru Hruso,53,liver,dian,,
BENGRU_HRUSO-54-1,BENGRU_HRUSO,Bengru Hruso,54,drink,doN,,
BENGRU_HRUSO-57-1,BENGRU_HRUSO,Bengru Hruso,57,see,goNlu,,
BENGRU_HRUSO-58-1,BENGRU_HRUSO,Bengru Hruso,58,hear,xai,,
BENGRU_HRUSO-58-2,BENGRU_HRUSO,Bengru Hruso,58,hear,xailu,,
BENGRU_HRUSO-61-1,BENGRU_HRUSO,Bengru Hruso,61,die,tei,,
BENGRU_HRUSO-66-1,BENGRU_HRUSO,Bengru Hruso,66,come,dai,,
BENGRU_HRUSO-72-1,BENGRU_HRUSO,Bengru Hruso,72,sun,l3juwai,,
BENGRU_HRUSO-74-1,BENGRU_HRUSO,Bengru Hruso,74,star,l3ch~o,,
BENGRU_HRUSO-75-1,BENGRU_HRUSO,Bengru Hruso,75,water,j3u,,
BENGRU_HRUSO-77-1,BENGRU_HRUSO,Bengru Hruso,77,stone,kurubo,,
BENGRU_HRUSO-82-1,BENGRU_HRUSO,Bengru Hruso,82,fire,me,,
BENGRU_HRUSO-85-1,BENGRU_HRUSO,Bengru Hruso,85,path,xaibo,,
BENGRU_HRUSO-86-1,BENGRU_HRUSO,Bengru Hruso,86,mountain,graN,,
BENGRU_HRUSO-92-1,BENGRU_HRUSO,Bengru Hruso,92,night,nai,,
BENGRU_HRUSO-96-1,BENGRU_HRUSO,Bengru Hruso,96,new,k3x3,,
