ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BERTI-1-1,BERTI,Berti,1,I,su,,
BERTI-1-2,BERTI,Berti,1,I,si,,
BERTI-2-1,BERTI,Berti,2,you,nege,,
BERTI-2-2,BERTI,Berti,2,you,negi,,
BERTI-3-1,BERTI,Berti,3,we,sinuN,,
BERTI-3-2,BERTI,Berti,3,we,sinaN,,
BERTI-11-1,BERTI,Berti,11,one,saN,,
BERTI-12-1,BERTI,Berti,12,two,su,,
BERTI-18-1,BERTI,Berti,18,person,an,,
BERTI-18-2,BERTI,Berti,18,person,aN,,
BERTI-21-1,BERTI,Berti,21,dog,mir,,
BERTI-21-2,BERTI,Berti,21,dog,mur,,
BERTI-22-1,BERTI,Berti,22,louse,wiN,,
BERTI-23-1,BERTI,Berti,23,tree,gu,,
BERTI-23-2,BERTI,Berti,23,tree,guta,,
BERTI-25-1,BERTI,Berti,25,leaf,gu terak,,
BERTI-25-2,BERTI,Berti,25,leaf,guan terak,,
BERTI-28-1,BERTI,Berti,28,skin,tira,,
BERTI-30-1,BERTI,Berti,30,blood,aku,,
BERTI-31-1,BERTI,Berti,31,bone,Suru,,
BERTI-31-2,BERTI,Berti,31,bone,SiruN,,
BERTI-34-1,BERTI,Berti,34,horn,Siti,,
BERTI-34-2,BERTI,Berti,34,horn,yanda,,
BERTI-39-1,BERTI,Berti,39,ear,keN,,
BERTI-39-2,BERTI,Berti,39,ear,keiN,,
BERTI-40-1,BERTI,Berti,40,eye,siN,,
BERTI-40-2,BERTI,Berti,40,eye,soeN,,
BERTI-41-1,BERTI,Berti,41,nose,sano,,
BERTI-43-1,BERTI,Berti,43,tooth,koeN,,
BERTI-43-2,BERTI,Berti,43,tooth,kiN,,
BERTI-44-1,BERTI,Berti,44,tongue,tamisi,,
BERTI-44-2,BERTI,Berti,44,tongue,tamsi,,
BERTI-47-1,BERTI,Berti,47,knee,kuru,,
BERTI-47-2,BERTI,Berti,47,knee,kur,,
BERTI-48-1,BERTI,Berti,48,hand,mei,,
BERTI-48-2,BERTI,Berti,48,hand,may,,
BERTI-51-1,BERTI,Berti,51,breast,takN,,
BERTI-51-2,BERTI,Berti,51,breast,takin,,
BERTI-72-1,BERTI,Berti,72,sun,toeN,,
BERTI-72-2,BERTI,Berti,72,sun,tiN,,
BERTI-74-1,BERTI,Berti,74,star,mar,,
BERTI-75-1,BERTI,Berti,75,water,mi,,
BERTI-77-1,BERTI,Berti,77,stone,wi,,
BERTI-77-2,BERTI,Berti,77,stone,wiserei,,
BERTI-82-1,BERTI,Berti,82,fire,aza,,
BERTI-85-1,BERTI,Berti,85,path,goender butia,,
BERTI-86-1,BERTI,Berti,86,mountain,wi,,
BERTI-92-1,BERTI,Berti,92,night,gini,,
BERTI-95-1,BERTI,Berti,95,full,sitas,,
BERTI-95-2,BERTI,Berti,95,full,sitaS,,
BERTI-96-1,BERTI,Berti,96,new,boo,,
BERTI-96-2,BERTI,Berti,96,new,tisiN,,
BERTI-100-1,BERTI,Berti,100,name,zoeN,,
BERTI-100-2,BERTI,Berti,100,name,uN,,
