ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BESME-1-1,BESME,Besme,1,I,mi,,
BESME-2-1,BESME,Besme,2,you,mu,,
BESME-11-1,BESME,Besme,11,one,mbr$aN,,
BESME-12-1,BESME,Besme,12,two,Ciri,,
BESME-18-1,BESME,Besme,18,person,sunu,,
BESME-19-1,BESME,Besme,19,fish,Ci,,
BESME-21-1,BESME,Besme,21,dog,gw~i,,
BESME-23-1,BESME,Besme,23,tree,ura,,
BESME-25-1,BESME,Besme,25,leaf,do,,
BESME-28-1,BESME,Besme,28,skin,hu3,,
BESME-30-1,BESME,Besme,30,blood,Com,,
BESME-31-1,BESME,Besme,31,bone,kal,,
BESME-34-1,BESME,Besme,34,horn,tom,,
BESME-39-1,BESME,Besme,39,ear,horo,,
BESME-40-1,BESME,Besme,40,eye,nd~ua,,
BESME-41-1,BESME,Besme,41,nose,vu*a*l,,
BESME-43-1,BESME,Besme,43,tooth,hi*yim,,
BESME-44-1,BESME,Besme,44,tongue,delEm,,
BESME-47-1,BESME,Besme,47,knee,gubal,,
BESME-48-1,BESME,Besme,48,hand,ju,,
BESME-51-1,BESME,Besme,51,breast,pw~a,,
BESME-54-1,BESME,Besme,54,drink,nd~o,,
BESME-57-1,BESME,Besme,57,see,gw~al,,
BESME-58-1,BESME,Besme,58,hear,to*,,
BESME-61-1,BESME,Besme,61,die,siy3,,
BESME-66-1,BESME,Besme,66,come,mb~o gini,,
BESME-72-1,BESME,Besme,72,sun,go,,
BESME-75-1,BESME,Besme,75,water,mam,,
BESME-77-1,BESME,Besme,77,stone,ndil,,
BESME-82-1,BESME,Besme,82,fire,wal,,
BESME-85-1,BESME,Besme,85,path,vump~ul,,
BESME-92-1,BESME,Besme,92,night,dal,,
BESME-95-1,BESME,Besme,95,full,wi,,
BESME-96-1,BESME,Besme,96,new,fi*,,
BESME-100-1,BESME,Besme,100,name,di*,,
