ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BOMA_NORD-11-1,BOMA_NORD,Boma Nord,11,one,muri,,
BOMA_NORD-12-1,BOMA_NORD,Boma Nord,12,two,hE,,
BOMA_NORD-18-1,BOMA_NORD,Boma Nord,18,person,o,,
BOMA_NORD-19-1,BOMA_NORD,Boma Nord,19,fish,twu,,
BOMA_NORD-21-1,BOMA_NORD,Boma Nord,21,dog,bva,,
BOMA_NORD-22-1,BOMA_NORD,Boma Nord,22,louse,sana,,
BOMA_NORD-23-1,BOMA_NORD,Boma Nord,23,tree,te,,
BOMA_NORD-25-1,BOMA_NORD,Boma Nord,25,leaf,zili,,
BOMA_NORD-28-1,BOMA_NORD,Boma Nord,28,skin,pro,,
BOMA_NORD-28-2,BOMA_NORD,Boma Nord,28,skin,pru le mute,,
BOMA_NORD-30-1,BOMA_NORD,Boma Nord,30,blood,kya,,
BOMA_NORD-31-1,BOMA_NORD,Boma Nord,31,bone,kpa,,
BOMA_NORD-34-1,BOMA_NORD,Boma Nord,34,horn,siri,,
BOMA_NORD-39-1,BOMA_NORD,Boma Nord,39,ear,twe,,
BOMA_NORD-40-1,BOMA_NORD,Boma Nord,40,eye,zinu,,
BOMA_NORD-41-1,BOMA_NORD,Boma Nord,41,nose,cue,,
BOMA_NORD-44-1,BOMA_NORD,Boma Nord,44,tongue,lumi,,
BOMA_NORD-47-1,BOMA_NORD,Boma Nord,47,knee,boho,,
BOMA_NORD-48-1,BOMA_NORD,Boma Nord,48,hand,oro,,
BOMA_NORD-51-1,BOMA_NORD,Boma Nord,51,breast,bEo,,
BOMA_NORD-53-1,BOMA_NORD,Boma Nord,53,liver,piku,,
BOMA_NORD-54-1,BOMA_NORD,Boma Nord,54,drink,5wa,,
BOMA_NORD-57-1,BOMA_NORD,Boma Nord,57,see,mo,,
BOMA_NORD-58-1,BOMA_NORD,Boma Nord,58,hear,5wara,,
BOMA_NORD-61-1,BOMA_NORD,Boma Nord,61,die,kpa,,
BOMA_NORD-66-1,BOMA_NORD,Boma Nord,66,come,za,,
BOMA_NORD-72-1,BOMA_NORD,Boma Nord,72,sun,ana,,
BOMA_NORD-74-1,BOMA_NORD,Boma Nord,74,star,horo,,
BOMA_NORD-75-1,BOMA_NORD,Boma Nord,75,water,pE,,
BOMA_NORD-77-1,BOMA_NORD,Boma Nord,77,stone,kEli,,
BOMA_NORD-82-1,BOMA_NORD,Boma Nord,82,fire,ba,,
BOMA_NORD-85-1,BOMA_NORD,Boma Nord,85,path,bi,,
BOMA_NORD-86-1,BOMA_NORD,Boma Nord,86,mountain,kuwe,,
BOMA_NORD-92-1,BOMA_NORD,Boma Nord,92,night,vu,,
BOMA_NORD-95-1,BOMA_NORD,Boma Nord,95,full,koN5wara,,
BOMA_NORD-96-1,BOMA_NORD,Boma Nord,96,new,mbEhE,,
BOMA_NORD-100-1,BOMA_NORD,Boma Nord,100,name,na,,
