ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BOMA_NORD_SAIO-11-1,BOMA_NORD_SAIO,Boma Nord Saio,11,one,moy,,
BOMA_NORD_SAIO-12-1,BOMA_NORD_SAIO,Boma Nord Saio,12,two,pE,,
BOMA_NORD_SAIO-18-1,BOMA_NORD_SAIO,Boma Nord Saio,18,person,wur,,
BOMA_NORD_SAIO-19-1,BOMA_NORD_SAIO,Boma Nord Saio,19,fish,su,,
BOMA_NORD_SAIO-19-2,BOMA_NORD_SAIO,Boma Nord Saio,19,fish,uka,,
BOMA_NORD_SAIO-21-1,BOMA_NORD_SAIO,Boma Nord Saio,21,dog,va,,
BOMA_NORD_SAIO-22-1,BOMA_NORD_SAIO,Boma Nord Saio,22,louse,sina,,
BOMA_NORD_SAIO-23-1,BOMA_NORD_SAIO,Boma Nord Saio,23,tree,tE,,
BOMA_NORD_SAIO-25-1,BOMA_NORD_SAIO,Boma Nord Saio,25,leaf,chia,,
BOMA_NORD_SAIO-28-1,BOMA_NORD_SAIO,Boma Nord Saio,28,skin,ban,,
BOMA_NORD_SAIO-30-1,BOMA_NORD_SAIO,Boma Nord Saio,30,blood,kla,,
BOMA_NORD_SAIO-31-1,BOMA_NORD_SAIO,Boma Nord Saio,31,bone,kokor,,
BOMA_NORD_SAIO-34-1,BOMA_NORD_SAIO,Boma Nord Saio,34,horn,bwo,,
BOMA_NORD_SAIO-39-1,BOMA_NORD_SAIO,Boma Nord Saio,39,ear,ti,,
BOMA_NORD_SAIO-40-1,BOMA_NORD_SAIO,Boma Nord Saio,40,eye,i,,
BOMA_NORD_SAIO-41-1,BOMA_NORD_SAIO,Boma Nord Saio,41,nose,vwom,,
BOMA_NORD_SAIO-43-1,BOMA_NORD_SAIO,Boma Nord Saio,43,tooth,in,,
BOMA_NORD_SAIO-44-1,BOMA_NORD_SAIO,Boma Nord Saio,44,tongue,lim,,
BOMA_NORD_SAIO-47-1,BOMA_NORD_SAIO,Boma Nord Saio,47,knee,vwo,,
BOMA_NORD_SAIO-48-1,BOMA_NORD_SAIO,Boma Nord Saio,48,hand,iEk,,
BOMA_NORD_SAIO-51-1,BOMA_NORD_SAIO,Boma Nord Saio,51,breast,biEl,,
BOMA_NORD_SAIO-51-2,BOMA_NORD_SAIO,Boma Nord Saio,51,breast,dum,,
BOMA_NORD_SAIO-53-1,BOMA_NORD_SAIO,Boma Nord Saio,53,liver,saful,,
BOMA_NORD_SAIO-54-1,BOMA_NORD_SAIO,Boma Nord Saio,54,drink,nwa,,
BOMA_NORD_SAIO-57-1,BOMA_NORD_SAIO,Boma Nord Saio,57,see,mon,,
BOMA_NORD_SAIO-58-1,BOMA_NORD_SAIO,Boma Nord Saio,58,hear,zuka,,
BOMA_NORD_SAIO-61-1,BOMA_NORD_SAIO,Boma Nord Saio,61,die,gpa,,
BOMA_NORD_SAIO-66-1,BOMA_NORD_SAIO,Boma Nord Saio,66,come,ca,,
BOMA_NORD_SAIO-72-1,BOMA_NORD_SAIO,Boma Nord Saio,72,sun,bil,,
BOMA_NORD_SAIO-74-1,BOMA_NORD_SAIO,Boma Nord Saio,74,star,siEm,,
BOMA_NORD_SAIO-75-1,BOMA_NORD_SAIO,Boma Nord Saio,75,water,ay,,
BOMA_NORD_SAIO-77-1,BOMA_NORD_SAIO,Boma Nord Saio,77,stone,tar,,
BOMA_NORD_SAIO-82-1,BOMA_NORD_SAIO,Boma Nord Saio,82,fire,ba,,
BOMA_NORD_SAIO-85-1,BOMA_NORD_SAIO,Boma Nord Saio,85,path,buka,,
BOMA_NORD_SAIO-92-1,BOMA_NORD_SAIO,Boma Nord Saio,92,night,tshuk,,
BOMA_NORD_SAIO-95-1,BOMA_NORD_SAIO,Boma Nord Saio,95,full,lay,,
BOMA_NORD_SAIO-96-1,BOMA_NORD_SAIO,Boma Nord Saio,96,new,mpa,,
BOMA_NORD_SAIO-100-1,BOMA_NORD_SAIO,Boma Nord Saio,100,name,na,,
