ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BONDEI-11-1,BONDEI,Bondei,11,one,mwe,,
BONDEI-11-2,BONDEI,Bondei,11,one,mwenga,,
BONDEI-12-1,BONDEI,Bondei,12,two,idi,,
BONDEI-12-2,BONDEI,Bondei,12,two,ili,,
BONDEI-18-1,BONDEI,Bondei,18,person,nthu,,
BONDEI-19-1,BONDEI,Bondei,19,fish,maki,,
BONDEI-21-1,BONDEI,Bondei,21,dog,ui,,
BONDEI-22-1,BONDEI,Bondei,22,louse,da,,
BONDEI-23-1,BONDEI,Bondei,23,tree,ti,,
BONDEI-25-1,BONDEI,Bondei,25,leaf,ani,,
BONDEI-28-1,BONDEI,Bondei,28,skin,bu,,
BONDEI-30-1,BONDEI,Bondei,30,blood,phome,,
BONDEI-31-1,BONDEI,Bondei,31,bone,vuha,,
BONDEI-34-1,BONDEI,Bondei,34,horn,hembe,,
BONDEI-39-1,BONDEI,Bondei,39,ear,twi,,
BONDEI-40-1,BONDEI,Bondei,40,eye,iso,,
BONDEI-41-1,BONDEI,Bondei,41,nose,phua,,
BONDEI-43-1,BONDEI,Bondei,43,tooth,ino,,
BONDEI-44-1,BONDEI,Bondei,44,tongue,limi,,
BONDEI-47-1,BONDEI,Bondei,47,knee,ndi,,
BONDEI-51-1,BONDEI,Bondei,51,breast,ombo,,
BONDEI-53-1,BONDEI,Bondei,53,liver,ini,,
BONDEI-54-1,BONDEI,Bondei,54,drink,nywa,,
BONDEI-57-1,BONDEI,Bondei,57,see,ona,,
BONDEI-58-1,BONDEI,Bondei,58,hear,sikia,,
BONDEI-61-1,BONDEI,Bondei,61,die,fa,,
BONDEI-66-1,BONDEI,Bondei,66,come,eza,,
BONDEI-72-1,BONDEI,Bondei,72,sun,ua,,
BONDEI-74-1,BONDEI,Bondei,74,star,th~ondo,,
BONDEI-74-2,BONDEI,Bondei,74,star,yota,,
BONDEI-75-1,BONDEI,Bondei,75,water,azi,,
BONDEI-77-1,BONDEI,Bondei,77,stone,we,,
BONDEI-82-1,BONDEI,Bondei,82,fire,oto,,
BONDEI-85-1,BONDEI,Bondei,85,path,sia,,
BONDEI-86-1,BONDEI,Bondei,86,mountain,wima,,
BONDEI-92-1,BONDEI,Bondei,92,night,io,,
BONDEI-96-1,BONDEI,Bondei,96,new,hya,,
BONDEI-100-1,BONDEI,Bondei,100,name,ina,,
