ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BRU_WESTERN_UnnamedInSource-1-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,1,I,Nka7,,
BRU_WESTERN_UnnamedInSource-3-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,3,we,mhay,,
BRU_WESTERN_UnnamedInSource-11-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,11,one,muy,,
BRU_WESTERN_UnnamedInSource-12-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,12,two,bar,,
BRU_WESTERN_UnnamedInSource-18-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,18,person,kuay,,
BRU_WESTERN_UnnamedInSource-19-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,19,fish,kaL,,
BRU_WESTERN_UnnamedInSource-21-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,21,dog,ca,,
BRU_WESTERN_UnnamedInSource-22-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,22,louse,nCy,,
BRU_WESTERN_UnnamedInSource-23-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,23,tree,ka 7luaN,,
BRU_WESTERN_UnnamedInSource-25-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,25,leaf,ktuN,,
BRU_WESTERN_UnnamedInSource-28-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,28,skin,Nkar,,
BRU_WESTERN_UnnamedInSource-30-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,30,blood,Nham,,
BRU_WESTERN_UnnamedInSource-31-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,31,bone,NhaN,,
BRU_WESTERN_UnnamedInSource-34-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,34,horn,tkay,,
BRU_WESTERN_UnnamedInSource-39-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,39,ear,ktor,,
BRU_WESTERN_UnnamedInSource-40-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,40,eye,mat,,
BRU_WESTERN_UnnamedInSource-41-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,41,nose,muh,,
BRU_WESTERN_UnnamedInSource-43-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,43,tooth,knaN,,
BRU_WESTERN_UnnamedInSource-44-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,44,tongue,liayh,,
BRU_WESTERN_UnnamedInSource-47-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,47,knee,rkol,,
BRU_WESTERN_UnnamedInSource-48-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,48,hand,ty,,
BRU_WESTERN_UnnamedInSource-51-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,51,breast,toh,,
BRU_WESTERN_UnnamedInSource-53-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,53,liver,luam,,
BRU_WESTERN_UnnamedInSource-54-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,54,drink,Nuay7,,
BRU_WESTERN_UnnamedInSource-58-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,58,hear,saN,,
BRU_WESTERN_UnnamedInSource-66-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,66,come,t7,,
BRU_WESTERN_UnnamedInSource-72-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,72,sun,mat mnaN,,
BRU_WESTERN_UnnamedInSource-74-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,74,star,mntor,,
BRU_WESTERN_UnnamedInSource-75-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,75,water,dy7,,
BRU_WESTERN_UnnamedInSource-77-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,77,stone,tmaw,,
BRU_WESTERN_UnnamedInSource-82-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,82,fire,uyh,,
BRU_WESTERN_UnnamedInSource-85-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,85,path,rna,,
BRU_WESTERN_UnnamedInSource-92-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,92,night,sdaw,,
BRU_WESTERN_UnnamedInSource-95-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,95,full,pan,,
BRU_WESTERN_UnnamedInSource-96-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,96,new,tmay,,
BRU_WESTERN_UnnamedInSource-100-1,BRU_WESTERN_UnnamedInSource,Bru Western Unnamedinsource,100,name,rm3h,,
