ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BUIN-1-1,BUIN,Buin,1,I,ne,,
BUIN-1-2,BUIN,Buin,1,I,nne,,
BUIN-2-1,BUIN,Buin,2,you,ro,,
BUIN-3-1,BUIN,Buin,3,we,re,,
BUIN-11-1,BUIN,Buin,11,one,noi,,
BUIN-11-2,BUIN,Buin,11,one,non,,
BUIN-11-3,BUIN,Buin,11,one,no,,
BUIN-12-1,BUIN,Buin,12,two,ke,,
BUIN-12-2,BUIN,Buin,12,two,keu,,
BUIN-12-3,BUIN,Buin,12,two,ki,,
BUIN-12-4,BUIN,Buin,12,two,tu,,
BUIN-12-5,BUIN,Buin,12,two,tupara,,
BUIN-18-1,BUIN,Buin,18,person,roi,,
BUIN-19-1,BUIN,Buin,19,fish,iana,,
BUIN-19-2,BUIN,Buin,19,fish,topi,,
BUIN-19-3,BUIN,Buin,19,fish,ukiuki,,
BUIN-21-1,BUIN,Buin,21,dog,maikuna,,
BUIN-21-2,BUIN,Buin,21,dog,maimai,,
BUIN-21-3,BUIN,Buin,21,dog,makirou,,
BUIN-21-4,BUIN,Buin,21,dog,mairou,,
BUIN-22-1,BUIN,Buin,22,louse,oti,,
BUIN-23-1,BUIN,Buin,23,tree,kui,,
BUIN-25-1,BUIN,Buin,25,leaf,oto,,
BUIN-25-2,BUIN,Buin,25,leaf,ota,,
BUIN-28-1,BUIN,Buin,28,skin,katu,,
BUIN-28-2,BUIN,Buin,28,skin,kagua,,
BUIN-28-3,BUIN,Buin,28,skin,kagu,,
BUIN-28-4,BUIN,Buin,28,skin,ko,,
BUIN-28-5,BUIN,Buin,28,skin,koino,,
BUIN-28-6,BUIN,Buin,28,skin,uririna,,
BUIN-30-1,BUIN,Buin,30,blood,inna,,
BUIN-30-2,BUIN,Buin,30,blood,irira,,
BUIN-31-1,BUIN,Buin,31,bone,kana,,
BUIN-39-1,BUIN,Buin,39,ear,nume,,
BUIN-40-1,BUIN,Buin,40,eye,noine,,
BUIN-41-1,BUIN,Buin,41,nose,keN,,
BUIN-43-1,BUIN,Buin,43,tooth,kompe,,
BUIN-44-1,BUIN,Buin,44,tongue,mere,,
BUIN-47-1,BUIN,Buin,47,knee,mi,,
BUIN-47-2,BUIN,Buin,47,knee,mikui,,
BUIN-47-3,BUIN,Buin,47,knee,utoutoia,,
BUIN-48-1,BUIN,Buin,48,hand,aku,,
BUIN-51-1,BUIN,Buin,51,breast,nutu,,
BUIN-51-2,BUIN,Buin,51,breast,nu,,
BUIN-51-3,BUIN,Buin,51,breast,nuau,,
BUIN-53-1,BUIN,Buin,53,liver,nunno,,
BUIN-54-1,BUIN,Buin,54,drink,roi,,
BUIN-54-2,BUIN,Buin,54,drink,rai,,
BUIN-57-1,BUIN,Buin,57,see,N,,
BUIN-57-2,BUIN,Buin,57,see,u,,
BUIN-58-1,BUIN,Buin,58,hear,ruge,,
BUIN-61-1,BUIN,Buin,61,die,pua,,
BUIN-61-2,BUIN,Buin,61,die,pu,,
BUIN-66-1,BUIN,Buin,66,come,u,,
BUIN-72-1,BUIN,Buin,72,sun,rua,,
BUIN-72-2,BUIN,Buin,72,sun,perepana,,
BUIN-74-1,BUIN,Buin,74,star,kaipa,,
BUIN-75-1,BUIN,Buin,75,water,tu,,
BUIN-77-1,BUIN,Buin,77,stone,aru,,
BUIN-77-2,BUIN,Buin,77,stone,antiru,,
BUIN-77-3,BUIN,Buin,77,stone,makatiru,,
BUIN-82-1,BUIN,Buin,82,fire,oguai,,
BUIN-85-1,BUIN,Buin,85,path,ape,,
BUIN-85-2,BUIN,Buin,85,path,maimoi,,
BUIN-85-3,BUIN,Buin,85,path,rugo,,
BUIN-85-4,BUIN,Buin,85,path,rugoropo,,
BUIN-85-5,BUIN,Buin,85,path,monare,,
BUIN-86-1,BUIN,Buin,86,mountain,menu,,
BUIN-92-1,BUIN,Buin,92,night,muro,,
BUIN-92-2,BUIN,Buin,92,night,mura,,
BUIN-92-3,BUIN,Buin,92,night,tutaka,,
BUIN-95-1,BUIN,Buin,95,full,magu,,
BUIN-96-1,BUIN,Buin,96,new,riro,,
BUIN-96-2,BUIN,Buin,96,new,niupara,,
BUIN-100-1,BUIN,Buin,100,name,miN,,
