ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BUNGAIN-1-1,BUNGAIN,Bungain,1,I,k,,
BUNGAIN-1-2,BUNGAIN,Bungain,1,I,na,,
BUNGAIN-2-1,BUNGAIN,Bungain,2,you,no*7,,
BUNGAIN-2-2,BUNGAIN,Bungain,2,you,nu,,
BUNGAIN-3-1,BUNGAIN,Bungain,3,we,nayip,,
BUNGAIN-3-2,BUNGAIN,Bungain,3,we,p,,
BUNGAIN-11-1,BUNGAIN,Bungain,11,one,yakatale,,
BUNGAIN-12-1,BUNGAIN,Bungain,12,two,ipanam,,
BUNGAIN-19-1,BUNGAIN,Bungain,19,fish,karra,,
BUNGAIN-21-1,BUNGAIN,Bungain,21,dog,wunaph~,,
BUNGAIN-22-1,BUNGAIN,Bungain,22,louse,ph~it,,
BUNGAIN-23-1,BUNGAIN,Bungain,23,tree,nam,,
BUNGAIN-25-1,BUNGAIN,Bungain,25,leaf,munagit,,
BUNGAIN-28-1,BUNGAIN,Bungain,28,skin,uNaxat,,
BUNGAIN-30-1,BUNGAIN,Bungain,30,blood,yawarr,,
BUNGAIN-31-1,BUNGAIN,Bungain,31,bone,niNgat,,
BUNGAIN-39-1,BUNGAIN,Bungain,39,ear,hakit,,
BUNGAIN-40-1,BUNGAIN,Bungain,40,eye,yal,,
BUNGAIN-43-1,BUNGAIN,Bungain,43,tooth,hoph~,,
BUNGAIN-44-1,BUNGAIN,Bungain,44,tongue,miley,,
BUNGAIN-47-1,BUNGAIN,Bungain,47,knee,kh~osipa,,
BUNGAIN-48-1,BUNGAIN,Bungain,48,hand,harr,,
BUNGAIN-51-1,BUNGAIN,Bungain,51,breast,nom,,
BUNGAIN-54-1,BUNGAIN,Bungain,54,drink,wi noraN,,
BUNGAIN-57-1,BUNGAIN,Bungain,57,see,nelanan,,
BUNGAIN-61-1,BUNGAIN,Bungain,61,die,wean,,
BUNGAIN-66-1,BUNGAIN,Bungain,66,come,kh~etena,,
BUNGAIN-72-1,BUNGAIN,Bungain,72,sun,namban,,
BUNGAIN-74-1,BUNGAIN,Bungain,74,star,kw~a,,
BUNGAIN-75-1,BUNGAIN,Bungain,75,water,wi,,
BUNGAIN-77-1,BUNGAIN,Bungain,77,stone,hambap,,
BUNGAIN-82-1,BUNGAIN,Bungain,82,fire,yi,,
BUNGAIN-85-1,BUNGAIN,Bungain,85,path,kh~at,,
BUNGAIN-86-1,BUNGAIN,Bungain,86,mountain,ph~aph~,,
BUNGAIN-92-1,BUNGAIN,Bungain,92,night,nuNgarap,,
BUNGAIN-95-1,BUNGAIN,Bungain,95,full,pey si,,
BUNGAIN-96-1,BUNGAIN,Bungain,96,new,akana,,
BUNGAIN-100-1,BUNGAIN,Bungain,100,name,nop,,
