ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
BWAMU-11-1,BWAMU,Bwamu,11,one,don,,
BWAMU-12-1,BWAMU,Bwamu,12,two,5un,,
BWAMU-18-1,BWAMU,Bwamu,18,person,nupw~e,,
BWAMU-19-1,BWAMU,Bwamu,19,fish,ceza,,
BWAMU-21-1,BWAMU,Bwamu,21,dog,boni,,
BWAMU-25-1,BWAMU,Bwamu,25,leaf,vu*ahu*,,
BWAMU-28-1,BWAMU,Bwamu,28,skin,sa*hu*,,
BWAMU-31-1,BWAMU,Bwamu,31,bone,hu*re,,
BWAMU-34-1,BWAMU,Bwamu,34,horn,ca*ni,,
BWAMU-39-1,BWAMU,Bwamu,39,ear,5ika*hu*,,
BWAMU-40-1,BWAMU,Bwamu,40,eye,jere,,
BWAMU-41-1,BWAMU,Bwamu,41,nose,5inkeza,,
BWAMU-43-1,BWAMU,Bwamu,43,tooth,ninkiza,,
BWAMU-44-1,BWAMU,Bwamu,44,tongue,dEnle,,
BWAMU-48-1,BWAMU,Bwamu,48,hand,baho,,
BWAMU-51-1,BWAMU,Bwamu,51,breast,kosi*i*,,
BWAMU-54-1,BWAMU,Bwamu,54,drink,na,,
BWAMU-57-1,BWAMU,Bwamu,57,see,mo,,
BWAMU-66-1,BWAMU,Bwamu,66,come,bw~ara,,
BWAMU-66-2,BWAMU,Bwamu,66,come,lw~a,,
BWAMU-72-1,BWAMU,Bwamu,72,sun,wii,,
BWAMU-74-1,BWAMU,Bwamu,74,star,pi*hu*,,
BWAMU-75-1,BWAMU,Bwamu,75,water,5umu,,
BWAMU-82-1,BWAMU,Bwamu,82,fire,do*hu*,,
BWAMU-85-1,BWAMU,Bwamu,85,path,wo*hu*,,
BWAMU-92-1,BWAMU,Bwamu,92,night,ti*nahu*,,
BWAMU-100-1,BWAMU,Bwamu,100,name,yEni,,
