ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
C10_GANDO-11-1,C10_GANDO,C10 Gando,11,one,ote,,
C10_GANDO-12-1,C10_GANDO,C10 Gando,12,two,bale,,
C10_GANDO-18-1,C10_GANDO,C10 Gando,18,person,to,,
C10_GANDO-19-1,C10_GANDO,C10 Gando,19,fish,Toi,,
C10_GANDO-21-1,C10_GANDO,C10 Gando,21,dog,boa,,
C10_GANDO-22-1,C10_GANDO,C10 Gando,22,louse,mbua,,
C10_GANDO-23-1,C10_GANDO,C10 Gando,23,tree,ndange,,
C10_GANDO-25-1,C10_GANDO,C10 Gando,25,leaf,saki,,
C10_GANDO-28-1,C10_GANDO,C10 Gando,28,skin,kata,,
C10_GANDO-30-1,C10_GANDO,C10 Gando,30,blood,longo,,
C10_GANDO-31-1,C10_GANDO,C10 Gando,31,bone,kua,,
C10_GANDO-34-1,C10_GANDO,C10 Gando,34,horn,nzasa,,
C10_GANDO-39-1,C10_GANDO,C10 Gando,39,ear,toe,,
C10_GANDO-40-1,C10_GANDO,C10 Gando,40,eye,so,,
C10_GANDO-41-1,C10_GANDO,C10 Gando,41,nose,lo,,
C10_GANDO-43-1,C10_GANDO,C10 Gando,43,tooth,no,,
C10_GANDO-44-1,C10_GANDO,C10 Gando,44,tongue,lemo,,
C10_GANDO-51-1,C10_GANDO,C10 Gando,51,breast,bElE,,
C10_GANDO-53-1,C10_GANDO,C10 Gando,53,liver,ngi,,
C10_GANDO-54-1,C10_GANDO,C10 Gando,54,drink,5u,,
C10_GANDO-57-1,C10_GANDO,C10 Gando,57,see,yEngEl,,
C10_GANDO-58-1,C10_GANDO,C10 Gando,58,hear,wok,,
C10_GANDO-61-1,C10_GANDO,C10 Gando,61,die,duw,,
C10_GANDO-66-1,C10_GANDO,C10 Gando,66,come,yak,,
C10_GANDO-72-1,C10_GANDO,C10 Gando,72,sun,moi,,
C10_GANDO-72-2,C10_GANDO,C10 Gando,72,sun,mui,,
C10_GANDO-72-3,C10_GANDO,C10 Gando,72,sun,mEi,,
C10_GANDO-74-1,C10_GANDO,C10 Gando,74,star,to,,
C10_GANDO-75-1,C10_GANDO,C10 Gando,75,water,mai,,
C10_GANDO-77-1,C10_GANDO,C10 Gando,77,stone,boi,,
C10_GANDO-82-1,C10_GANDO,C10 Gando,82,fire,5a,,
C10_GANDO-85-1,C10_GANDO,C10 Gando,85,path,nza,,
C10_GANDO-86-1,C10_GANDO,C10 Gando,86,mountain,kenga,,
C10_GANDO-86-2,C10_GANDO,C10 Gando,86,mountain,kodi,,
C10_GANDO-92-1,C10_GANDO,C10 Gando,92,night,butu,,
C10_GANDO-95-1,C10_GANDO,C10 Gando,95,full,tondi,,
C10_GANDO-96-1,C10_GANDO,C10 Gando,96,new,tEmo,,
C10_GANDO-100-1,C10_GANDO,C10 Gando,100,name,kombo,,
