ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CABECAR-1-1,CABECAR,Cabecar,1,I,yis,,
CABECAR-1-2,CABECAR,Cabecar,1,I,dis,,
CABECAR-2-1,CABECAR,Cabecar,2,you,ba,,
CABECAR-3-1,CABECAR,Cabecar,3,we,se hewa,,
CABECAR-3-2,CABECAR,Cabecar,3,we,sa hewa,,
CABECAR-11-1,CABECAR,Cabecar,11,one,ekla,,
CABECAR-11-2,CABECAR,Cabecar,11,one,egla,,
CABECAR-12-1,CABECAR,Cabecar,12,two,bol,,
CABECAR-12-2,CABECAR,Cabecar,12,two,bot,,
CABECAR-18-1,CABECAR,Cabecar,18,person,serco,,
CABECAR-18-2,CABECAR,Cabecar,18,person,wage,,
CABECAR-19-1,CABECAR,Cabecar,19,fish,nima,,
CABECAR-21-1,CABECAR,Cabecar,21,dog,CiCi,,
CABECAR-21-2,CABECAR,Cabecar,21,dog,Ci,,
CABECAR-22-1,CABECAR,Cabecar,22,louse,ku 5a,,
CABECAR-22-2,CABECAR,Cabecar,22,louse,dali,,
CABECAR-23-1,CABECAR,Cabecar,23,tree,kal,,
CABECAR-23-2,CABECAR,Cabecar,23,tree,klo,,
CABECAR-25-1,CABECAR,Cabecar,25,leaf,ko,,
CABECAR-25-2,CABECAR,Cabecar,25,leaf,kago,,
CABECAR-28-1,CABECAR,Cabecar,28,skin,kuo,,
CABECAR-28-2,CABECAR,Cabecar,28,skin,tk~uo,,
CABECAR-30-1,CABECAR,Cabecar,30,blood,pi,,
CABECAR-30-2,CABECAR,Cabecar,30,blood,pe,,
CABECAR-31-1,CABECAR,Cabecar,31,bone,CiCa,,
CABECAR-31-2,CABECAR,Cabecar,31,bone,kiCa,,
CABECAR-34-1,CABECAR,Cabecar,34,horn,du,,
CABECAR-34-2,CABECAR,Cabecar,34,horn,dula,,
CABECAR-39-1,CABECAR,Cabecar,39,ear,kugo,,
CABECAR-39-2,CABECAR,Cabecar,39,ear,kuko,,
CABECAR-40-1,CABECAR,Cabecar,40,eye,wobla,,
CABECAR-41-1,CABECAR,Cabecar,41,nose,jik,,
CABECAR-43-1,CABECAR,Cabecar,43,tooth,ka,,
CABECAR-44-1,CABECAR,Cabecar,44,tongue,ko kto,,
CABECAR-47-1,CABECAR,Cabecar,47,knee,kiCo wo,,
CABECAR-47-2,CABECAR,Cabecar,47,knee,klo kuCei,,
CABECAR-48-1,CABECAR,Cabecar,48,hand,hula,,
CABECAR-48-2,CABECAR,Cabecar,48,hand,ula,,
CABECAR-51-1,CABECAR,Cabecar,51,breast,cu,,
CABECAR-53-1,CABECAR,Cabecar,53,liver,her,,
CABECAR-53-2,CABECAR,Cabecar,53,liver,er,,
CABECAR-54-1,CABECAR,Cabecar,54,drink,jo,,
CABECAR-54-2,CABECAR,Cabecar,54,drink,jal,,
CABECAR-57-1,CABECAR,Cabecar,57,see,suwa,,
CABECAR-57-2,CABECAR,Cabecar,57,see,suwo,,
CABECAR-58-1,CABECAR,Cabecar,58,hear,kso,,
CABECAR-58-2,CABECAR,Cabecar,58,hear,ksel,,
CABECAR-61-1,CABECAR,Cabecar,61,die,duwawa,,
CABECAR-61-2,CABECAR,Cabecar,61,die,dulwa,,
CABECAR-66-1,CABECAR,Cabecar,66,come,dace,,
CABECAR-66-2,CABECAR,Cabecar,66,come,bitehu,,
CABECAR-72-1,CABECAR,Cabecar,72,sun,ka wo,,
CABECAR-72-2,CABECAR,Cabecar,72,sun,bei bulu,,
CABECAR-74-1,CABECAR,Cabecar,74,star,bei wo,,
CABECAR-74-2,CABECAR,Cabecar,74,star,bei bo,,
CABECAR-75-1,CABECAR,Cabecar,75,water,diglo,,
CABECAR-75-2,CABECAR,Cabecar,75,water,diklo,,
CABECAR-77-1,CABECAR,Cabecar,77,stone,hak,,
CABECAR-77-2,CABECAR,Cabecar,77,stone,ak,,
CABECAR-82-1,CABECAR,Cabecar,82,fire,jogo,,
CABECAR-82-2,CABECAR,Cabecar,82,fire,joko,,
CABECAR-85-1,CABECAR,Cabecar,85,path,5ala,,
CABECAR-86-1,CABECAR,Cabecar,86,mountain,ka bata,,
CABECAR-86-2,CABECAR,Cabecar,86,mountain,ko bata,,
CABECAR-92-1,CABECAR,Cabecar,92,night,tuwina,,
CABECAR-92-2,CABECAR,Cabecar,92,night,tuina,,
CABECAR-95-1,CABECAR,Cabecar,95,full,pSi,,
CABECAR-96-1,CABECAR,Cabecar,96,new,spana,,
CABECAR-96-2,CABECAR,Cabecar,96,new,spona,,
CABECAR-100-1,CABECAR,Cabecar,100,name,kie,,
CABECAR-100-2,CABECAR,Cabecar,100,name,"k""a",,
