ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CAGA_KIWOSO-11-1,CAGA_KIWOSO,Caga Kiwoso,11,one,kimwi,,
CAGA_KIWOSO-12-1,CAGA_KIWOSO,Caga Kiwoso,12,two,Siwi,,
CAGA_KIWOSO-18-1,CAGA_KIWOSO,Caga Kiwoso,18,person,ndu,,
CAGA_KIWOSO-19-1,CAGA_KIWOSO,Caga Kiwoso,19,fish,maki,,
CAGA_KIWOSO-21-1,CAGA_KIWOSO,Caga Kiwoso,21,dog,te,,
CAGA_KIWOSO-22-1,CAGA_KIWOSO,Caga Kiwoso,22,louse,da,,
CAGA_KIWOSO-23-1,CAGA_KIWOSO,Caga Kiwoso,23,tree,di,,
CAGA_KIWOSO-25-1,CAGA_KIWOSO,Caga Kiwoso,25,leaf,du,,
CAGA_KIWOSO-28-1,CAGA_KIWOSO,Caga Kiwoso,28,skin,jonyi,,
CAGA_KIWOSO-30-1,CAGA_KIWOSO,Caga Kiwoso,30,blood,samu,,
CAGA_KIWOSO-31-1,CAGA_KIWOSO,Caga Kiwoso,31,bone,fwo,,
CAGA_KIWOSO-34-1,CAGA_KIWOSO,Caga Kiwoso,34,horn,bembe,,
CAGA_KIWOSO-39-1,CAGA_KIWOSO,Caga Kiwoso,39,ear,adu,,
CAGA_KIWOSO-40-1,CAGA_KIWOSO,Caga Kiwoso,40,eye,riso,,
CAGA_KIWOSO-43-1,CAGA_KIWOSO,Caga Kiwoso,43,tooth,yo,,
CAGA_KIWOSO-44-1,CAGA_KIWOSO,Caga Kiwoso,44,tongue,mi,,
CAGA_KIWOSO-47-1,CAGA_KIWOSO,Caga Kiwoso,47,knee,di,,
CAGA_KIWOSO-51-1,CAGA_KIWOSO,Caga Kiwoso,51,breast,we,,
CAGA_KIWOSO-53-1,CAGA_KIWOSO,Caga Kiwoso,53,liver,ngu,,
CAGA_KIWOSO-54-1,CAGA_KIWOSO,Caga Kiwoso,54,drink,nna,,
CAGA_KIWOSO-57-1,CAGA_KIWOSO,Caga Kiwoso,57,see,lola,,
CAGA_KIWOSO-58-1,CAGA_KIWOSO,Caga Kiwoso,58,hear,adanyia,,
CAGA_KIWOSO-61-1,CAGA_KIWOSO,Caga Kiwoso,61,die,fo,,
CAGA_KIWOSO-66-1,CAGA_KIWOSO,Caga Kiwoso,66,come,oTho,,
CAGA_KIWOSO-72-1,CAGA_KIWOSO,Caga Kiwoso,72,sun,ruwa,,
CAGA_KIWOSO-75-1,CAGA_KIWOSO,Caga Kiwoso,75,water,uda,,
CAGA_KIWOSO-77-1,CAGA_KIWOSO,Caga Kiwoso,77,stone,we,,
CAGA_KIWOSO-82-1,CAGA_KIWOSO,Caga Kiwoso,82,fire,do,,
CAGA_KIWOSO-85-1,CAGA_KIWOSO,Caga Kiwoso,85,path,nThia,,
CAGA_KIWOSO-86-1,CAGA_KIWOSO,Caga Kiwoso,86,mountain,lima,,
CAGA_KIWOSO-92-1,CAGA_KIWOSO,Caga Kiwoso,92,night,kyo,,
CAGA_KIWOSO-95-1,CAGA_KIWOSO,Caga Kiwoso,95,full,iThwo,,
CAGA_KIWOSO-96-1,CAGA_KIWOSO,Caga Kiwoso,96,new,kiSa,,
CAGA_KIWOSO-100-1,CAGA_KIWOSO,Caga Kiwoso,100,name,rina,,
