ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CANIPAAN_PALAWAN-1-1,CANIPAAN_PALAWAN,Canipaan Palawan,1,I,aku,,
CANIPAAN_PALAWAN-3-1,CANIPAAN_PALAWAN,Canipaan Palawan,3,we,kami,,
CANIPAAN_PALAWAN-12-1,CANIPAAN_PALAWAN,Canipaan Palawan,12,two,dua,,
CANIPAAN_PALAWAN-18-1,CANIPAAN_PALAWAN,Canipaan Palawan,18,person,ta7u,,
CANIPAAN_PALAWAN-19-1,CANIPAAN_PALAWAN,Canipaan Palawan,19,fish,s3da7,,
CANIPAAN_PALAWAN-21-1,CANIPAAN_PALAWAN,Canipaan Palawan,21,dog,id3N,,
CANIPAAN_PALAWAN-22-1,CANIPAAN_PALAWAN,Canipaan Palawan,22,louse,kutu,,
CANIPAAN_PALAWAN-23-1,CANIPAAN_PALAWAN,Canipaan Palawan,23,tree,kayu,,
CANIPAAN_PALAWAN-25-1,CANIPAAN_PALAWAN,Canipaan Palawan,25,leaf,d37un,,
CANIPAAN_PALAWAN-30-1,CANIPAAN_PALAWAN,Canipaan Palawan,30,blood,dugu7,,
CANIPAAN_PALAWAN-31-1,CANIPAAN_PALAWAN,Canipaan Palawan,31,bone,tulaN,,
CANIPAAN_PALAWAN-39-1,CANIPAAN_PALAWAN,Canipaan Palawan,39,ear,taliNa,,
CANIPAAN_PALAWAN-40-1,CANIPAAN_PALAWAN,Canipaan Palawan,40,eye,mata,,
CANIPAAN_PALAWAN-41-1,CANIPAAN_PALAWAN,Canipaan Palawan,41,nose,3duN,,
CANIPAAN_PALAWAN-43-1,CANIPAAN_PALAWAN,Canipaan Palawan,43,tooth,nip3n,,
CANIPAAN_PALAWAN-44-1,CANIPAAN_PALAWAN,Canipaan Palawan,44,tongue,dila7,,
CANIPAAN_PALAWAN-48-1,CANIPAAN_PALAWAN,Canipaan Palawan,48,hand,lima,,
CANIPAAN_PALAWAN-53-1,CANIPAAN_PALAWAN,Canipaan Palawan,53,liver,at3y,,
CANIPAAN_PALAWAN-54-1,CANIPAAN_PALAWAN,Canipaan Palawan,54,drink,minum,,
CANIPAAN_PALAWAN-58-1,CANIPAAN_PALAWAN,Canipaan Palawan,58,hear,kineg,,
CANIPAAN_PALAWAN-61-1,CANIPAAN_PALAWAN,Canipaan Palawan,61,die,pat3y,,
CANIPAAN_PALAWAN-72-1,CANIPAAN_PALAWAN,Canipaan Palawan,72,sun,ald3w,,
CANIPAAN_PALAWAN-74-1,CANIPAAN_PALAWAN,Canipaan Palawan,74,star,bitu3n,,
CANIPAAN_PALAWAN-75-1,CANIPAAN_PALAWAN,Canipaan Palawan,75,water,danum,,
CANIPAAN_PALAWAN-77-1,CANIPAAN_PALAWAN,Canipaan Palawan,77,stone,batu,,
CANIPAAN_PALAWAN-82-1,CANIPAAN_PALAWAN,Canipaan Palawan,82,fire,apuy,,
CANIPAAN_PALAWAN-85-1,CANIPAAN_PALAWAN,Canipaan Palawan,85,path,dalan,,
CANIPAAN_PALAWAN-86-1,CANIPAAN_PALAWAN,Canipaan Palawan,86,mountain,bukid,,
CANIPAAN_PALAWAN-92-1,CANIPAAN_PALAWAN,Canipaan Palawan,92,night,gebi,,
CANIPAAN_PALAWAN-96-1,CANIPAAN_PALAWAN,Canipaan Palawan,96,new,bagu,,
CANIPAAN_PALAWAN-100-1,CANIPAAN_PALAWAN,Canipaan Palawan,100,name,Naran,,
