ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CANTONESE-1-1,CANTONESE,Cantonese,1,I,Noh,,
CANTONESE-2-1,CANTONESE,Cantonese,2,you,neih deih,,
CANTONESE-3-1,CANTONESE,Cantonese,3,we,Nh deih,,
CANTONESE-4-1,CANTONESE,Cantonese,4,this,nigo,,
CANTONESE-5-1,CANTONESE,Cantonese,5,that,go go,,
CANTONESE-6-1,CANTONESE,Cantonese,6,who,bin go,,
CANTONESE-7-1,CANTONESE,Cantonese,7,what,mat yeh,,
CANTONESE-7-2,CANTONESE,Cantonese,7,what,me yeh,,
CANTONESE-8-1,CANTONESE,Cantonese,8,not,mh,,
CANTONESE-9-1,CANTONESE,Cantonese,9,all,gogo dou,,
CANTONESE-10-1,CANTONESE,Cantonese,10,many,hou do,,
CANTONESE-11-1,CANTONESE,Cantonese,11,one,yat,,
CANTONESE-12-1,CANTONESE,Cantonese,12,two,yih,,
CANTONESE-13-1,CANTONESE,Cantonese,13,big,daih,,
CANTONESE-14-1,CANTONESE,Cantonese,14,long,CeuN,,
CANTONESE-15-1,CANTONESE,Cantonese,15,small,sai,,
CANTONESE-16-1,CANTONESE,Cantonese,16,woman,neuih yan,,
CANTONESE-17-1,CANTONESE,Cantonese,17,man,namyan,,
CANTONESE-18-1,CANTONESE,Cantonese,18,person,yan,,
CANTONESE-19-1,CANTONESE,Cantonese,19,fish,yu,,
CANTONESE-20-1,CANTONESE,Cantonese,20,bird,jeuk jain,,
CANTONESE-21-1,CANTONESE,Cantonese,21,dog,gau,,
CANTONESE-22-1,CANTONESE,Cantonese,22,louse,sat na,,
CANTONESE-23-1,CANTONESE,Cantonese,23,tree,sy~uh,,
CANTONESE-24-1,CANTONESE,Cantonese,24,seed,juN ji,,
CANTONESE-25-1,CANTONESE,Cantonese,25,leaf,sy~uh yip,,
CANTONESE-26-1,CANTONESE,Cantonese,26,root,gan,,
CANTONESE-27-1,CANTONESE,Cantonese,27,bark,sy~uh peih,,
CANTONESE-28-1,CANTONESE,Cantonese,28,skin,peih fu,,
CANTONESE-29-1,CANTONESE,Cantonese,29,flesh,yuk,,
CANTONESE-30-1,CANTONESE,Cantonese,30,blood,hy~ut,,
CANTONESE-31-1,CANTONESE,Cantonese,31,bone,gw~at,,
CANTONESE-32-1,CANTONESE,Cantonese,32,grease,yauh,,
CANTONESE-32-2,CANTONESE,Cantonese,32,grease,seuN yau,,
CANTONESE-33-1,CANTONESE,Cantonese,33,egg,dan,,
CANTONESE-34-1,CANTONESE,Cantonese,34,horn,gok,,
CANTONESE-35-1,CANTONESE,Cantonese,35,tail,meih,,
CANTONESE-36-1,CANTONESE,Cantonese,36,feather,jeuk mouh,,
CANTONESE-37-1,CANTONESE,Cantonese,37,hair,tauh fat,,
CANTONESE-38-1,CANTONESE,Cantonese,38,head,tauh hok,,
CANTONESE-39-1,CANTONESE,Cantonese,39,ear,yih jai,,
CANTONESE-40-1,CANTONESE,Cantonese,40,eye,Nan,,
CANTONESE-41-1,CANTONESE,Cantonese,41,nose,beih go,,
CANTONESE-42-1,CANTONESE,Cantonese,42,mouth,hau,,
CANTONESE-42-2,CANTONESE,Cantonese,42,mouth,jeui,,
CANTONESE-43-1,CANTONESE,Cantonese,43,tooth,Nah,,
CANTONESE-44-1,CANTONESE,Cantonese,44,tongue,leih,,
CANTONESE-45-1,CANTONESE,Cantonese,45,claw,jau,,
CANTONESE-46-1,CANTONESE,Cantonese,46,foot,geuk,,
CANTONESE-47-1,CANTONESE,Cantonese,47,knee,sat tauh go,,
CANTONESE-48-1,CANTONESE,Cantonese,48,hand,sau,,
CANTONESE-49-1,CANTONESE,Cantonese,49,belly,touh,,
CANTONESE-50-1,CANTONESE,Cantonese,50,neck,geN,,
CANTONESE-51-1,CANTONESE,Cantonese,51,breast,nin,,
CANTONESE-51-2,CANTONESE,Cantonese,51,breast,naih,,
CANTONESE-52-1,CANTONESE,Cantonese,52,heart,sam joN,,
CANTONESE-53-1,CANTONESE,Cantonese,53,liver,gon,,
CANTONESE-53-2,CANTONESE,Cantonese,53,liver,yeun,,
CANTONESE-54-1,CANTONESE,Cantonese,54,drink,yam,,
CANTONESE-55-1,CANTONESE,Cantonese,55,eat,sik,,
CANTONESE-56-1,CANTONESE,Cantonese,56,bite,Nauh,,
CANTONESE-57-1,CANTONESE,Cantonese,57,see,tai,,
CANTONESE-58-1,CANTONESE,Cantonese,58,hear,teN gin,,
CANTONESE-59-1,CANTONESE,Cantonese,59,know,ji dou,,
CANTONESE-60-1,CANTONESE,Cantonese,60,sleep,fan gau,,
CANTONESE-61-1,CANTONESE,Cantonese,61,die,sei,,
CANTONESE-62-1,CANTONESE,Cantonese,62,kill,jiN sei,,
CANTONESE-62-2,CANTONESE,Cantonese,62,kill,da sei,,
CANTONESE-63-1,CANTONESE,Cantonese,63,swim,yauh seui,,
CANTONESE-64-1,CANTONESE,Cantonese,64,fly,fei,,
CANTONESE-65-1,CANTONESE,Cantonese,65,walk,haN,,
CANTONESE-66-1,CANTONESE,Cantonese,66,come,leih,,
CANTONESE-66-2,CANTONESE,Cantonese,66,come,laih,,
CANTONESE-67-1,CANTONESE,Cantonese,67,lie,fan dai,,
CANTONESE-67-2,CANTONESE,Cantonese,67,lie,fan hai,,
CANTONESE-68-1,CANTONESE,Cantonese,68,sit,Coh,,
CANTONESE-69-1,CANTONESE,Cantonese,69,stand,keih,,
CANTONESE-70-1,CANTONESE,Cantonese,70,give,bei,,
CANTONESE-71-1,CANTONESE,Cantonese,71,say,goN,,
CANTONESE-71-2,CANTONESE,Cantonese,71,say,wah,,
CANTONESE-72-1,CANTONESE,Cantonese,72,sun,yat tau,,
CANTONESE-72-2,CANTONESE,Cantonese,72,sun,tai yeuN,,
CANTONESE-73-1,CANTONESE,Cantonese,73,moon,yut gw~oN,,
CANTONESE-74-1,CANTONESE,Cantonese,74,star,siN,,
CANTONESE-75-1,CANTONESE,Cantonese,75,water,seui,,
CANTONESE-76-1,CANTONESE,Cantonese,76,rain,yuh,,
CANTONESE-77-1,CANTONESE,Cantonese,77,stone,sek,,
CANTONESE-78-1,CANTONESE,Cantonese,78,sand,sa,,
CANTONESE-79-1,CANTONESE,Cantonese,79,earth,deih,,
CANTONESE-80-1,CANTONESE,Cantonese,80,cloud,wan,,
CANTONESE-81-1,CANTONESE,Cantonese,81,smoke,yin,,
CANTONESE-82-1,CANTONESE,Cantonese,82,fire,fo juk,,
CANTONESE-83-1,CANTONESE,Cantonese,83,ash,fui,,
CANTONESE-84-1,CANTONESE,Cantonese,84,burn,siu,,
CANTONESE-85-1,CANTONESE,Cantonese,85,path,louh jai,,
CANTONESE-86-1,CANTONESE,Cantonese,86,mountain,san,,
CANTONESE-87-1,CANTONESE,Cantonese,87,red,huN sik,,
CANTONESE-88-1,CANTONESE,Cantonese,88,green,luk ge,,
CANTONESE-88-2,CANTONESE,Cantonese,88,green,CeN ge,,
CANTONESE-89-1,CANTONESE,Cantonese,89,yellow,woN sik,,
CANTONESE-90-1,CANTONESE,Cantonese,90,white,bak,,
CANTONESE-91-1,CANTONESE,Cantonese,91,black,hak sik ge,,
CANTONESE-92-1,CANTONESE,Cantonese,92,night,yeh man,,
CANTONESE-92-2,CANTONESE,Cantonese,92,night,hak,,
CANTONESE-93-1,CANTONESE,Cantonese,93,hot,yit,,
CANTONESE-94-1,CANTONESE,Cantonese,94,cold,laN,,
CANTONESE-94-2,CANTONESE,Cantonese,94,cold,duN,,
