ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CE-2-1,CE,Ce,2,you,Nu,,
CE-3-1,CE,Ce,3,we,tut,,
CE-11-1,CE,Ce,11,one,yhin,,
CE-12-1,CE,Ce,12,two,h3k,,
CE-18-1,CE,Ce,18,person,nit,,
CE-19-1,CE,Ce,19,fish,5ok,,
CE-21-1,CE,Ce,21,dog,wu,,
CE-23-1,CE,Ce,23,tree,kun,,
CE-25-1,CE,Ce,25,leaf,vu,,
CE-28-1,CE,Ce,28,skin,kp~3,,
CE-30-1,CE,Ce,30,blood,kuNku,,
CE-31-1,CE,Ce,31,bone,yhi,,
CE-34-1,CE,Ce,34,horn,nj~u,,
CE-39-1,CE,Ce,39,ear,nt~u,,
CE-40-1,CE,Ce,40,eye,mSi,,
CE-41-1,CE,Ce,41,nose,imp~ut,,
CE-43-1,CE,Ce,43,tooth,5i,,
CE-44-1,CE,Ce,44,tongue,yen,,
CE-47-1,CE,Ce,47,knee,yuk,,
CE-48-1,CE,Ce,48,hand,kok,,
CE-51-1,CE,Ce,51,breast,ms3,,
CE-53-1,CE,Ce,53,liver,isun,,
CE-54-1,CE,Ce,54,drink,so,,
CE-57-1,CE,Ce,57,see,to,,
CE-58-1,CE,Ce,58,hear,wu,,
CE-61-1,CE,Ce,61,die,ku,,
CE-66-1,CE,Ce,66,come,5e,,
CE-72-1,CE,Ce,72,sun,mv~i,,
CE-74-1,CE,Ce,74,star,nt~et,,
CE-75-1,CE,Ce,75,water,m3,,
CE-77-1,CE,Ce,77,stone,t3i,,
CE-82-1,CE,Ce,82,fire,wu,,
CE-85-1,CE,Ce,85,path,Cili,,
CE-86-1,CE,Ce,86,mountain,bg~ul,,
CE-92-1,CE,Ce,92,night,tuk,,
CE-95-1,CE,Ce,95,full,suN,,
CE-96-1,CE,Ce,96,new,h3s,,
CE-100-1,CE,Ce,100,name,s3k,,
