ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-1-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,1,I,in,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-2-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,2,you,at,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-3-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,3,we,ox,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-4-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,4,this,ri7,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-5-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,5,that,la7,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-6-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,6,who,Cinoq,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-7-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,7,what,saC,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-8-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,8,not,tax,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-9-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,9,all,ronoxel,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-10-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,10,many,"k""i",,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-11-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,11,one,xun,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-12-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,12,two,"keb""",,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-13-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,13,big,nim,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-14-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,14,long,nim raqan,,
CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-15-1,CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Central Quiche Santa Maria Chiquimula,15,small,"nic""",,
