ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CHACPAR-2-1,CHACPAR,Chacpar,2,you,qam,,
CHACPAR-2-2,CHACPAR,Chacpar,2,you,Gam,,
CHACPAR-3-1,CHACPAR,Chacpar,3,we,nuqanciX,,
CHACPAR-11-1,CHACPAR,Chacpar,11,one,huk,,
CHACPAR-12-1,CHACPAR,Chacpar,12,two,iSke,,
CHACPAR-18-1,CHACPAR,Chacpar,18,person,runa,,
CHACPAR-21-1,CHACPAR,Chacpar,21,dog,aLXu,,
CHACPAR-22-1,CHACPAR,Chacpar,22,louse,uwa,,
CHACPAR-23-1,CHACPAR,Chacpar,23,tree,haCa,,
CHACPAR-25-1,CHACPAR,Chacpar,25,leaf,rapra,,
CHACPAR-28-1,CHACPAR,Chacpar,28,skin,qara,,
CHACPAR-30-1,CHACPAR,Chacpar,30,blood,yawar,,
CHACPAR-31-1,CHACPAR,Chacpar,31,bone,tuLu,,
CHACPAR-34-1,CHACPAR,Chacpar,34,horn,waX3ra,,
CHACPAR-34-2,CHACPAR,Chacpar,34,horn,waXra,,
CHACPAR-39-1,CHACPAR,Chacpar,39,ear,rinri,,
CHACPAR-40-1,CHACPAR,Chacpar,40,eye,nawi,,
CHACPAR-40-2,CHACPAR,Chacpar,40,eye,5awi,,
CHACPAR-41-1,CHACPAR,Chacpar,41,nose,sinXa,,
CHACPAR-43-1,CHACPAR,Chacpar,43,tooth,kiru,,
CHACPAR-44-1,CHACPAR,Chacpar,44,tongue,qaLu,,
CHACPAR-47-1,CHACPAR,Chacpar,47,knee,qunXu,,
CHACPAR-48-1,CHACPAR,Chacpar,48,hand,maki,,
CHACPAR-51-1,CHACPAR,Chacpar,51,breast,CuCu,,
CHACPAR-54-1,CHACPAR,Chacpar,54,drink,upu,,
CHACPAR-54-2,CHACPAR,Chacpar,54,drink,upya,,
CHACPAR-57-1,CHACPAR,Chacpar,57,see,rika,,
CHACPAR-58-1,CHACPAR,Chacpar,58,hear,wiya,,
CHACPAR-61-1,CHACPAR,Chacpar,61,die,wanu,,
CHACPAR-66-1,CHACPAR,Chacpar,66,come,Samu,,
CHACPAR-72-1,CHACPAR,Chacpar,72,sun,inti,,
CHACPAR-72-2,CHACPAR,Chacpar,72,sun,acki,,
CHACPAR-74-1,CHACPAR,Chacpar,74,star,quyLar,,
CHACPAR-74-2,CHACPAR,Chacpar,74,star,quyLur,,
CHACPAR-74-3,CHACPAR,Chacpar,74,star,XuyLar,,
CHACPAR-74-4,CHACPAR,Chacpar,74,star,XuyLur,,
CHACPAR-75-1,CHACPAR,Chacpar,75,water,yaku,,
CHACPAR-77-1,CHACPAR,Chacpar,77,stone,rumi,,
CHACPAR-82-1,CHACPAR,Chacpar,82,fire,nina,,
CHACPAR-85-1,CHACPAR,Chacpar,85,path,nani,,
CHACPAR-86-1,CHACPAR,Chacpar,86,mountain,qaqa,,
CHACPAR-86-2,CHACPAR,Chacpar,86,mountain,hirka,,
CHACPAR-92-1,CHACPAR,Chacpar,92,night,cake,,
CHACPAR-92-2,CHACPAR,Chacpar,92,night,paGas,,
CHACPAR-95-1,CHACPAR,Chacpar,95,full,hunta,,
CHACPAR-96-1,CHACPAR,Chacpar,96,new,muSuX,,
CHACPAR-100-1,CHACPAR,Chacpar,100,name,huti,,
