ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CHICOMUCELTEC-10-1,CHICOMUCELTEC,Chicomuceltec,10,many,yan,,
CHICOMUCELTEC-11-1,CHICOMUCELTEC,Chicomuceltec,11,one,hun,,
CHICOMUCELTEC-12-1,CHICOMUCELTEC,Chicomuceltec,12,two,Cateew,,
CHICOMUCELTEC-13-1,CHICOMUCELTEC,Chicomuceltec,13,big,yeheliC,,
CHICOMUCELTEC-13-2,CHICOMUCELTEC,Chicomuceltec,13,big,pulik,,
CHICOMUCELTEC-14-1,CHICOMUCELTEC,Chicomuceltec,14,long,nakat,,
CHICOMUCELTEC-15-1,CHICOMUCELTEC,Chicomuceltec,15,small,ekw~etnik,,
CHICOMUCELTEC-15-2,CHICOMUCELTEC,Chicomuceltec,15,small,tuSte,,
CHICOMUCELTEC-16-1,CHICOMUCELTEC,Chicomuceltec,16,woman,uSum,,
CHICOMUCELTEC-17-1,CHICOMUCELTEC,Chicomuceltec,17,man,inikkimalom,,
CHICOMUCELTEC-17-2,CHICOMUCELTEC,Chicomuceltec,17,man,"k""et",,
CHICOMUCELTEC-18-1,CHICOMUCELTEC,Chicomuceltec,18,person,inik,,
CHICOMUCELTEC-19-1,CHICOMUCELTEC,Chicomuceltec,19,fish,to7ol,,
CHICOMUCELTEC-21-1,CHICOMUCELTEC,Chicomuceltec,21,dog,sul,,
CHICOMUCELTEC-22-1,CHICOMUCELTEC,Chicomuceltec,22,louse,"uC""",,
CHICOMUCELTEC-23-1,CHICOMUCELTEC,Chicomuceltec,23,tree,te7,,
CHICOMUCELTEC-24-1,CHICOMUCELTEC,Chicomuceltec,24,seed,wiye,,
CHICOMUCELTEC-24-2,CHICOMUCELTEC,Chicomuceltec,24,seed,ehil,,
CHICOMUCELTEC-25-1,CHICOMUCELTEC,Chicomuceltec,25,leaf,Sekelte7,,
CHICOMUCELTEC-27-1,CHICOMUCELTEC,Chicomuceltec,27,bark,otoSte7,,
CHICOMUCELTEC-28-1,CHICOMUCELTEC,Chicomuceltec,28,skin,"ot""ol",,
CHICOMUCELTEC-29-1,CHICOMUCELTEC,Chicomuceltec,29,flesh,"t""ul",,
CHICOMUCELTEC-30-1,CHICOMUCELTEC,Chicomuceltec,30,blood,"SiC""",,
CHICOMUCELTEC-31-1,CHICOMUCELTEC,Chicomuceltec,31,bone,weklek,,
CHICOMUCELTEC-33-1,CHICOMUCELTEC,Chicomuceltec,33,egg,ul,,
CHICOMUCELTEC-33-2,CHICOMUCELTEC,Chicomuceltec,33,egg,utiCin,,
CHICOMUCELTEC-35-1,CHICOMUCELTEC,Chicomuceltec,35,tail,wew,,
CHICOMUCELTEC-36-1,CHICOMUCELTEC,Chicomuceltec,36,feather,huhul,,
CHICOMUCELTEC-37-1,CHICOMUCELTEC,Chicomuceltec,37,hair,hulok,,
CHICOMUCELTEC-38-1,CHICOMUCELTEC,Chicomuceltec,38,head,"ok""",,
CHICOMUCELTEC-39-1,CHICOMUCELTEC,Chicomuceltec,39,ear,huCun,,
CHICOMUCELTEC-40-1,CHICOMUCELTEC,Chicomuceltec,40,eye,wal,,
CHICOMUCELTEC-41-1,CHICOMUCELTEC,Chicomuceltec,41,nose,sam,,
CHICOMUCELTEC-42-1,CHICOMUCELTEC,Chicomuceltec,42,mouth,tukuwi7,,
CHICOMUCELTEC-43-1,CHICOMUCELTEC,Chicomuceltec,43,tooth,kamaw,,
CHICOMUCELTEC-44-1,CHICOMUCELTEC,Chicomuceltec,44,tongue,"lek""aw",,
CHICOMUCELTEC-45-1,CHICOMUCELTEC,Chicomuceltec,45,claw,"iCak""",,
CHICOMUCELTEC-46-1,CHICOMUCELTEC,Chicomuceltec,46,foot,akan,,
CHICOMUCELTEC-47-1,CHICOMUCELTEC,Chicomuceltec,47,knee,toloC,,
CHICOMUCELTEC-47-2,CHICOMUCELTEC,Chicomuceltec,47,knee,potonil,,
CHICOMUCELTEC-48-1,CHICOMUCELTEC,Chicomuceltec,48,hand,"k""owak",,
CHICOMUCELTEC-49-1,CHICOMUCELTEC,Chicomuceltec,49,belly,tukul,,
CHICOMUCELTEC-50-1,CHICOMUCELTEC,Chicomuceltec,50,neck,"nuk""",,
CHICOMUCELTEC-51-1,CHICOMUCELTEC,Chicomuceltec,51,breast,im,,
CHICOMUCELTEC-52-1,CHICOMUCELTEC,Chicomuceltec,52,heart,iCit,,
CHICOMUCELTEC-53-1,CHICOMUCELTEC,Chicomuceltec,53,liver,mamal,,
CHICOMUCELTEC-72-1,CHICOMUCELTEC,Chicomuceltec,72,sun,"k""ak""al",,
CHICOMUCELTEC-73-1,CHICOMUCELTEC,Chicomuceltec,73,moon,"iC""",,
CHICOMUCELTEC-74-1,CHICOMUCELTEC,Chicomuceltec,74,star,ot,,
CHICOMUCELTEC-75-1,CHICOMUCELTEC,Chicomuceltec,75,water,ha7,,
CHICOMUCELTEC-76-1,CHICOMUCELTEC,Chicomuceltec,76,rain,aw,,
CHICOMUCELTEC-77-1,CHICOMUCELTEC,Chicomuceltec,77,stone,tuhu,,
CHICOMUCELTEC-77-2,CHICOMUCELTEC,Chicomuceltec,77,stone,hasam,,
CHICOMUCELTEC-78-1,CHICOMUCELTEC,Chicomuceltec,78,sand,kisiw,,
CHICOMUCELTEC-79-1,CHICOMUCELTEC,Chicomuceltec,79,earth,anam,,
CHICOMUCELTEC-79-2,CHICOMUCELTEC,Chicomuceltec,79,earth,amal,,
CHICOMUCELTEC-80-1,CHICOMUCELTEC,Chicomuceltec,80,cloud,siyal,,
CHICOMUCELTEC-81-1,CHICOMUCELTEC,Chicomuceltec,81,smoke,pa,,
CHICOMUCELTEC-82-1,CHICOMUCELTEC,Chicomuceltec,82,fire,si7,,
CHICOMUCELTEC-83-1,CHICOMUCELTEC,Chicomuceltec,83,ash,tay7,,
CHICOMUCELTEC-85-1,CHICOMUCELTEC,Chicomuceltec,85,path,wel,,
CHICOMUCELTEC-86-1,CHICOMUCELTEC,Chicomuceltec,86,mountain,"C""en",,
CHICOMUCELTEC-87-1,CHICOMUCELTEC,Chicomuceltec,87,red,Cak,,
CHICOMUCELTEC-88-1,CHICOMUCELTEC,Chicomuceltec,88,green,yaS,,
CHICOMUCELTEC-89-1,CHICOMUCELTEC,Chicomuceltec,89,yellow,"k""an",,
CHICOMUCELTEC-90-1,CHICOMUCELTEC,Chicomuceltec,90,white,sak,,
CHICOMUCELTEC-91-1,CHICOMUCELTEC,Chicomuceltec,91,black,ekinik,,
CHICOMUCELTEC-92-1,CHICOMUCELTEC,Chicomuceltec,92,night,akal,,
CHICOMUCELTEC-92-2,CHICOMUCELTEC,Chicomuceltec,92,night,aklem,,
CHICOMUCELTEC-93-1,CHICOMUCELTEC,Chicomuceltec,93,hot,"k""ak""",,
CHICOMUCELTEC-94-1,CHICOMUCELTEC,Chicomuceltec,94,cold,"C""ayil",,
CHICOMUCELTEC-95-1,CHICOMUCELTEC,Chicomuceltec,95,full,"t""utenik",,
CHICOMUCELTEC-96-1,CHICOMUCELTEC,Chicomuceltec,96,new,awel,,
CHICOMUCELTEC-97-1,CHICOMUCELTEC,Chicomuceltec,97,good,tahelatnik,,
CHICOMUCELTEC-98-1,CHICOMUCELTEC,Chicomuceltec,98,round,akewelta,,
CHICOMUCELTEC-99-1,CHICOMUCELTEC,Chicomuceltec,99,dry,waynek,,
CHICOMUCELTEC-100-1,CHICOMUCELTEC,Chicomuceltec,100,name,tonakawih,,
