ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CHIN_TEDIM-1-1,CHIN_TEDIM,Chin Tedim,1,I,kei,,
CHIN_TEDIM-2-1,CHIN_TEDIM,Chin Tedim,2,you,naN,,
CHIN_TEDIM-3-1,CHIN_TEDIM,Chin Tedim,3,we,ei,,
CHIN_TEDIM-11-1,CHIN_TEDIM,Chin Tedim,11,one,kh~at,,
CHIN_TEDIM-12-1,CHIN_TEDIM,Chin Tedim,12,two,ni7,,
CHIN_TEDIM-18-1,CHIN_TEDIM,Chin Tedim,18,person,mi hiN,,
CHIN_TEDIM-19-1,CHIN_TEDIM,Chin Tedim,19,fish,Na,,
CHIN_TEDIM-21-1,CHIN_TEDIM,Chin Tedim,21,dog,ui,,
CHIN_TEDIM-22-1,CHIN_TEDIM,Chin Tedim,22,louse,hik,,
CHIN_TEDIM-23-1,CHIN_TEDIM,Chin Tedim,23,tree,kuN,,
CHIN_TEDIM-25-1,CHIN_TEDIM,Chin Tedim,25,leaf,te7,,
CHIN_TEDIM-28-1,CHIN_TEDIM,Chin Tedim,28,skin,vun,,
CHIN_TEDIM-28-2,CHIN_TEDIM,Chin Tedim,28,skin,hok,,
CHIN_TEDIM-30-1,CHIN_TEDIM,Chin Tedim,30,blood,si,,
CHIN_TEDIM-31-1,CHIN_TEDIM,Chin Tedim,31,bone,gu7,,
CHIN_TEDIM-34-1,CHIN_TEDIM,Chin Tedim,34,horn,ki,,
CHIN_TEDIM-39-1,CHIN_TEDIM,Chin Tedim,39,ear,bil,,
CHIN_TEDIM-40-1,CHIN_TEDIM,Chin Tedim,40,eye,mit,,
CHIN_TEDIM-41-1,CHIN_TEDIM,Chin Tedim,41,nose,nak,,
CHIN_TEDIM-43-1,CHIN_TEDIM,Chin Tedim,43,tooth,ha,,
CHIN_TEDIM-44-1,CHIN_TEDIM,Chin Tedim,44,tongue,lei,,
CHIN_TEDIM-47-1,CHIN_TEDIM,Chin Tedim,47,knee,kh~uk,,
CHIN_TEDIM-48-1,CHIN_TEDIM,Chin Tedim,48,hand,kh~ut,,
CHIN_TEDIM-51-1,CHIN_TEDIM,Chin Tedim,51,breast,noi,,
CHIN_TEDIM-53-1,CHIN_TEDIM,Chin Tedim,53,liver,sin,,
CHIN_TEDIM-54-1,CHIN_TEDIM,Chin Tedim,54,drink,don,,
CHIN_TEDIM-57-1,CHIN_TEDIM,Chin Tedim,57,see,mu,,
CHIN_TEDIM-58-1,CHIN_TEDIM,Chin Tedim,58,hear,za,,
CHIN_TEDIM-61-1,CHIN_TEDIM,Chin Tedim,61,die,si,,
CHIN_TEDIM-74-1,CHIN_TEDIM,Chin Tedim,74,star,ak si,,
CHIN_TEDIM-75-1,CHIN_TEDIM,Chin Tedim,75,water,tui,,
CHIN_TEDIM-77-1,CHIN_TEDIM,Chin Tedim,77,stone,suaN,,
CHIN_TEDIM-82-1,CHIN_TEDIM,Chin Tedim,82,fire,mei,,
CHIN_TEDIM-85-1,CHIN_TEDIM,Chin Tedim,85,path,lam pi,,
CHIN_TEDIM-86-1,CHIN_TEDIM,Chin Tedim,86,mountain,mual,,
CHIN_TEDIM-92-1,CHIN_TEDIM,Chin Tedim,92,night,zan,,
CHIN_TEDIM-95-1,CHIN_TEDIM,Chin Tedim,95,full,dim,,
CHIN_TEDIM-96-1,CHIN_TEDIM,Chin Tedim,96,new,th~ak,,
CHIN_TEDIM-100-1,CHIN_TEDIM,Chin Tedim,100,name,min,,
