ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CRIMEAN_ROMANI-1-1,CRIMEAN_ROMANI,Crimean Romani,1,I,me,,
CRIMEAN_ROMANI-2-1,CRIMEAN_ROMANI,Crimean Romani,2,you,tu,,
CRIMEAN_ROMANI-3-1,CRIMEAN_ROMANI,Crimean Romani,3,we,ame,,
CRIMEAN_ROMANI-11-1,CRIMEAN_ROMANI,Crimean Romani,11,one,yekh~,,
CRIMEAN_ROMANI-12-1,CRIMEAN_ROMANI,Crimean Romani,12,two,duy,,
CRIMEAN_ROMANI-19-1,CRIMEAN_ROMANI,Crimean Romani,19,fish,maSh~o,,
CRIMEAN_ROMANI-21-1,CRIMEAN_ROMANI,Crimean Romani,21,dog,jukel,,
CRIMEAN_ROMANI-21-2,CRIMEAN_ROMANI,Crimean Romani,21,dog,rikano,,
CRIMEAN_ROMANI-22-1,CRIMEAN_ROMANI,Crimean Romani,22,louse,likh~,,
CRIMEAN_ROMANI-23-1,CRIMEAN_ROMANI,Crimean Romani,23,tree,tereki,,
CRIMEAN_ROMANI-25-1,CRIMEAN_ROMANI,Crimean Romani,25,leaf,patri,,
CRIMEAN_ROMANI-28-1,CRIMEAN_ROMANI,Crimean Romani,28,skin,morth~i,,
CRIMEAN_ROMANI-28-2,CRIMEAN_ROMANI,Crimean Romani,28,skin,teni,,
CRIMEAN_ROMANI-30-1,CRIMEAN_ROMANI,Crimean Romani,30,blood,rat,,
CRIMEAN_ROMANI-31-1,CRIMEAN_ROMANI,Crimean Romani,31,bone,kokalo,,
CRIMEAN_ROMANI-34-1,CRIMEAN_ROMANI,Crimean Romani,34,horn,S3ng~,,
CRIMEAN_ROMANI-39-1,CRIMEAN_ROMANI,Crimean Romani,39,ear,kan,,
CRIMEAN_ROMANI-40-1,CRIMEAN_ROMANI,Crimean Romani,40,eye,yakh~,,
CRIMEAN_ROMANI-41-1,CRIMEAN_ROMANI,Crimean Romani,41,nose,nakh~,,
CRIMEAN_ROMANI-43-1,CRIMEAN_ROMANI,Crimean Romani,43,tooth,dand~,,
CRIMEAN_ROMANI-44-1,CRIMEAN_ROMANI,Crimean Romani,44,tongue,Ch~ib,,
CRIMEAN_ROMANI-47-1,CRIMEAN_ROMANI,Crimean Romani,47,knee,koS,,
CRIMEAN_ROMANI-51-1,CRIMEAN_ROMANI,Crimean Romani,51,breast,SuCi,,
CRIMEAN_ROMANI-51-2,CRIMEAN_ROMANI,Crimean Romani,51,breast,kolin,,
CRIMEAN_ROMANI-53-1,CRIMEAN_ROMANI,Crimean Romani,53,liver,buko,,
CRIMEAN_ROMANI-54-1,CRIMEAN_ROMANI,Crimean Romani,54,drink,piyel,,
CRIMEAN_ROMANI-57-1,CRIMEAN_ROMANI,Crimean Romani,57,see,dikh~el,,
CRIMEAN_ROMANI-58-1,CRIMEAN_ROMANI,Crimean Romani,58,hear,Sunel,,
CRIMEAN_ROMANI-61-1,CRIMEAN_ROMANI,Crimean Romani,61,die,merel,,
CRIMEAN_ROMANI-61-2,CRIMEAN_ROMANI,Crimean Romani,61,die,murdaly~ol,,
CRIMEAN_ROMANI-66-1,CRIMEAN_ROMANI,Crimean Romani,66,come,avel,,
CRIMEAN_ROMANI-72-1,CRIMEAN_ROMANI,Crimean Romani,72,sun,kh~am,,
CRIMEAN_ROMANI-74-1,CRIMEAN_ROMANI,Crimean Romani,74,star,Serxen,,
CRIMEAN_ROMANI-75-1,CRIMEAN_ROMANI,Crimean Romani,75,water,pani,,
CRIMEAN_ROMANI-75-2,CRIMEAN_ROMANI,Crimean Romani,75,water,panisi,,
CRIMEAN_ROMANI-77-1,CRIMEAN_ROMANI,Crimean Romani,77,stone,bar,,
CRIMEAN_ROMANI-82-1,CRIMEAN_ROMANI,Crimean Romani,82,fire,yag,,
CRIMEAN_ROMANI-85-1,CRIMEAN_ROMANI,Crimean Romani,85,path,pot3,,
CRIMEAN_ROMANI-92-1,CRIMEAN_ROMANI,Crimean Romani,92,night,rat,,
CRIMEAN_ROMANI-95-1,CRIMEAN_ROMANI,Crimean Romani,95,full,Salo,,
CRIMEAN_ROMANI-96-1,CRIMEAN_ROMANI,Crimean Romani,96,new,nevo,,
CRIMEAN_ROMANI-100-1,CRIMEAN_ROMANI,Crimean Romani,100,name,anav,,
