ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
CROW-1-1,CROW,Crow,1,I,bi,,
CROW-2-1,CROW,Crow,2,you,di,,
CROW-3-1,CROW,Crow,3,we,bare,,
CROW-3-2,CROW,Crow,3,we,biru,,
CROW-11-1,CROW,Crow,11,one,hawate,,
CROW-11-2,CROW,Crow,11,one,hawata,,
CROW-12-1,CROW,Crow,12,two,nupE,,
CROW-18-1,CROW,Crow,18,person,bir3bake,,
CROW-18-2,CROW,Crow,18,person,bilapaka,,
CROW-21-1,CROW,Crow,21,dog,biSka,,
CROW-21-2,CROW,Crow,21,dog,biSgy~e,,
CROW-22-1,CROW,Crow,22,louse,aSpEbE,,
CROW-23-1,CROW,Crow,23,tree,bare,,
CROW-23-2,CROW,Crow,23,tree,bala,,
CROW-25-1,CROW,Crow,25,leaf,ape,,
CROW-25-2,CROW,Crow,25,leaf,apa,,
CROW-28-1,CROW,Crow,28,skin,dapE,,
CROW-28-2,CROW,Crow,28,skin,dape,,
CROW-30-1,CROW,Crow,30,blood,ire,,
CROW-31-1,CROW,Crow,31,bone,hurE,,
CROW-31-2,CROW,Crow,31,bone,huli,,
CROW-34-1,CROW,Crow,34,horn,aSua,,
CROW-34-2,CROW,Crow,34,horn,pa,,
CROW-39-1,CROW,Crow,39,ear,ape,,
CROW-39-2,CROW,Crow,39,ear,akuxa,,
CROW-40-1,CROW,Crow,40,eye,iSte,,
CROW-40-2,CROW,Crow,40,eye,iSta,,
CROW-41-1,CROW,Crow,41,nose,apE,,
CROW-41-2,CROW,Crow,41,nose,apa,,
CROW-43-1,CROW,Crow,43,tooth,iht~a,,
CROW-44-1,CROW,Crow,44,tongue,deSe,,
CROW-47-1,CROW,Crow,47,knee,iSuSe,,
CROW-48-1,CROW,Crow,48,hand,iSci,,
CROW-48-2,CROW,Crow,48,hand,iSCi,,
CROW-51-1,CROW,Crow,51,breast,aCi,,
CROW-53-1,CROW,Crow,53,liver,apte,,
CROW-54-1,CROW,Crow,54,drink,iSi,,
CROW-57-1,CROW,Crow,57,see,iky~a,,
CROW-57-2,CROW,Crow,57,see,ika,,
CROW-58-1,CROW,Crow,58,hear,iky~uku,,
CROW-58-2,CROW,Crow,58,hear,ikukku,,
CROW-61-1,CROW,Crow,61,die,Se,,
CROW-66-1,CROW,Crow,66,come,hu,,
CROW-66-2,CROW,Crow,66,come,huk,,
CROW-72-1,CROW,Crow,72,sun,axaSe,,
CROW-74-1,CROW,Crow,74,star,igy~E,,
CROW-74-2,CROW,Crow,74,star,igy~e,,
CROW-75-1,CROW,Crow,75,water,bire,,
CROW-75-2,CROW,Crow,75,water,bili,,
CROW-77-1,CROW,Crow,77,stone,bi3,,
CROW-77-2,CROW,Crow,77,stone,bi,,
CROW-82-1,CROW,Crow,82,fire,birE,,
CROW-82-2,CROW,Crow,82,fire,bila,,
CROW-85-1,CROW,Crow,85,path,ariande,,
CROW-85-2,CROW,Crow,85,path,bande,,
CROW-86-1,CROW,Crow,86,mountain,awaxawe,,
CROW-92-1,CROW,Crow,92,night,oci3,,
CROW-92-2,CROW,Crow,92,night,oCia,,
CROW-95-1,CROW,Crow,95,full,iruci,,
CROW-95-2,CROW,Crow,95,full,iaxpasSi,,
CROW-96-1,CROW,Crow,96,new,hira,,
CROW-100-1,CROW,Crow,100,name,daSe,,
CROW-100-2,CROW,Crow,100,name,das,,
