ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DAHALO_2-1-1,DAHALO_2,Dahalo 2,1,I,a5i,,
DAHALO_2-2-1,DAHALO_2,Dahalo 2,2,you,ata,,
DAHALO_2-3-1,DAHALO_2,Dahalo 2,3,we,5a5i,,
DAHALO_2-11-1,DAHALO_2,Dahalo 2,11,one,watukw~e,,
DAHALO_2-12-1,DAHALO_2,Dahalo 2,12,two,li,,
DAHALO_2-18-1,DAHALO_2,Dahalo 2,18,person,"guh""o",,
DAHALO_2-19-1,DAHALO_2,Dahalo 2,19,fish,mb~alabe,,
DAHALO_2-21-1,DAHALO_2,Dahalo 2,21,dog,naXete,,
DAHALO_2-22-1,DAHALO_2,Dahalo 2,22,louse,itore,,
DAHALO_2-23-1,DAHALO_2,Dahalo 2,23,tree,koro,,
DAHALO_2-25-1,DAHALO_2,Dahalo 2,25,leaf,Sabune,,
DAHALO_2-28-1,DAHALO_2,Dahalo 2,28,skin,gino,,
DAHALO_2-30-1,DAHALO_2,Dahalo 2,30,blood,diga,,
DAHALO_2-31-1,DAHALO_2,Dahalo 2,31,bone,miCo,,
DAHALO_2-34-1,DAHALO_2,Dahalo 2,34,horn,tumpo,,
DAHALO_2-39-1,DAHALO_2,Dahalo 2,39,ear,agaZo,,
DAHALO_2-40-1,DAHALO_2,Dahalo 2,40,eye,ila,,
DAHALO_2-41-1,DAHALO_2,Dahalo 2,41,nose,sina,,
DAHALO_2-43-1,DAHALO_2,Dahalo 2,43,tooth,kalati,,
DAHALO_2-44-1,DAHALO_2,Dahalo 2,44,tongue,Xena,,
DAHALO_2-47-1,DAHALO_2,Dahalo 2,47,knee,gili,,
DAHALO_2-48-1,DAHALO_2,Dahalo 2,48,hand,dara,,
DAHALO_2-51-1,DAHALO_2,Dahalo 2,51,breast,!one,,
DAHALO_2-53-1,DAHALO_2,Dahalo 2,53,liver,mako,,
DAHALO_2-54-1,DAHALO_2,Dahalo 2,54,drink,ma7aw,,
DAHALO_2-57-1,DAHALO_2,Dahalo 2,57,see,"wah""",,
DAHALO_2-58-1,DAHALO_2,Dahalo 2,58,hear,etit,,
DAHALO_2-61-1,DAHALO_2,Dahalo 2,61,die,Za7,,
DAHALO_2-66-1,DAHALO_2,Dahalo 2,66,come,haX,,
DAHALO_2-72-1,DAHALO_2,Dahalo 2,72,sun,ado,,
DAHALO_2-74-1,DAHALO_2,Dahalo 2,74,star,!ingilXe,,
DAHALO_2-75-1,DAHALO_2,Dahalo 2,75,water,ma7a,,
DAHALO_2-77-1,DAHALO_2,Dahalo 2,77,stone,mawele,,
DAHALO_2-82-1,DAHALO_2,Dahalo 2,82,fire,ega,,
DAHALO_2-85-1,DAHALO_2,Dahalo 2,85,path,le,,
DAHALO_2-86-1,DAHALO_2,Dahalo 2,86,mountain,mulima,,
DAHALO_2-92-1,DAHALO_2,Dahalo 2,92,night,hima,,
DAHALO_2-95-1,DAHALO_2,Dahalo 2,95,full,!ok,,
DAHALO_2-96-1,DAHALO_2,Dahalo 2,96,new,mp~ia,,
DAHALO_2-100-1,DAHALO_2,Dahalo 2,100,name,sare,,
