ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DAHUA_BUNU-1-1,DAHUA_BUNU,Dahua Bunu,1,I,CuN,,
DAHUA_BUNU-2-1,DAHUA_BUNU,Dahua Bunu,2,you,kau,,
DAHUA_BUNU-3-1,DAHUA_BUNU,Dahua Bunu,3,we,pe,,
DAHUA_BUNU-11-1,DAHUA_BUNU,Dahua Bunu,11,one,i,,
DAHUA_BUNU-12-1,DAHUA_BUNU,Dahua Bunu,12,two,au,,
DAHUA_BUNU-12-2,DAHUA_BUNU,Dahua Bunu,12,two,5oN,,
DAHUA_BUNU-18-1,DAHUA_BUNU,Dahua Bunu,18,person,no,,
DAHUA_BUNU-19-1,DAHUA_BUNU,Dahua Bunu,19,fish,mpy$e,,
DAHUA_BUNU-21-1,DAHUA_BUNU,Dahua Bunu,21,dog,tL~e,,
DAHUA_BUNU-22-1,DAHUA_BUNU,Dahua Bunu,22,louse,katuN,,
DAHUA_BUNU-23-1,DAHUA_BUNU,Dahua Bunu,23,tree,nt~aN,,
DAHUA_BUNU-25-1,DAHUA_BUNU,Dahua Bunu,25,leaf,ntL$aN,,
DAHUA_BUNU-28-1,DAHUA_BUNU,Dahua Bunu,28,skin,katL~au,,
DAHUA_BUNU-28-2,DAHUA_BUNU,Dahua Bunu,28,skin,Nk~a,,
DAHUA_BUNU-30-1,DAHUA_BUNU,Dahua Bunu,30,blood,nch$3N,,
DAHUA_BUNU-31-1,DAHUA_BUNU,Dahua Bunu,31,bone,ka8h~oN,,
DAHUA_BUNU-34-1,DAHUA_BUNU,Dahua Bunu,34,horn,ky~uN,,
DAHUA_BUNU-39-1,DAHUA_BUNU,Dahua Bunu,39,ear,mpy$e,,
DAHUA_BUNU-40-1,DAHUA_BUNU,Dahua Bunu,40,eye,kh~imoN,,
DAHUA_BUNU-40-2,DAHUA_BUNU,Dahua Bunu,40,eye,moN,,
DAHUA_BUNU-41-1,DAHUA_BUNU,Dahua Bunu,41,nose,mpy$au,,
DAHUA_BUNU-41-2,DAHUA_BUNU,Dahua Bunu,41,nose,khimpy$au,,
DAHUA_BUNU-43-1,DAHUA_BUNU,Dahua Bunu,43,tooth,famiN,,
DAHUA_BUNU-43-2,DAHUA_BUNU,Dahua Bunu,43,tooth,miN,,
DAHUA_BUNU-44-1,DAHUA_BUNU,Dahua Bunu,44,tongue,ntL$a,,
DAHUA_BUNU-44-2,DAHUA_BUNU,Dahua Bunu,44,tongue,kuNntL$a,,
DAHUA_BUNU-47-1,DAHUA_BUNU,Dahua Bunu,47,knee,faCa,,
DAHUA_BUNU-47-2,DAHUA_BUNU,Dahua Bunu,47,knee,8h~oNCa,,
DAHUA_BUNU-48-1,DAHUA_BUNU,Dahua Bunu,48,hand,pe,,
DAHUA_BUNU-51-1,DAHUA_BUNU,Dahua Bunu,51,breast,koN,,
DAHUA_BUNU-53-1,DAHUA_BUNU,Dahua Bunu,53,liver,mpy$au,,
DAHUA_BUNU-54-1,DAHUA_BUNU,Dahua Bunu,54,drink,hu,,
DAHUA_BUNU-57-1,DAHUA_BUNU,Dahua Bunu,57,see,nt~a,,
DAHUA_BUNU-57-2,DAHUA_BUNU,Dahua Bunu,57,see,Nk~oN,,
DAHUA_BUNU-58-1,DAHUA_BUNU,Dahua Bunu,58,hear,C3N,,
DAHUA_BUNU-61-1,DAHUA_BUNU,Dahua Bunu,61,die,to,,
DAHUA_BUNU-66-1,DAHUA_BUNU,Dahua Bunu,66,come,to,,
DAHUA_BUNU-66-2,DAHUA_BUNU,Dahua Bunu,66,come,lo,,
DAHUA_BUNU-72-1,DAHUA_BUNU,Dahua Bunu,72,sun,noN,,
DAHUA_BUNU-72-2,DAHUA_BUNU,Dahua Bunu,72,sun,nt~i,,
DAHUA_BUNU-74-1,DAHUA_BUNU,Dahua Bunu,74,star,CekuN,,
DAHUA_BUNU-75-1,DAHUA_BUNU,Dahua Bunu,75,water,aN,,
DAHUA_BUNU-77-1,DAHUA_BUNU,Dahua Bunu,77,stone,xe,,
DAHUA_BUNU-77-2,DAHUA_BUNU,Dahua Bunu,77,stone,faxe,,
DAHUA_BUNU-82-1,DAHUA_BUNU,Dahua Bunu,82,fire,to,,
DAHUA_BUNU-82-2,DAHUA_BUNU,Dahua Bunu,82,fire,kato,,
DAHUA_BUNU-85-1,DAHUA_BUNU,Dahua Bunu,85,path,ky~e,,
DAHUA_BUNU-86-1,DAHUA_BUNU,Dahua Bunu,86,mountain,8au,,
DAHUA_BUNU-86-2,DAHUA_BUNU,Dahua Bunu,86,mountain,kan,,
DAHUA_BUNU-92-1,DAHUA_BUNU,Dahua Bunu,92,night,nt~oNmuN,,
DAHUA_BUNU-95-1,DAHUA_BUNU,Dahua Bunu,95,full,puN,,
DAHUA_BUNU-96-1,DAHUA_BUNU,Dahua Bunu,96,new,sh~iN,,
DAHUA_BUNU-100-1,DAHUA_BUNU,Dahua Bunu,100,name,mp~e,,
DAHUA_BUNU-100-2,DAHUA_BUNU,Dahua Bunu,100,name,my~enso,,
