ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DHIMAL-1-1,DHIMAL,Dhimal,1,I,ka,,
DHIMAL-2-1,DHIMAL,Dhimal,2,you,na,,
DHIMAL-3-1,DHIMAL,Dhimal,3,we,kelai,,
DHIMAL-11-1,DHIMAL,Dhimal,11,one,e noN,,
DHIMAL-12-1,DHIMAL,Dhimal,12,two,nh~e loN,,
DHIMAL-18-1,DHIMAL,Dhimal,18,person,dy~aN,,
DHIMAL-19-1,DHIMAL,Dhimal,19,fish,heya,,
DHIMAL-21-1,DHIMAL,Dhimal,21,dog,kh~iya,,
DHIMAL-22-1,DHIMAL,Dhimal,22,louse,sira,,
DHIMAL-23-1,DHIMAL,Dhimal,23,tree,su te,,
DHIMAL-25-1,DHIMAL,Dhimal,25,leaf,lh~aph~a,,
DHIMAL-28-1,DHIMAL,Dhimal,28,skin,dh~ale,,
DHIMAL-30-1,DHIMAL,Dhimal,30,blood,hi ti,,
DHIMAL-31-1,DHIMAL,Dhimal,31,bone,hara,,
DHIMAL-34-1,DHIMAL,Dhimal,34,horn,daN,,
DHIMAL-39-1,DHIMAL,Dhimal,39,ear,nh~a toN,,
DHIMAL-40-1,DHIMAL,Dhimal,40,eye,mi,,
DHIMAL-41-1,DHIMAL,Dhimal,41,nose,nh~a pu,,
DHIMAL-43-1,DHIMAL,Dhimal,43,tooth,tasiN,,
DHIMAL-44-1,DHIMAL,Dhimal,44,tongue,de toN,,
DHIMAL-47-1,DHIMAL,Dhimal,47,knee,tirhu,,
DHIMAL-48-1,DHIMAL,Dhimal,48,hand,kh~ur,,
DHIMAL-51-1,DHIMAL,Dhimal,51,breast,tumta,,
DHIMAL-53-1,DHIMAL,Dhimal,53,liver,tumsiN,,
DHIMAL-54-1,DHIMAL,Dhimal,54,drink,am,,
DHIMAL-57-1,DHIMAL,Dhimal,57,see,tiN,,
DHIMAL-58-1,DHIMAL,Dhimal,58,hear,hiN,,
DHIMAL-61-1,DHIMAL,Dhimal,61,die,si,,
DHIMAL-66-1,DHIMAL,Dhimal,66,come,lo,,
DHIMAL-72-1,DHIMAL,Dhimal,72,sun,sanhe,,
DHIMAL-74-1,DHIMAL,Dhimal,74,star,ph~ur,,
DHIMAL-75-1,DHIMAL,Dhimal,75,water,ci,,
DHIMAL-77-1,DHIMAL,Dhimal,77,stone,unth~ui,,
DHIMAL-82-1,DHIMAL,Dhimal,82,fire,me,,
DHIMAL-85-1,DHIMAL,Dhimal,85,path,dama,,
DHIMAL-86-1,DHIMAL,Dhimal,86,mountain,lakh~,,
DHIMAL-92-1,DHIMAL,Dhimal,92,night,nh~isanta,,
DHIMAL-96-1,DHIMAL,Dhimal,96,new,nawa,,
DHIMAL-100-1,DHIMAL,Dhimal,100,name,mi,,
