ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DHUWAL-1-1,DHUWAL,Dhuwal,1,I,Nara,,
DHUWAL-2-1,DHUWAL,Dhuwal,2,you,4i,,
DHUWAL-3-1,DHUWAL,Dhuwal,3,we,NilimuruN,,
DHUWAL-3-2,DHUWAL,Dhuwal,3,we,Nanapur,,
DHUWAL-11-1,DHUWAL,Dhuwal,11,one,waNga5,,
DHUWAL-12-1,DHUWAL,Dhuwal,12,two,marma7,,
DHUWAL-18-1,DHUWAL,Dhuwal,18,person,yulNu,,
DHUWAL-19-1,DHUWAL,Dhuwal,19,fish,guya,,
DHUWAL-19-2,DHUWAL,Dhuwal,19,fish,buririty~,,
DHUWAL-21-1,DHUWAL,Dhuwal,21,dog,wuNgan,,
DHUWAL-22-1,DHUWAL,Dhuwal,22,louse,dilmur,,
DHUWAL-23-1,DHUWAL,Dhuwal,23,tree,dh~arpa,,
DHUWAL-25-1,DHUWAL,Dhuwal,25,leaf,man7ty~ar,,
DHUWAL-28-1,DHUWAL,Dhuwal,28,skin,barwan,,
DHUWAL-30-1,DHUWAL,Dhuwal,30,blood,gulaN,,
DHUWAL-31-1,DHUWAL,Dhuwal,31,bone,Naraka,,
DHUWAL-39-1,DHUWAL,Dhuwal,39,ear,buth~uru,,
DHUWAL-39-2,DHUWAL,Dhuwal,39,ear,makiri,,
DHUWAL-40-1,DHUWAL,Dhuwal,40,eye,mil,,
DHUWAL-40-2,DHUWAL,Dhuwal,40,eye,maNuty~i,,
DHUWAL-41-1,DHUWAL,Dhuwal,41,nose,Nuru,,
DHUWAL-41-2,DHUWAL,Dhuwal,41,nose,gamuru,,
DHUWAL-43-1,DHUWAL,Dhuwal,43,tooth,lira,,
DHUWAL-44-1,DHUWAL,Dhuwal,44,tongue,Nanar,,
DHUWAL-47-1,DHUWAL,Dhuwal,47,knee,bun7kumu,,
DHUWAL-47-2,DHUWAL,Dhuwal,47,knee,nipal,,
DHUWAL-48-1,DHUWAL,Dhuwal,48,hand,dh~ungal,,
DHUWAL-48-2,DHUWAL,Dhuwal,48,hand,guN,,
DHUWAL-51-1,DHUWAL,Dhuwal,51,breast,Namini,,
DHUWAL-53-1,DHUWAL,Dhuwal,53,liver,bidila,,
DHUWAL-54-1,DHUWAL,Dhuwal,54,drink,wurkth~un,,
DHUWAL-57-1,DHUWAL,Dhuwal,57,see,nama,,
DHUWAL-57-2,DHUWAL,Dhuwal,57,see,wurkwurkth~un,,
DHUWAL-58-1,DHUWAL,Dhuwal,58,hear,nama,,
DHUWAL-58-2,DHUWAL,Dhuwal,58,hear,buth~uruwity~un,,
DHUWAL-61-1,DHUWAL,Dhuwal,61,die,raku5dh~ir,,
DHUWAL-66-1,DHUWAL,Dhuwal,66,come,marty~ilili,,
DHUWAL-72-1,DHUWAL,Dhuwal,72,sun,walu,,
DHUWAL-74-1,DHUWAL,Dhuwal,74,star,ga5u,,
DHUWAL-75-1,DHUWAL,Dhuwal,75,water,gapu,,
DHUWAL-75-2,DHUWAL,Dhuwal,75,water,Narkula,,
DHUWAL-77-1,DHUWAL,Dhuwal,77,stone,gunda,,
DHUWAL-77-2,DHUWAL,Dhuwal,77,stone,bath~u,,
DHUWAL-82-1,DHUWAL,Dhuwal,82,fire,dh~aNguth~a,,
DHUWAL-82-2,DHUWAL,Dhuwal,82,fire,gutha,,
DHUWAL-85-1,DHUWAL,Dhuwal,85,path,dh~ukar,,
DHUWAL-85-2,DHUWAL,Dhuwal,85,path,gaty~al,,
DHUWAL-92-1,DHUWAL,Dhuwal,92,night,mu4awu,,
DHUWAL-92-2,DHUWAL,Dhuwal,92,night,mu4aku,,
DHUWAL-95-1,DHUWAL,Dhuwal,95,full,Nam7Nam,,
DHUWAL-95-2,DHUWAL,Dhuwal,95,full,dh~aNgaN,,
DHUWAL-96-1,DHUWAL,Dhuwal,96,new,yuta,,
DHUWAL-100-1,DHUWAL,Dhuwal,100,name,yaku,,
DHUWAL-100-2,DHUWAL,Dhuwal,100,name,Naykana,,
