ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DOGON_DONNO_SO-11-1,DOGON_DONNO_SO,Dogon Donno So,11,one,turu,,
DOGON_DONNO_SO-12-1,DOGON_DONNO_SO,Dogon Donno So,12,two,lei,,
DOGON_DONNO_SO-19-1,DOGON_DONNO_SO,Dogon Donno So,19,fish,izu,,
DOGON_DONNO_SO-21-1,DOGON_DONNO_SO,Dogon Donno So,21,dog,izi,,
DOGON_DONNO_SO-23-1,DOGON_DONNO_SO,Dogon Donno So,23,tree,time,,
DOGON_DONNO_SO-25-1,DOGON_DONNO_SO,Dogon Donno So,25,leaf,nuNo,,
DOGON_DONNO_SO-30-1,DOGON_DONNO_SO,Dogon Donno So,30,blood,ni,,
DOGON_DONNO_SO-31-1,DOGON_DONNO_SO,Dogon Donno So,31,bone,ke,,
DOGON_DONNO_SO-39-1,DOGON_DONNO_SO,Dogon Donno So,39,ear,sugulu,,
DOGON_DONNO_SO-40-1,DOGON_DONNO_SO,Dogon Donno So,40,eye,giri,,
DOGON_DONNO_SO-41-1,DOGON_DONNO_SO,Dogon Donno So,41,nose,kinu,,
DOGON_DONNO_SO-43-1,DOGON_DONNO_SO,Dogon Donno So,43,tooth,inu,,
DOGON_DONNO_SO-44-1,DOGON_DONNO_SO,Dogon Donno So,44,tongue,nEndE,,
DOGON_DONNO_SO-47-1,DOGON_DONNO_SO,Dogon Donno So,47,knee,yoNolo,,
DOGON_DONNO_SO-48-1,DOGON_DONNO_SO,Dogon Donno So,48,hand,numo,,
DOGON_DONNO_SO-74-1,DOGON_DONNO_SO,Dogon Donno So,74,star,tolo,,
DOGON_DONNO_SO-75-1,DOGON_DONNO_SO,Dogon Donno So,75,water,di,,
DOGON_DONNO_SO-77-1,DOGON_DONNO_SO,Dogon Donno So,77,stone,tibu,,
DOGON_DONNO_SO-82-1,DOGON_DONNO_SO,Dogon Donno So,82,fire,5aN,,
DOGON_DONNO_SO-85-1,DOGON_DONNO_SO,Dogon Donno So,85,path,ozu,,
DOGON_DONNO_SO-86-1,DOGON_DONNO_SO,Dogon Donno So,86,mountain,koko,,
DOGON_DONNO_SO-92-1,DOGON_DONNO_SO,Dogon Donno So,92,night,diga,,
DOGON_DONNO_SO-100-1,DOGON_DONNO_SO,Dogon Donno So,100,name,boy,,
